gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_cetacea,delta_pinnipedia,delta_sirenia,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
TRAPPC6B,715,144,0.020832421258091927,41.32819366455078,0.0161981963913528,0.40824630856513977,5.6343818499725104e-14,2.344273567199707,1.700123906135559,82,18.027034759521484,0.13004210591316223,3,2,0.31511588857294065,0.31511588857294065,0.11685213165823835,0.0,0.1982637569147023,-2.489665922537028,-2.489665922537028,0.9936068389868534,0.9998467469941675,15464,1.4310716354622577e-12,2943,1.1263212584822213e-13,1.1263212584822213e-13,2.8621432709254998e-12,0.0161981963913528,0.0161981963913528,0.40824630856513977,11,Tier 0: Core Bottleneck Transducer
ATP6V0E2,697,86,0.036157961934804916,25.422733306884766,0.03772510019158993,0.4082387387752533,5.828670879281901e-14,4.895071506500244,2.384124994277954,37,24.827739715576172,0.19716139137744904,3,2,0.31216913776407545,0.27627942627501795,0.2808001047590896,0.03136903300498584,-0.03588971148905753,-1.0632171533355528,-1.0632171533355528,0.8561582573871535,0.9965794154144466,13755,1.4310716354622577e-12,4135,1.166289287368727e-13,1.166289287368727e-13,2.8621432709254998e-12,0.03772510019158993,0.03772510019158993,0.4082387387752533,12,Tier 0: Core Bottleneck Transducer
LMO1,717,158,0.04349375516176224,27.511287689208984,0.0439776515586997,0.3555189371109009,5.828670879281901e-14,4.92182731628418,3.2125587463378906,155,26.416011810302734,0.18631984293460846,3,2,0.23072681491796418,0.19740150888211025,0.23066656468469326,-0.033325306035853916,6.025023327091648e-05,-0.6458872683858502,-0.6458872683858502,0.740823817274856,0.9613354395701433,12337,1.4310716354622577e-12,10111,1.166289287368727e-13,1.166289287368727e-13,2.8621432709254998e-12,0.0439776515586997,0.0439776515586997,0.3555189371109009,13,Tier 0: Core Bottleneck Transducer
RPS10,683,189,0.025550905615091324,21.306655883789062,0.03945362553822935,0.40824684500694275,6.022959908591292e-14,2.4286484718322754,1.635676383972168,134,6.441963195800781,0.3770044147968292,3,2,0.48347443068865564,0.48347443068865564,0.4291410747322151,0.0,0.05433335595644058,-0.954754303681355,-0.954754303681355,0.8301490194313832,0.9865101399531551,13471,1.4310716354622577e-12,2042,1.2040368702059823e-13,1.2040368702059823e-13,2.8621432709254998e-12,0.03945362553822935,0.03945362553822935,0.40824684500694275,14,Tier 0: Core Bottleneck Transducer
SNN,722,88,0.039252299815416336,28.556562423706055,0.030053734572476665,0.40824657678604126,6.022959908591292e-14,3.276857614517212,2.8812875747680664,85,13.310053825378418,0.24619416892528534,3,2,0.3337832287102168,0.29019678665795934,-0.04358644205225749,0.22740487565899373,0.1063783530512231,-1.5752993066139471,-1.5752993066139471,0.9424063130162661,0.9998467469941675,14766,1.4310716354622577e-12,2327,1.2040368702059823e-13,1.2040368702059823e-13,2.8621432709254998e-12,0.030053734572476665,0.030053734572476665,0.40824657678604126,15,Tier 0: Core Bottleneck Transducer
MOSMO,708,167,0.015780219808220863,27.953046798706055,0.011142774235471446,0.40824633836746216,6.217248937900684e-14,1.9868319034576416,1.6892685890197754,77,17.412050247192383,0.11410671472549438,3,3,0.279733154568711,0.279733154568711,0.02951554652587878,0.062149490004710845,0.18806811803812137,-2.8078889361758756,-2.8078889361758756,0.9975066289061043,0.9998467469941675,15661,1.4310716354622577e-12,2853,1.244004899092488e-13,1.244004899092488e-13,2.8621432709254998e-12,0.011142774235471446,0.011142774235471446,0.40824633836746216,16,Tier 0: Core Bottleneck Transducer
CXCL14,730,101,0.05299247056245804,28.89444351196289,0.02682670040916609,0.3171127140522003,6.411537967210073e-14,3.587817430496216,1.874102234840393,64,11.314013481140137,0.3171127140522003,3,3,0.1401926928874385,0.1401926928874385,0.10659148103297716,0.02891218879388752,0.004689023060573813,-1.799216940756846,-1.799216940756846,0.9640078146519966,0.9998467469941675,15005,1.4310716354622577e-12,12361,1.2817524819297432e-13,1.2817524819297432e-13,2.8621432709254998e-12,0.02682670040916609,0.02682670040916609,0.3171127140522003,17,Tier 0: Core Bottleneck Transducer
HSBP1,723,76,0.05205753073096275,36.02174758911133,0.03758155550157997,0.35985133051872253,6.411537967210073e-14,4.576938629150391,2.184122323989868,5,12.718971252441406,0.35985133051872253,3,2,0.26062525140282866,0.2052419014923837,0.23819896069059826,0.02242629071223043,-0.055383349910444954,-1.0709581491363103,-1.0709581491363103,0.8579058760917907,0.9972034172574704,13774,1.4310716354622577e-12,9773,1.2817524819297432e-13,1.2817524819297432e-13,2.8621432709254998e-12,0.03758155550157997,0.03758155550157997,0.35985133051872253,18,Tier 0: Core Bottleneck Transducer
AGO1,712,864,0.022643549367785454,26.303112030029297,0.03305565997025121,0.357479453086853,6.605826996519463e-14,4.808140277862549,2.1591336727142334,5,13.450116157531738,0.357479453086853,3,3,0.5973709335366129,0.5973709335366129,0.29305768367519935,0.1715956611612907,0.13271758870012274,-1.370502830633087,-1.370502830633087,0.9147350038009239,0.9998467469941675,14458,1.4310716354622577e-12,9984,1.3217205108162489e-13,1.3217205108162489e-13,2.8621432709254998e-12,0.03305565997025121,0.03305565997025121,0.357479453086853,19,Tier 0: Core Bottleneck Transducer
HMGN2,696,91,0.034960128366947174,38.85017395019531,0.051789894428751954,0.4151417315006256,6.605826996519463e-14,1.88276207447052,1.3158546686172485,16,4.535227298736572,0.4151417315006256,3,3,0.4941956619228352,0.4941956619228352,0.40575881306037653,0.08610592364802615,0.002330925214432506,-0.15559175638732692,-0.15559175638732692,0.5618225883733831,0.8986839939800856,10003,1.4310716354622577e-12,1602,1.3217205108162489e-13,1.3217205108162489e-13,2.8621432709254998e-12,0.051789894428751954,0.051789894428751954,0.4151417315006256,20,Tier 0: Core Bottleneck Transducer
MYL11,670,173,0.0647316575050354,25.142921447753906,0.07334453025875891,0.3590646982192993,6.605826996519463e-14,3.2332584857940674,3.05578351020813,159,15.409627914428711,0.2098206728696823,3,3,0.42850575917550093,0.42850575917550093,0.3805327172594904,0.02611090859995746,0.021862133316053065,1.1479416780339773,1.1479416780339773,0.12549632055948146,0.8632215179350143,1405,1.4310716354622577e-12,9835,1.3217205108162489e-13,1.3217205108162489e-13,2.8621432709254998e-12,0.07334453025875891,0.07334453025875891,0.3590646982192993,21,Tier 0: Core Bottleneck Transducer
SIX1,726,343,0.04205150529742241,41.41116714477539,0.041619597731340344,0.4122079312801361,6.605826996519463e-14,1.9317089319229126,1.413565993309021,298,4.686248779296875,0.4122079312801361,3,3,0.3475526250396988,0.3475526250396988,0.2341936186865566,0.10829601532231023,0.005062991030831986,-0.7987335307591394,-0.7987335307591394,0.7877775301514098,0.9754014835216178,12930,1.4310716354622577e-12,1707,1.3217205108162489e-13,1.3217205108162489e-13,2.8621432709254998e-12,0.041619597731340344,0.041619597731340344,0.4122079312801361,22,Tier 0: Core Bottleneck Transducer
PSMA3,715,258,0.05147728696465492,41.48773956298828,0.03444565428373044,0.4082464575767517,6.800116025828853e-14,4.860671043395996,2.9276344776153564,145,37.22502136230469,0.13057537376880646,3,2,0.24009557342280674,0.228388682388804,0.21076292943958708,-0.011706891034002737,0.029332643983219678,-1.2794198814259106,-1.2794198814259106,0.8996253818066553,0.9998467469941675,14274,1.4310716354622577e-12,2549,1.3600232051658168e-13,1.3600232051658168e-13,2.8621432709254998e-12,0.03444565428373044,0.03444565428373044,0.4082464575767517,23,Tier 0: Core Bottleneck Transducer
CYRIB,698,324,0.029603246599435806,41.45856475830078,0.014597452756870829,0.29889288544654846,6.994405055138241e-14,5.05653715133667,1.9710716009140015,35,16.917556762695312,0.29889288544654846,3,2,0.19843772670970497,0.19843772670970497,0.0,0.050145198029688566,0.1482925286800164,-2.5600538495259864,-2.5600538495259864,0.9947672027337503,0.9998467469941675,15510,1.4310716354622577e-12,13048,1.3994361225400098e-13,1.3994361225400098e-13,2.8621432709254998e-12,0.014597452756870829,0.014597452756870829,0.29889288544654846,24,Tier 0: Core Bottleneck Transducer
RAB4B,719,274,0.027978243306279182,30.05855369567871,0.036466396661984625,0.32287994027137756,6.994405055138241e-14,1.9479200839996338,1.0064678192138672,133,6.032954692840576,0.32287994027137756,3,2,0.41589950338549353,0.41589950338549353,0.408479894918381,0.0,0.0074196084671125625,-1.145581620690943,-1.145581620690943,0.8740158471912245,0.9998467469941675,13961,1.4310716354622577e-12,12121,1.3994361225400098e-13,1.3994361225400098e-13,2.8621432709254998e-12,0.036466396661984625,0.036466396661984625,0.32287994027137756,25,Tier 0: Core Bottleneck Transducer
ENHO,705,76,0.04604129120707512,41.610328674316406,0.038949996674460405,0.2926449477672577,7.055467321492621e-14,3.590791940689087,3.0711333751678467,43,40.7835578918457,0.08804509043693542,3,3,0.3175045705133418,0.3175045705133418,0.27332274600568085,0.034904885989004875,0.00927693851865607,-0.9825559239206985,-0.9825559239206985,0.8370869768782307,0.9891947440251939,13549,1.4310716354622577e-12,13300,1.4105383527862614e-13,1.4105383527862614e-13,2.8621432709254998e-12,0.038949996674460405,0.038949996674460405,0.2926449477672577,26,Tier 0: Core Bottleneck Transducer
MZT1,717,99,0.056089676916599274,31.09475326538086,0.03130928728607556,0.2966752350330353,7.382983113757018e-14,1.6926213502883911,0.7685633301734924,88,5.705300331115723,0.2966752350330353,3,2,0.18433998138871704,0.16889863285740908,0.15222089418374493,0.03211908720497211,-0.015441348531307962,-1.4885072303166775,-1.4885072303166775,0.931691411603372,0.9998467469941675,14658,1.4310716354622577e-12,13143,1.4771517342637708e-13,1.4771517342637708e-13,2.8621432709254998e-12,0.03130928728607556,0.03130928728607556,0.2966752350330353,27,Tier 0: Core Bottleneck Transducer
RBBP5,708,502,0.030412591993808746,41.5787239074707,0.03518719701588725,0.3055870532989502,7.382983113757018e-14,2.5648789405822754,1.23011314868927,444,8.39328384399414,0.3055870532989502,3,2,0.41365543517751135,0.3701435980995657,0.38313969640185513,0.030515738775656193,-0.04351183707794564,-1.2290681197537603,-1.2290681197537603,0.8904768665776146,0.9998467469941675,14168,1.4310716354622577e-12,12805,1.4771517342637708e-13,1.4771517342637708e-13,2.8621432709254998e-12,0.03518719701588725,0.03518719701588725,0.3055870532989502,28,Tier 0: Core Bottleneck Transducer
LRRC3B,728,260,0.03088485635817051,27.12716293334961,0.04073164047429075,0.40824204683303833,7.577272143066407e-14,3.4070615768432617,2.6743640899658203,251,8.3585844039917,0.40761226415634155,3,2,0.4093197432679856,0.4093197432679856,0.3725021155006993,0.0,0.036817627767286296,-0.8578336570474329,-0.8578336570474329,0.8045078390231573,0.9811403083722076,13128,1.4310716354622577e-12,3870,1.5154544286133387e-13,1.5154544286133387e-13,2.8621432709254998e-12,0.04073164047429075,0.04073164047429075,0.40824204683303833,29,Tier 0: Core Bottleneck Transducer
PBX3,700,384,0.013127440586686134,25.944120407104492,0.010233377042243643,0.3895678222179413,7.577272143066407e-14,10.10699462890625,3.9138214588165283,20,25.944120407104492,0.3895678222179413,3,2,0.16229726571251696,0.16229726571251696,0.03999149780759537,0.0,0.12230576790492159,-2.847516166105195,-2.847516166105195,0.9977969071875414,0.9998467469941675,15690,1.4310716354622577e-12,7190,1.5154544286133387e-13,1.5154544286133387e-13,2.8621432709254998e-12,0.010233377042243643,0.010233377042243643,0.3895678222179413,30,Tier 0: Core Bottleneck Transducer
ARL5A,710,179,0.032210756093263626,41.2482795715332,0.03418173101373589,0.4082077443599701,7.771561172375794e-14,9.907636642456055,3.891901969909668,154,24.27106475830078,0.4082077443599701,3,2,0.22888499711270757,0.2041128191880677,0.22267313316854237,-0.024772177924639874,0.006211863944165212,-1.2956128934814999,-1.2956128934814999,0.9024455576053017,0.9998467469941675,14308,1.4310716354622577e-12,4285,1.5548673459875317e-13,1.5548673459875317e-13,2.8621432709254998e-12,0.03418173101373589,0.03418173101373589,0.4082077443599701,31,Tier 0: Core Bottleneck Transducer
DSTN,725,192,0.03451503440737724,25.33990478515625,0.0432845305797278,0.43266257643699646,7.771561172375794e-14,4.762669086456299,2.102430582046509,60,11.007813453674316,0.43266257643699646,3,2,0.4132612512235486,0.4132612512235486,0.33418427232897274,0.0,0.07907697889457585,-0.6871704235768314,-0.6871704235768314,0.754012330008943,0.9659294501720549,12498,1.4310716354622577e-12,1210,1.5548673459875317e-13,1.5548673459875317e-13,2.8621432709254998e-12,0.0432845305797278,0.0432845305797278,0.43266257643699646,32,Tier 0: Core Bottleneck Transducer
ABRACL,725,81,0.059446074068546295,33.567481994628906,0.045393055676697644,0.3168666362762451,7.965850201685181e-14,5.662270545959473,2.7244861125946045,58,17.869569778442383,0.3168666362762451,3,3,0.2567586054249073,0.2567586054249073,0.1995077968049249,0.03875668935870266,0.018494119261279727,-0.5453191621790247,-0.5453191621790247,0.7072329863981391,0.9482086204338138,11942,1.4310716354622577e-12,12369,1.5931700403370996e-13,1.5931700403370996e-13,2.8621432709254998e-12,0.045393055676697644,0.045393055676697644,0.3168666362762451,33,Tier 0: Core Bottleneck Transducer
CHMP2A,725,226,0.053421057760715485,35.75581359863281,0.05360227090693434,0.408242791891098,7.965850201685181e-14,4.387176513671875,3.851464033126831,43,25.328332901000977,0.1732122153043747,3,3,0.36853585670845107,0.36853585670845107,0.32877037310602863,0.03929136751150933,0.0004741160909131355,0.006956709314583071,0.006956709314583071,0.49722469690747273,0.877685007456904,9070,1.4310716354622577e-12,3714,1.5931700403370996e-13,1.5931700403370996e-13,2.8621432709254998e-12,0.05360227090693434,0.05360227090693434,0.408242791891098,34,Tier 0: Core Bottleneck Transducer
NHLH2,711,138,0.04926241561770439,28.391782760620117,0.028077838643611356,0.3416141867637634,7.965850201685181e-14,2.6578710079193115,1.358170509338379,18,7.780329704284668,0.3416141867637634,3,2,0.1386592005961382,0.1338934439618206,0.13026739557580325,0.008391805020334958,-0.004765756634317618,-1.698400264135609,-1.698400264135609,0.9552838788548549,0.9998467469941675,14899,1.4310716354622577e-12,11069,1.5931700403370996e-13,1.5931700403370996e-13,2.8621432709254998e-12,0.028077838643611356,0.028077838643611356,0.3416141867637634,35,Tier 0: Core Bottleneck Transducer
SMIM43,715,63,0.0666375607252121,34.11005783081055,0.04374267472551335,0.32532209157943726,7.965850201685181e-14,3.4083220958709717,1.8052335977554321,62,10.476761817932129,0.32532209157943726,3,3,0.23517496186245393,0.23517496186245393,0.22058578868244003,0.013832802275551429,0.0007563709044624842,-0.6628034601052742,-0.6628034601052742,0.7462717813463413,0.9628957014230363,12406,1.4310716354622577e-12,12024,1.5931700403370996e-13,1.5931700403370996e-13,2.8621432709254998e-12,0.04374267472551335,0.04374267472551335,0.32532209157943726,36,Tier 0: Core Bottleneck Transducer
MRPL33,722,65,0.0976349338889122,37.8646354675293,0.03915211953528749,0.39080825448036194,8.160139230994567e-14,5.613125324249268,3.2485554218292236,4,31.03064727783203,0.18088972568511963,3,3,0.18966227045103154,0.18966227045103154,0.14321464440136966,0.037719529386411633,0.00872809666325024,-0.9658072218296281,-0.9658072218296281,0.8329296729471897,0.9871964611412728,13509,1.4310716354622577e-12,7051,1.6325829577112927e-13,1.6325829577112927e-13,2.8621432709254998e-12,0.03915211953528749,0.03915211953528749,0.39080825448036194,37,Tier 0: Core Bottleneck Transducer
RND3,718,244,0.0272288266569376,41.4405517578125,0.015039057560675511,0.33317556977272034,8.160139230994567e-14,2.2799551486968994,1.6844247579574585,7,6.843103885650635,0.33317556977272034,3,2,0.08170173057999304,-0.0015342451943155117,0.025995158743813005,-0.08323597577430855,0.05570657183618004,-2.572780959707434,-2.572780959707434,0.9949557482946607,0.9998467469941675,15522,1.4310716354622577e-12,11636,1.6325829577112927e-13,1.6325829577112927e-13,2.8621432709254998e-12,0.015039057560675511,0.015039057560675511,0.33317556977272034,38,Tier 0: Core Bottleneck Transducer
PTP4A1,710,176,0.05009232833981514,37.997039794921875,0.05640114081019987,0.4043728709220886,8.354428260303955e-14,3.6136302947998047,3.0583841800689697,45,13.29110050201416,0.27188345789909363,3,2,0.32883506908125254,0.32883506908125254,0.32801898657031686,0.0,0.000816082510935699,0.16756379918947123,0.16756379918947123,0.43346322625826883,0.8632215179350143,8038,1.4310716354622577e-12,4844,1.6708856520608606e-13,1.6708856520608606e-13,2.8621432709254998e-12,0.05640114081019987,0.05640114081019987,0.4043728709220886,39,Tier 0: Core Bottleneck Transducer
SRP54,691,504,0.020091498270630836,41.69001007080078,0.010683763873628946,0.4082467555999756,8.354428260303955e-14,2.783043384552002,1.3858810663223267,97,6.817061901092529,0.4082467555999756,3,2,0.17769325043589043,0.17769325043589043,0.022965567112756536,0.0,0.15472768332313389,-2.796204866829205,-2.796204866829205,0.9974146693733904,0.9998467469941675,15652,1.4310716354622577e-12,2093,1.6708856520608606e-13,1.6708856520608606e-13,2.8621432709254998e-12,0.010683763873628946,0.010683763873628946,0.4082467555999756,40,Tier 0: Core Bottleneck Transducer
CDK2,720,298,0.05437386408448219,41.53261947631836,0.03158490560965544,0.3537117838859558,8.548717289613339e-14,2.124370574951172,1.5677112340927124,290,6.005936622619629,0.3537117838859558,3,3,0.13884304402347156,0.13884304402347156,0.10438861724817693,0.023480143154164194,0.010974283621130438,-1.4717053389971777,-1.4717053389971777,0.9294497673817592,0.9998467469941675,14628,1.4310716354622577e-12,10262,1.7102985694350537e-13,1.7102985694350537e-13,2.8621432709254998e-12,0.03158490560965544,0.03158490560965544,0.3537117838859558,41,Tier 0: Core Bottleneck Transducer
FAM32A,680,113,0.04673275724053383,29.187776565551758,0.03325804794201369,0.4669507145881653,8.548717289613339e-14,3.7700555324554443,1.3954795598983765,11,8.073776245117188,0.4669507145881653,3,2,0.22352301811382294,0.19644702219155152,0.19123368468143073,0.0322893334323922,-0.027075995922271417,-1.3460852228433946,-1.3460852228433946,0.9108624831425927,0.9998467469941675,14410,1.4310716354622577e-12,643,1.7102985694350537e-13,1.7102985694350537e-13,2.8621432709254998e-12,0.03325804794201369,0.03325804794201369,0.4669507145881653,42,Tier 0: Core Bottleneck Transducer
MOBP,719,84,0.08761072903871536,31.264738082885742,0.03795935881539811,0.2945219576358795,8.548717289613339e-14,4.206770896911621,2.4066667556762695,30,14.572681427001953,0.28867512941360474,3,2,0.20899025169248214,0.186879720514983,0.16451475999524787,0.04447549169723426,-0.022110531177499143,-1.0459956295506467,-1.0459956295506467,0.8522184748938855,0.9947415616771889,13717,1.4310716354622577e-12,13229,1.7102985694350537e-13,1.7102985694350537e-13,2.8621432709254998e-12,0.03795935881539811,0.03795935881539811,0.2945219576358795,43,Tier 0: Core Bottleneck Transducer
PAFAH1B1,698,410,0.025037169456481934,41.820281982421875,0.04309338797367077,0.498949259519577,8.548717289613339e-14,13.903493881225586,6.143623352050781,292,27.86554718017578,0.498949259519577,3,3,0.47334590044896013,0.47334590044896013,0.411453609238336,0.032665626677611685,0.029226664533012422,-0.7156893412409598,-0.7156893412409598,0.7629084031228508,0.969482380539617,12597,1.4310716354622577e-12,280,1.7102985694350537e-13,1.7102985694350537e-13,2.8621432709254998e-12,0.04309338797367077,0.04309338797367077,0.498949259519577,44,Tier 0: Core Bottleneck Transducer
SAP18,698,173,0.06073714420199394,41.68027877807617,0.03967406157577165,0.4054000973701477,8.548717289613339e-14,3.0689923763275146,1.8355674743652344,5,7.570280075073242,0.4054000973701477,3,3,0.14601027735335917,0.14601027735335917,0.10435613572936658,0.02627888378087271,0.015375257843119878,-0.9370010547378801,-0.9370010547378801,0.825620992313135,0.9859128352120818,13405,1.4310716354622577e-12,4622,1.7102985694350537e-13,1.7102985694350537e-13,2.8621432709254998e-12,0.03967406157577165,0.03967406157577165,0.4054000973701477,45,Tier 0: Core Bottleneck Transducer
MPC1,687,123,0.0688774362206459,31.5208797454834,0.055950681737150586,0.4289335310459137,8.743006318922725e-14,10.23547077178955,5.876131534576416,102,23.86260414123535,0.4289335310459137,3,3,0.3564063376696793,0.3564063376696793,0.2453564648145458,0.09269831202587724,0.018351560829256257,0.09701755110392013,0.09701755110392013,0.4613562282167075,0.8690192315909222,8490,1.4310716354622577e-12,1285,1.7486012637846216e-13,1.7486012637846216e-13,2.8621432709254998e-12,0.055950681737150586,0.055950681737150586,0.4289335310459137,46,Tier 0: Core Bottleneck Transducer
ABCE1,714,604,0.04722108319401741,42.69955825805664,0.05342075566985543,0.39667442440986633,8.937295348232111e-14,14.09521484375,8.187309265136719,191,42.69955825805664,0.3301021158695221,3,3,0.39857931597760243,0.39857931597760243,0.3462493490555596,0.028102457806848367,0.024227509115194425,-0.022472874659842074,-0.022472874659842074,0.5089646252900282,0.8804131403091255,9252,1.4310716354622577e-12,6222,1.7869039581341895e-13,1.7869039581341895e-13,2.8621432709254998e-12,0.05342075566985543,0.05342075566985543,0.39667442440986633,47,Tier 0: Core Bottleneck Transducer
C1QL3,686,255,0.033062923699617386,26.544544219970703,0.042928558397021026,0.29670530557632446,9.070522111187117e-14,7.258363723754883,3.5479660034179688,7,24.46320915222168,0.29670530557632446,3,2,0.45549261875228236,0.45549261875228236,0.42185311508022133,0.0,0.033639503672061026,-0.733032746592263,-0.733032746592263,0.7682307714998865,0.9707627652167796,12666,1.4310716354622577e-12,13138,1.8135493107251932e-13,1.8135493107251932e-13,2.8621432709254998e-12,0.042928558397021026,0.042928558397021026,0.29670530557632446,48,Tier 0: Core Bottleneck Transducer
