gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_primates,delta_rodents,delta_bats,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
ENHO,705,76,0.04604129120707512,41.610328674316406,0.028317207506064014,0.40823912620544434,6.022959908591292e-14,4.743736743927002,4.121084690093994,36,38.421058654785156,0.1234670951962471,3,3,0.30379877523592913,0.30379877523592913,0.15108834653613953,0.025545174553355966,0.12716525414643362,-1.7141340161437844,-1.7141340161437844,0.9567479421057035,0.9999259036003924,15030,2.2539759177005585e-12,1415,1.2040368702059823e-13,1.2040368702059823e-13,4.507951835402685e-12,0.028317207506064014,0.028317207506064014,0.40823912620544434,12,Tier 0: Core Bottleneck Transducer
ARL8A,685,194,0.01991880312561989,40.80278778076172,0.027200542507959172,0.40823641419410706,6.605826996519463e-14,16.657184600830078,8.118438720703125,158,40.80278778076172,0.40823641419410706,3,2,0.4382984864350701,0.4382984864350701,0.0,0.07423736836563452,0.3640611180694356,-1.8161551230887423,-1.8161551230887423,0.9653267100456474,0.9999259036003924,15139,2.2539759177005585e-12,1788,1.3217205108162489e-13,1.3217205108162489e-13,4.507951835402685e-12,0.027200542507959172,0.027200542507959172,0.40823641419410706,13,Tier 0: Core Bottleneck Transducer
ENSA,667,122,0.037033405154943466,36.512672424316406,0.026043139910146045,0.3623950183391571,6.605826996519463e-14,4.884127616882324,2.126180410385132,119,13.4773588180542,0.3623950183391571,3,2,0.19964133797749722,0.08503138215680613,-0.1146099558206911,0.07051604383186172,0.1291252941456355,-1.9167536049070237,-1.9167536049070237,0.9723653791895285,0.9999259036003924,15247,2.2539759177005585e-12,5413,1.3217205108162489e-13,1.3217205108162489e-13,4.507951835402685e-12,0.026043139910146045,0.026043139910146045,0.3623950183391571,14,Tier 0: Core Bottleneck Transducer
SIX1,726,343,0.04205150529742241,41.41116714477539,0.021776752885501134,0.3579675853252411,6.605826996519463e-14,3.315375328063965,1.6151982545852661,320,9.261663436889648,0.3579675853252411,3,3,0.21094902968741902,0.21094902968741902,0.0866432360495973,0.02678228107615842,0.0975235125616633,-2.176504076413897,-2.176504076413897,0.9852412054002764,0.9999259036003924,15485,2.2539759177005585e-12,5746,1.3217205108162489e-13,1.3217205108162489e-13,4.507951835402685e-12,0.021776752885501134,0.021776752885501134,0.3579675853252411,15,Tier 0: Core Bottleneck Transducer
GTF2B,705,318,0.03425990790128708,41.6516227722168,0.0323375661050803,0.4082401692867279,6.800116025828853e-14,6.3953728675842285,4.615572452545166,72,40.1002197265625,0.15948472917079926,3,2,0.28507678511584855,0.18663702918064923,-0.09843975593519935,0.13641367970289806,0.14866310541295052,-1.420793489111926,-1.420793489111926,0.9223115979659722,0.9999259036003924,14591,2.2539759177005585e-12,1231,1.3600232051658168e-13,1.3600232051658168e-13,4.507951835402685e-12,0.0323375661050803,0.0323375661050803,0.4082401692867279,16,Tier 0: Core Bottleneck Transducer
TOMM6,699,74,0.07001934200525284,28.452754974365234,0.032459316526087134,0.3382132649421692,6.800116025828853e-14,1.7231907844543457,1.358323574066162,46,24.742883682250977,0.06964389234781265,3,3,0.19492719774241668,0.19492719774241668,0.05491669918301413,0.038135267854720184,0.10187523070468237,-1.4198578620225846,-1.4198578620225846,0.9221754671943431,0.9999259036003924,14590,2.2539759177005585e-12,7145,1.3600232051658168e-13,1.3600232051658168e-13,4.507951835402685e-12,0.032459316526087134,0.032459316526087134,0.3382132649421692,17,Tier 0: Core Bottleneck Transducer
HAND2,678,217,0.029573867097496986,25.363338470458984,0.019130476306197602,0.35952284932136536,6.994405055138241e-14,1.6026440858840942,0.7324972152709961,72,4.45769739151001,0.35952284932136536,3,2,0.1922532336789977,0.1922532336789977,0.0,0.03356488778447838,0.1586883458945193,-2.3996590615450084,-2.3996590615450084,0.9917948257943986,0.9999259036003924,15625,2.2539759177005585e-12,5632,1.3994361225400098e-13,1.3994361225400098e-13,4.507951835402685e-12,0.019130476306197602,0.019130476306197602,0.35952284932136536,18,Tier 0: Core Bottleneck Transducer
RHOC,721,194,0.024160495027899742,41.58943557739258,0.02772739751456259,0.32494479417800903,6.994405055138241e-14,1.339141607284546,1.258557677268982,135,9.670100212097168,0.1384827047586441,3,2,0.3725563016519767,0.3452089754836668,0.09945922336227235,-0.027347326168309823,0.2730970782897043,-1.7404174694326673,-1.7404174694326673,0.9591071298871278,0.9999259036003924,15060,2.2539759177005585e-12,8075,1.3994361225400098e-13,1.3994361225400098e-13,4.507951835402685e-12,0.02772739751456259,0.02772739751456259,0.32494479417800903,19,Tier 0: Core Bottleneck Transducer
NRGN,709,78,0.04503852501511574,15.767736434936523,0.03678055890124764,0.4038945436477661,7.18869408444763e-14,1.9777395725250244,1.3738187551498413,74,4.896673202514648,0.4038945436477661,3,2,0.25767651849633294,0.23945480443777334,0.21401017226144356,-0.018221714058559612,0.043666346234889394,-1.090344235724168,-1.090344235724168,0.862219231926281,0.9999259036003924,13929,2.2539759177005585e-12,2176,1.4377388168895777e-13,1.4377388168895777e-13,4.507951835402685e-12,0.03678055890124764,0.03678055890124764,0.4038945436477661,20,Tier 0: Core Bottleneck Transducer
CTNNBIP1,720,81,0.04310468211770058,35.856834411621094,0.050932082042234476,0.3316230773925781,7.382983113757018e-14,9.194066047668457,5.6040520668029785,59,27.724445343017578,0.3316230773925781,3,3,0.5211989421670451,0.5211989421670451,0.08820397421964293,0.11060408397845443,0.3223908839689478,-0.028522627527592923,-0.028522627527592923,0.5113773393940048,0.8769353942927711,9440,2.2539759177005585e-12,7623,1.4771517342637708e-13,1.4771517342637708e-13,4.507951835402685e-12,0.050932082042234476,0.050932082042234476,0.3316230773925781,21,Tier 0: Core Bottleneck Transducer
COA5,722,74,0.07479040324687958,31.306867599487305,0.054999642199043144,0.3214680552482605,7.577272143066407e-14,5.390079975128174,3.507556200027466,53,21.88440704345703,0.24629774689674377,3,3,0.3096158419070833,0.3096158419070833,0.2328875660751063,0.052886011015124426,0.023842264816852587,0.27691766340517016,0.27691766340517016,0.3909216646691004,0.8615300636426518,7343,2.2539759177005585e-12,8302,1.5154544286133387e-13,1.5154544286133387e-13,4.507951835402685e-12,0.054999642199043144,0.054999642199043144,0.3214680552482605,22,Tier 0: Core Bottleneck Transducer
POLR2E,698,252,0.025900740176439285,25.547622680664062,0.022063209069998254,0.3365420997142792,7.577272143066407e-14,3.2764699459075928,1.931696891784668,161,9.73569107055664,0.3365420997142792,3,3,0.27822786595364635,0.27822786595364635,0.01313208207428592,0.007144601910170715,0.2579511819691897,-2.1755515989118606,-2.1755515989118606,0.9852055970731107,0.9999259036003924,15483,2.2539759177005585e-12,7270,1.5154544286133387e-13,1.5154544286133387e-13,4.507951835402685e-12,0.022063209069998254,0.022063209069998254,0.3365420997142792,23,Tier 0: Core Bottleneck Transducer
RAB1B,701,201,0.03417975455522537,41.775489807128906,0.019936745965354413,0.40824005007743835,7.771561172375794e-14,2.4817068576812744,1.3078075647354126,191,6.079038143157959,0.40824005007743835,3,2,0.12427536731920387,0.07348831779864498,0.009408436777729361,-0.05078704952055889,0.11486693054147451,-2.3280299162823597,-2.3280299162823597,0.9900447424119311,0.9999259036003924,15590,2.2539759177005585e-12,1255,1.5548673459875317e-13,1.5548673459875317e-13,4.507951835402685e-12,0.019936745965354413,0.019936745965354413,0.40824005007743835,24,Tier 0: Core Bottleneck Transducer
ASPHD1,723,130,0.04044530168175697,38.444583892822266,0.03611757604181924,0.3003908395767212,8.160139230994567e-14,3.6698334217071533,3.258221387863159,108,12.740897178649902,0.28803572058677673,3,2,0.27446928192007464,0.2014646023382435,-0.07300467958183111,0.03762251192853096,0.23684676999154367,-1.117555222481112,-1.117555222481112,0.8681214990053752,0.9999259036003924,13999,2.2539759177005585e-12,9726,1.6325829577112927e-13,1.6325829577112927e-13,4.507951835402685e-12,0.03611757604181924,0.03611757604181924,0.3003908395767212,25,Tier 0: Core Bottleneck Transducer
CELF2,693,484,0.03271199390292168,32.279544830322266,0.02171097430229443,0.338489294052124,8.160139230994567e-14,8.437597274780273,3.4405431747436523,124,24.92721939086914,0.338489294052124,3,3,0.29956932728728963,0.29956932728728963,0.14515384761678518,0.021746615356985986,0.13266886431351846,-2.2046661214117433,-2.2046661214117433,0.9862612339324736,0.9999259036003924,15509,2.2539759177005585e-12,7120,1.6325829577112927e-13,1.6325829577112927e-13,4.507951835402685e-12,0.02171097430229443,0.02171097430229443,0.338489294052124,26,Tier 0: Core Bottleneck Transducer
LOC101060212,706,202,0.05023816600441933,41.563419342041016,0.024911861057492598,0.3329099714756012,8.160139230994567e-14,5.719193458557129,3.4599649906158447,125,17.179399490356445,0.3329099714756012,3,3,0.2177123340974758,0.2177123340974758,0.07169349414806271,0.014816448231664567,0.13120239171774853,-1.9617107029362146,-1.9617107029362146,0.9751019124782414,0.9999259036003924,15304,2.2539759177005585e-12,7532,1.6325829577112927e-13,1.6325829577112927e-13,4.507951835402685e-12,0.024911861057492598,0.024911861057492598,0.3329099714756012,27,Tier 0: Core Bottleneck Transducer
PSMA7,715,259,0.04077107459306717,25.899080276489258,0.044049544384358146,0.3588627278804779,8.160139230994567e-14,3.363877534866333,2.28372859954834,203,9.373716354370117,0.3588627278804779,3,3,0.38661507042595844,0.38661507042595844,0.10264904149171421,0.02434017180655462,0.2596258571276896,-0.5464418527090852,-0.5464418527090852,0.7076188762643993,0.9375160311806573,12222,2.2539759177005585e-12,5665,1.6325829577112927e-13,1.6325829577112927e-13,4.507951835402685e-12,0.044049544384358146,0.044049544384358146,0.3588627278804779,28,Tier 0: Core Bottleneck Transducer
GCHFR,708,88,0.06912016868591309,32.10203170776367,0.037493378320721166,0.3551446199417114,8.354428260303955e-14,5.623342990875244,3.3570938110351562,10,23.313480377197266,0.24120564758777618,3,3,0.22880624658569784,0.22880624658569784,0.08507675631486905,0.019748391330119415,0.12398109894070938,-1.0397785942758127,-1.0397785942758127,0.8507786118610192,0.9965308140635484,13822,2.2539759177005585e-12,5940,1.6708856520608606e-13,1.6708856520608606e-13,4.507951835402685e-12,0.037493378320721166,0.037493378320721166,0.3551446199417114,29,Tier 0: Core Bottleneck Transducer
KDELR2,691,221,0.03176051005721092,41.48541259765625,0.04184627259486834,0.40823879837989807,8.548717289613339e-14,5.0204901695251465,3.872201919555664,72,27.498355865478516,0.18257419764995575,3,3,0.5850081194717539,0.5850081194717539,0.37493617786427236,0.011405538342134034,0.19866640326534749,-0.7531394173495158,-0.7531394173495158,0.774316930027715,0.9633155328620487,13015,2.2539759177005585e-12,1499,1.7102985694350537e-13,1.7102985694350537e-13,4.507951835402685e-12,0.04184627259486834,0.04184627259486834,0.40823879837989807,30,Tier 0: Core Bottleneck Transducer
RPL9,689,194,0.037644755095243454,34.2766227722168,0.028835972170801874,0.3967287838459015,8.548717289613339e-14,2.7549052238464355,1.9172672033309937,130,32.811954498291016,0.08396041393280029,3,3,0.2737883849279583,0.2737883849279583,0.00873529882475208,0.06360228662764975,0.20145079947555647,-1.6942044498191862,-1.6942044498191862,0.954886780213451,0.9999259036003924,15008,2.2539759177005585e-12,2520,1.7102985694350537e-13,1.7102985694350537e-13,4.507951835402685e-12,0.028835972170801874,0.028835972170801874,0.3967287838459015,31,Tier 0: Core Bottleneck Transducer
SAP18,698,173,0.06073714420199394,41.68027877807617,0.03240180602056266,0.40824344754219055,8.548717289613339e-14,10.810821533203125,4.302459239959717,139,26.48130989074707,0.40824344754219055,3,3,0.20791306972281592,0.20791306972281592,0.07601314229395076,0.02761263215542833,0.10428729527343683,-1.4253581982790822,-1.4253581982790822,0.9229731575212016,0.9999259036003924,14603,2.2539759177005585e-12,849,1.7102985694350537e-13,1.7102985694350537e-13,4.507951835402685e-12,0.03240180602056266,0.03240180602056266,0.40824344754219055,32,Tier 0: Core Bottleneck Transducer
CREB1,711,367,0.03228742256760597,41.25847625732422,0.02222655294366381,0.33447200059890747,8.743006318922725e-14,3.513150215148926,2.4247453212738037,47,13.880913734436035,0.2530921399593353,3,2,0.26602182982083145,0.2393646673064047,-0.0266571625144267,0.08044819027472777,0.18557363954610365,-2.1541176528457715,-2.1541176528457715,0.9843845267490857,0.9999259036003924,15462,2.2539759177005585e-12,7415,1.7486012637846216e-13,1.7486012637846216e-13,4.507951835402685e-12,0.02222655294366381,0.02222655294366381,0.33447200059890747,33,Tier 0: Core Bottleneck Transducer
CYRIA,726,323,0.032426610589027405,28.315492630004883,0.02758845268966711,0.4081183075904846,8.743006318922725e-14,8.492934226989746,5.320226669311523,112,20.809980392456055,0.4081183075904846,3,2,0.3357688111784636,0.3357688111784636,0.0,0.11727813250047217,0.21849067867799143,-1.7455166873269072,-1.7455166873269072,0.9595525148571915,0.9999259036003924,15066,2.2539759177005585e-12,1943,1.7486012637846216e-13,1.7486012637846216e-13,4.507951835402685e-12,0.02758845268966711,0.02758845268966711,0.4081183075904846,34,Tier 0: Core Bottleneck Transducer
MPC1,687,123,0.0688774362206459,31.5208797454834,0.03654725908664113,0.3030543923377991,8.743006318922725e-14,5.849062442779541,3.3109309673309326,41,19.300371170043945,0.3030543923377991,3,2,0.14353442825320326,0.12361848337938378,0.06569970835862295,-0.019915944873819483,0.07783471989458031,-1.1417952576225552,-1.1417952576225552,0.8732304329671003,0.9999259036003924,14050,2.2539759177005585e-12,9552,1.7486012637846216e-13,1.7486012637846216e-13,4.507951835402685e-12,0.03654725908664113,0.03654725908664113,0.3030543923377991,35,Tier 0: Core Bottleneck Transducer
CCDC85B,704,208,0.056838855147361755,28.96478843688965,0.03133098539521628,0.3427937924861908,8.937295348232111e-14,3.7379043102264404,2.146651029586792,86,28.96478843688965,0.12904994189739227,3,3,0.2774552674332547,0.2774552674332547,0.11480914482809969,0.0639074084827696,0.09873871412238545,-1.495495592041502,-1.495495592041502,0.9326074252749241,0.9999259036003924,14720,2.2539759177005585e-12,6817,1.7869039581341895e-13,1.7869039581341895e-13,4.507951835402685e-12,0.03133098539521628,0.03133098539521628,0.3427937924861908,36,Tier 0: Core Bottleneck Transducer
CPSF6,711,608,0.023652255535125732,38.92012405395508,0.02106335313466509,0.4082416594028473,9.131584377541496e-14,3.816699981689453,1.8192729949951172,255,9.349119186401367,0.4082416594028473,3,2,0.2868828617392312,0.28081594515147335,-0.006066916587757895,0.10887613039572198,0.17800673134350925,-2.2393878254300605,-2.2393878254300605,0.9874346535854027,0.9999259036003924,15533,2.2539759177005585e-12,1000,1.8263168755083825e-13,1.8263168755083825e-13,4.507951835402685e-12,0.02106335313466509,0.02106335313466509,0.4082416594028473,37,Tier 0: Core Bottleneck Transducer
LSM12,710,195,0.024370716884732246,41.48879623413086,0.028390303073428252,0.38044285774230957,9.131584377541496e-14,5.493137359619141,4.250322341918945,65,14.438796997070312,0.38044285774230957,3,2,0.35753020938893815,0.33680625244527085,-0.020723956943667302,0.2317711484065681,0.12575906098237005,-1.7033605668404432,-1.7033605668404432,0.9557496937621771,0.9999259036003924,15017,2.2539759177005585e-12,3966,1.8263168755083825e-13,1.8263168755083825e-13,4.507951835402685e-12,0.028390303073428252,0.028390303073428252,0.38044285774230957,38,Tier 0: Core Bottleneck Transducer
C12orf57,704,131,0.05020357295870781,40.70009994506836,0.05237397951485304,0.38164201378822327,9.32587340685088e-14,4.3618597984313965,3.4985873699188232,119,29.60647964477539,0.14732787013053894,3,3,0.364525541800088,0.364525541800088,0.11736519174715479,0.07377502788389112,0.1733853221690421,0.03867607622779025,0.03867607622779025,0.4845743237695675,0.871945952743756,8997,2.2539759177005585e-12,3869,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.05237397951485304,0.05237397951485304,0.38164201378822327,39,Tier 0: Core Bottleneck Transducer
CIAO2B,710,170,0.050958242267370224,31.755407333374023,0.030530813457356278,0.3094888925552368,9.32587340685088e-14,5.399959564208984,4.35630464553833,169,30.87529754638672,0.17489579319953918,3,3,0.29544281712426473,0.29544281712426473,0.14514431940524303,0.04046115691652584,0.10983734080249585,-1.54656924057533,-1.54656924057533,0.9390164241532889,0.9999259036003924,14803,2.2539759177005585e-12,9114,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.030530813457356278,0.030530813457356278,0.3094888925552368,40,Tier 0: Core Bottleneck Transducer
CNRIP1,716,169,0.06819403171539307,42.81920623779297,0.04131419341493435,0.36727839708328247,9.32587340685088e-14,5.333218574523926,3.2965996265411377,111,14.520915031433105,0.36727839708328247,3,3,0.275450029324206,0.275450029324206,0.1304413801037666,0.007990600302769149,0.13701804891767022,-0.7457658607038415,-0.7457658607038415,0.7720955669226055,0.9621059824180691,12994,2.2539759177005585e-12,5045,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.04131419341493435,0.04131419341493435,0.36727839708328247,41,Tier 0: Core Bottleneck Transducer
FGF9,716,210,0.04710269346833229,36.82498550415039,0.020668722708158154,0.4082241654396057,9.32587340685088e-14,3.3462042808532715,1.8139057159423828,127,8.196977615356445,0.4082241654396057,3,3,0.2094920077616849,0.2094920077616849,0.007979256648175467,0.06417752547782817,0.13733522563568126,-2.2650937480801936,-2.2650937480801936,0.9882465363961477,0.9999259036003924,15551,2.2539759177005585e-12,1842,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.020668722708158154,0.020668722708158154,0.4082241654396057,42,Tier 0: Core Bottleneck Transducer
MYL12A,708,172,0.025731941685080528,28.985464096069336,0.025533690333473694,0.3422394096851349,9.32587340685088e-14,1.5438929796218872,1.265890121459961,157,23.188823699951172,0.0665791854262352,3,2,0.2497822614135592,0.2497822614135592,0.11912289497348881,0.1306593664400704,0.0,-1.9144540487425443,-1.9144540487425443,0.9722189174170583,0.9999259036003924,15244,2.2539759177005585e-12,6854,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.025533690333473694,0.025533690333473694,0.3422394096851349,43,Tier 0: Core Bottleneck Transducer
PIN1,717,179,0.06056760996580124,41.790260314941406,0.026036978421782157,0.4082382321357727,9.32587340685088e-14,3.8686106204986572,2.0520546436309814,152,9.47635555267334,0.4082382321357727,3,3,0.19815915914475227,0.19815915914475227,0.07679641945926849,0.02800456948841633,0.09335817019706745,-1.8690878013644177,-1.8690878013644177,0.9691947000560797,0.9999259036003924,15194,2.2539759177005585e-12,1619,1.8646195698579504e-13,1.8646195698579504e-13,4.507951835402685e-12,0.026036978421782157,0.026036978421782157,0.4082382321357727,44,Tier 0: Core Bottleneck Transducer
ENSG00000293562,685,64,0.07783596217632294,28.364221572875977,0.039249536615650595,0.3588689863681793,9.520162436160264e-14,8.288249015808105,6.9902520179748535,38,28.364221572875977,0.29220786690711975,3,3,0.2083388193758839,0.2083388193758839,0.032407734456109075,0.049190926580980544,0.12674015833879426,-0.9508837082860686,-0.9508837082860686,0.8291682935396762,0.9875498530460273,13594,2.2539759177005585e-12,5664,1.9040324872321435e-13,1.9040324872321435e-13,4.507951835402685e-12,0.039249536615650595,0.039249536615650595,0.3588689863681793,45,Tier 0: Core Bottleneck Transducer
CDC26,722,89,0.06862591207027435,37.6771354675293,0.033812363419280025,0.3487471044063568,9.714451465469648e-14,3.482142210006714,2.4160382747650146,45,36.703392028808594,0.09487248957157135,3,3,0.16562192209613613,0.16562192209613613,0.061668999884266475,0.03269965132831908,0.07125327088355057,-1.2895013666677433,-1.2895013666677433,0.9013880792404134,0.9999259036003924,14352,2.2539759177005585e-12,6432,1.9423351815817114e-13,1.9423351815817114e-13,4.507951835402685e-12,0.033812363419280025,0.033812363419280025,0.3487471044063568,46,Tier 0: Core Bottleneck Transducer
CMC2,701,79,0.09740099310874939,38.72307205200195,0.045115255976656596,0.3062022030353546,9.714451465469648e-14,2.8733274936676025,2.7368195056915283,55,9.383758544921875,0.3062022030353546,3,3,0.19750843153873576,0.19750843153873576,0.12112479098045276,0.03243462258680909,0.0439490179714739,-0.4966808208445038,-0.4966808208445038,0.6902929253201984,0.9315211959296373,11998,2.2539759177005585e-12,9350,1.9423351815817114e-13,1.9423351815817114e-13,4.507951835402685e-12,0.045115255976656596,0.045115255976656596,0.3062022030353546,47,Tier 0: Core Bottleneck Transducer
FGF18,677,207,0.04887005686759949,40.74242401123047,0.02965587814800548,0.2996880114078522,9.714451465469648e-14,4.418060779571533,2.4063022136688232,106,14.74220085144043,0.2996880114078522,3,3,0.2777334061836241,0.2777334061836241,0.1891301842228994,0.03133201946555296,0.05727120249517169,-1.6492545646498071,-1.6492545646498071,0.9504522531829318,0.9999259036003924,14930,2.2539759177005585e-12,9769,1.9423351815817114e-13,1.9423351815817114e-13,4.507951835402685e-12,0.02965587814800548,0.02965587814800548,0.2996880114078522,48,Tier 0: Core Bottleneck Transducer
