gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,tier,z_track_b,p_track_b,q_track_b,p_combined
PRSS8,656,372,41.7442626953125,0.10065077,2.7296631475422846,0.003169953501804031,0.851291589607673,21,1,5,0.0045549707,1065,21,0.014686094,0.0014495682,0.09322186,0.115055606,0.0006488422,Background,2.7296631475422846,0.003169953501804031,0.851291589607673,0.003169953501804031
MLX,619,299,42.13563537597656,0.10041566,2.723648338669813,0.0032282606821902164,0.851291589607673,22,1,5,0.00807967,315,22,0.08411232,0.0013109748,0.0064968406,0.10159973,0.031016387,Background,2.723648338669813,0.0032282606821902164,0.851291589607673,0.0032282606821902164
CHD9NB,704,75,32.72688293457031,0.099421605,2.6887272724909015,0.003586249607986906,0.851291589607673,23,0,4,0.0022479405,9238,23,0.0002893638,0.0013213465,0.12449952,-0.0035108887,0.099714115,Background,2.6887272724909015,0.003586249607986906,0.851291589607673,0.003586249607986906
CTDSP2,712,271,32.45231246948242,0.0993852,2.6872757609411693,0.0036018726468799436,0.851291589607673,24,1,5,0.020021383,63,24,0.0431225,0.07564004,0.0047621457,0.042474937,0.05623246,Background,2.6872757609411693,0.0036018726468799436,0.851291589607673,0.0036018726468799436
STARD8,664,1074,41.884220123291016,0.0989191,2.674252526474645,0.003744801545742613,0.851291589607673,25,0,4,0.003417115,2338,25,0.029877499,0.0014423546,0.07812784,-0.00143978,0.11318193,Background,2.674252526474645,0.003744801545742613,0.851291589607673,0.003744801545742613
STAG3,675,1314,44.36661148071289,0.098789565,2.6696843471040745,0.0037961291734392084,0.851291589607673,26,0,4,0.004555014,1064,26,0.078232855,0.08233294,0.019006371,-0.0009874343,0.042315446,Background,2.6696843471040745,0.0037961291734392084,0.851291589607673,0.0037961291734392084
CACNA1H,595,2529,38.570030212402344,0.097907685,2.6452612548737577,0.0040813933387527975,0.851291589607673,27,1,5,0.0043143984,1397,27,0.10411541,0.04097744,0.000995745,0.07220261,0.0006370693,Background,2.6452612548737577,0.0040813933387527975,0.851291589607673,0.0040813933387527975
RNF111,694,1042,41.669044494628906,0.09718909,2.617896543602604,0.00442368121511268,0.851291589607673,28,0,4,0.00357349,2090,28,0.053862024,0.0019946317,0.024071645,-0.0014979374,0.13889104,Background,2.617896543602604,0.00442368121511268,0.851291589607673,0.00442368121511268
SLC19A3,678,637,44.390628814697266,0.096946076,2.6108354607345112,0.004516066941585821,0.851291589607673,29,1,5,0.0049759927,865,29,0.06407742,0.0013009985,0.019311134,0.13108066,0.0010077935,Background,2.6108354607345112,0.004516066941585821,0.851291589607673,0.004516066941585821
LHFPL5,714,219,39.618865966796875,0.09623039,2.586462052494363,0.004848342350524525,0.851291589607673,30,0,4,0.00370194,1906,30,0.0864376,0.0022456702,0.07167548,-0.0018378627,0.056656815,Background,2.586462052494363,0.004848342350524525,0.851291589607673,0.004848342350524525
OR2D3,297,356,41.53977966308594,0.09478015,2.5739043148599614,0.0050279039474452145,0.851291589607673,31,1,5,0.025780963,48,31,0.009484855,0.073791996,0.060226955,0.019472398,0.04895866,Background,2.5739043148599614,0.0050279039474452145,0.851291589607673,0.0050279039474452145
DHPS,715,383,35.36063766479492,0.095398195,2.5598439393994123,0.005235958845850232,0.851291589607673,32,1,5,0.015877472,78,32,0.06745039,0.04208777,0.0032156217,0.042660873,0.057902202,Background,2.5598439393994123,0.005235958845850232,0.851291589607673,0.005235958845850232
SLC38A5,583,515,41.24372863769531,0.09437314,2.534077243062602,0.005637193816328305,0.851291589607673,33,1,5,0.0045476016,1073,33,0.03293451,0.021464959,3.7252903e-09,0.06992056,0.08670473,Background,2.534077243062602,0.005637193816328305,0.851291589607673,0.005637193816328305
LDAF1,709,168,42.79387664794922,0.094275765,2.5242769099327234,0.0057968282447664774,0.851291589607673,34,1,5,0.0128186215,118,34,0.03827831,0.0023575774,0.027450234,0.04569953,0.097021356,Background,2.5242769099327234,0.0057968282447664774,0.851291589607673,0.0057968282447664774
CCDC34,685,410,41.37617492675781,0.09380486,2.5104122664079296,0.006029514167337309,0.851291589607673,35,0,4,0.004518887,1105,35,0.03276103,0.1142587,0.021175157,-0.00077656563,0.042335756,Background,2.5104122664079296,0.006029514167337309,0.851291589607673,0.006029514167337309
MGRN1,688,597,41.10553741455078,0.09348396,2.5000331560115145,0.006209084181329116,0.851291589607673,36,1,5,0.03565578,7,36,0.07853152,0.031115416,0.020869363,0.033294138,0.045226086,Background,2.5000331560115145,0.006209084181329116,0.851291589607673,0.006209084181329116
TBX22,643,545,42.35588836669922,0.093033135,2.4880768540512266,0.00642179873758985,0.851291589607673,37,1,5,0.0064540175,494,37,0.012855524,0.0005400949,0.07889519,0.0818164,0.033921197,Background,2.4880768540512266,0.00642179873758985,0.851291589607673,0.00642179873758985
ANKMY1,551,748,41.36090087890625,0.09264061,2.4814645786882283,0.006542185699862729,0.851291589607673,38,0,4,0.0038951626,1703,38,0.053191543,0.073025696,0.0031814277,-0.0010640323,0.07881606,Background,2.4814645786882283,0.006542185699862729,0.851291589607673,0.006542185699862729
OR1A2,130,313,41.599578857421875,0.08970293,2.47265513443308,0.006705674574528208,0.851291589607673,39,0,2,0.0016552047,13646,39,0.12284,0.0,0.07774186,0.0,-8.8664437e-10,Background,2.47265513443308,0.006705674574528208,0.851291589607673,0.006705674574528208
CYP3A43,100,506,42.69158172607422,0.08882187,2.4683129305234144,0.006787579334634643,0.851291589607673,40,0,4,0.0024354374,7406,40,0.03456337,0.06703639,4.656613e-10,0.0,0.097012,Background,2.4683129305234144,0.006787579334634643,0.851291589607673,0.006787579334634643
FBXL13,602,839,41.83002471923828,0.09203983,2.4590276933974984,0.006965693547094215,0.851291589607673,41,1,5,0.032340184,20,41,0.020973299,0.042024028,0.027073253,0.024377182,0.09135957,Background,2.4590276933974984,0.006965693547094215,0.851291589607673,0.006965693547094215
MBOAT7,638,489,40.22858810424805,0.09208068,2.4581031298629865,0.0069836529079726675,0.851291589607673,42,0,4,0.0046267807,1021,42,0.06868486,0.04656989,0.057425335,-0.001271124,0.0344897,Background,2.4581031298629865,0.0069836529079726675,0.851291589607673,0.0069836529079726675
OR11G2,247,319,41.53242874145508,0.0905706,2.4560921060983576,0.007022857628866461,0.851291589607673,43,0,4,0.004481572,1155,43,0.012549557,0.07428457,0.07843468,0.061480887,-0.02422766,Background,2.4560921060983576,0.007022857628866461,0.851291589607673,0.007022857628866461
GPR33,667,346,41.972137451171875,0.09189821,2.4506313597952336,0.00713029590975488,0.851291589607673,44,1,5,0.0053899963,703,44,0.06140824,0.0018365029,0.0009417501,0.027262766,0.11404141,Background,2.4506313597952336,0.00713029590975488,0.851291589607673,0.00713029590975488
NSL1,689,302,40.85871887207031,0.09163715,2.4411044902311283,0.007321208716628341,0.851291589607673,45,1,5,0.009114337,239,45,0.033976816,0.03226384,0.005080911,0.0021453113,0.13144001,Background,2.4411044902311283,0.007321208716628341,0.851291589607673,0.007321208716628341
KYAT3,697,435,42.54063034057617,0.09141165,2.4334826385561756,0.007477176284394418,0.851291589607673,46,0,4,0.002988604,3550,46,0.055458188,0.12626155,0.023015194,-0.0009829593,0.00065067783,Background,2.4334826385561756,0.007477176284394418,0.851291589607673,0.007477176284394418
ANGPTL7,720,348,41.93658828735352,0.09124934,2.427091833496798,0.00761020131601064,0.851291589607673,47,1,5,0.006079608,554,47,0.04863492,0.0036607645,0.0047838097,0.14550921,0.001451008,Background,2.427091833496798,0.00761020131601064,0.851291589607673,0.00761020131601064
UBQLN1,698,607,41.34725189208984,0.09080275,2.414005096190005,0.007889120836133546,0.851291589607673,48,1,5,0.012719791,119,48,0.054930963,0.0023298375,0.023171073,0.07413677,0.048472486,Background,2.414005096190005,0.007889120836133546,0.851291589607673,0.007889120836133546
SETD2,672,2665,44.69522476196289,0.09070787,2.412447049463684,0.00792291946151944,0.851291589607673,49,0,4,0.004503665,1123,49,0.076215856,0.028253574,0.01862137,-0.001855236,0.08159342,Background,2.412447049463684,0.00792291946151944,0.851291589607673,0.00792291946151944
NDUFB10,704,183,41.74994659423828,0.09072757,2.411279086578387,0.007948339464874552,0.851291589607673,50,1,5,0.0097216405,209,50,0.059019126,0.0038577653,0.002913665,0.036873635,0.10020885,Background,2.411279086578387,0.007948339464874552,0.851291589607673,0.007948339464874552
PMP22,704,166,37.70294570922851,0.090693094,2.4101788720453747,0.007972350537261388,0.851291589607673,51,1,5,0.0058779893,590,51,0.05849191,0.10161966,0.0049527846,0.037143983,0.00058762357,Background,2.4101788720453747,0.007972350537261388,0.851291589607673,0.007972350537261388
NSUN7,670,772,41.651817321777344,0.090430066,2.4037180141248045,0.008114643321111302,0.851291589607673,52,1,5,0.03479762,11,52,0.06126804,0.053264212,0.018194633,0.029683536,0.039797373,Background,2.4037180141248045,0.008114643321111302,0.851291589607673,0.008114643321111302
ATRX,610,2566,44.53533172607422,0.09011265,2.397428402838961,0.008255303654577594,0.851291589607673,53,1,5,0.0371744,6,53,0.059429377,0.02257391,0.039904688,0.047987968,0.031602073,Background,2.397428402838961,0.008255303654577594,0.851291589607673,0.008255303654577594
GSTA2,115,223,31.50017547607422,0.086580835,2.3939679735117916,0.008333602031231596,0.851291589607673,54,0,3,0.0024484738,7272,54,0.04792324,-0.043583028,0.07701745,0.0,0.112242974,Background,2.3939679735117916,0.008333602031231596,0.851291589607673,0.008333602031231596
SLC30A10,681,447,40.616493225097656,0.08988097,2.3855813331443256,0.008526075652612685,0.851291589607673,55,0,4,0.004718634,977,55,0.047974065,0.05699905,-0.085410625,0.09853724,0.08288023,Background,2.3855813331443256,0.008526075652612685,0.851291589607673,0.008526075652612685
DDB2,689,452,41.834495544433594,0.08973935,2.3806003869538492,0.008642225416945745,0.851291589607673,56,0,4,0.003915264,1689,56,0.03419626,0.030496528,0.0037759207,0.0,0.13219461,Background,2.3806003869538492,0.008642225416945745,0.851291589607673,0.008642225416945745
CTRB2,171,266,37.56807327270508,0.08707657,2.3766678680793594,0.008734905143247979,0.851291589607673,57,0,3,0.0024290204,7465,57,0.10192191,0.0,0.088986,-0.02178454,0.025585717,Background,2.3766678680793594,0.008734905143247979,0.851291589607673,0.008734905143247979
C5orf52,641,171,41.93336486816406,0.089323014,2.3703035151525467,0.008886744024542556,0.851291589607673,58,1,5,0.01362219,100,58,0.036457725,0.004964164,0.06425275,0.08821538,0.0058423094,Background,2.3703035151525467,0.008886744024542556,0.851291589607673,0.008886744024542556
CCDC195,704,238,40.69179916381836,0.08937263,2.36803959593678,0.008941310968573118,0.851291589607673,59,1,5,0.015576609,83,59,0.035269734,0.039875362,0.086324014,0.035021525,0.003352642,Background,2.36803959593678,0.008941310968573118,0.851291589607673,0.008941310968573118
RBM33,662,1140,41.78501510620117,0.08914209,2.363206575671626,0.009058783732799499,0.851291589607673,60,1,5,0.0336673,14,60,0.05816286,0.027409563,0.0175921,0.058376912,0.037786312,Background,2.363206575671626,0.009058783732799499,0.851291589607673,0.009058783732799499
UACA,678,1437,41.758033752441406,0.08900792,2.35794476112494,0.00918821360608595,0.851291589607673,61,0,4,0.0045421612,1077,61,0.04313704,0.05720309,0.019506536,-0.0018211263,0.08100219,Background,2.35794476112494,0.00918821360608595,0.851291589607673,0.00918821360608595
PTPRQ,650,2359,41.65717697143555,0.08886515,2.3551641520905813,0.009257262422589792,0.851291589607673,62,1,5,0.03830456,3,62,0.055341527,0.048154615,0.031727437,0.028015641,0.03546931,Background,2.3551641520905813,0.009257262422589792,0.851291589607673,0.009257262422589792
OR56B4,162,322,41.49099349975586,0.086053446,2.350969919408129,0.009362273752125443,0.851291589607673,63,0,4,0.0024482305,7275,63,0.07226376,0.082546845,9.313226e-10,-0.021364406,0.05897519,Background,2.350969919408129,0.009362273752125443,0.851291589607673,0.009362273752125443
SFTA2,703,94,33.855072021484375,0.088832036,2.350846155151458,0.009365388212086713,0.851291589607673,64,0,4,0.0035589475,2113,64,0.022196233,0.0021411409,0.026200114,-0.0006217696,0.14871874,Background,2.350846155151458,0.009365388212086713,0.851291589607673,0.009365388212086713
MSLNL,263,807,34.28852462768555,0.08678476,2.33829469173144,0.00968598310011762,0.851291589607673,65,0,4,0.0045836186,1040,65,0.059814468,0.033346266,0.03109389,0.0,0.06980198,Background,2.33829469173144,0.00968598310011762,0.851291589607673,0.00968598310011762
SUGP1,695,688,41.6131706237793,0.0882716,2.33344197552554,0.009812480186189127,0.851291589607673,66,0,4,0.0032331687,2772,66,0.054801058,0.0021006255,0.0040282644,-0.0022427235,0.13869405,Background,2.33344197552554,0.009812480186189127,0.851291589607673,0.009812480186189127
GPAT2P1,686,571,42.82056427001953,0.08820021,2.3317153299670954,0.009857835904184056,0.851291589607673,67,1,5,0.0042144065,1507,67,0.13719735,0.0028320882,0.02021331,0.036794968,0.0001839678,Background,2.3317153299670954,0.009857835904184056,0.851291589607673,0.009857835904184056
OR8G1,120,332,41.4715576171875,0.084275305,2.325195955396491,0.010030742265324926,0.851291589607673,68,0,3,0.0016550788,13649,68,3.2573437e-09,0.092865124,0.09558022,0.0,-9.189281e-10,Background,2.325195955396491,0.010030742265324926,0.851291589607673,0.010030742265324926
MASP2,652,643,41.602657318115234,0.0878517,2.3228069483074996,0.010094762823543242,0.851291589607673,69,0,4,0.002996053,3513,69,0.081101015,0.098026864,0.016985964,-0.000363552,0.00069209,Background,2.3228069483074996,0.010094762823543242,0.851291589607673,0.010094762823543242
EEIG1,697,405,39.64442443847656,0.087909296,2.3217645876599033,0.010122807514544873,0.851291589607673,70,1,5,0.0065844045,477,70,0.054978117,0.06338319,0.004173045,0.07311069,0.0009261481,Background,2.3217645876599033,0.010122807514544873,0.851291589607673,0.010122807514544873
SNAP47,659,422,42.037200927734375,0.08749317,2.310934074024796,0.010418248308383858,0.851291589607673,71,1,5,0.016579077,74,71,0.026423618,0.10018161,0.004150056,0.027638068,0.037247322,Background,2.310934074024796,0.010418248308383858,0.851291589607673,0.010418248308383858
CLPSL2,656,104,37.025390625,0.08740677,2.3083870930929953,0.010488808111486456,0.851291589607673,72,0,4,0.0037240654,1884,72,0.006963808,-0.00013904064,0.11569923,0.0041506733,0.068772815,Background,2.3083870930929953,0.010488808111486456,0.851291589607673,0.010488808111486456
CDIP1,722,211,39.34073257446289,0.087526,2.308032605633954,0.010498661526568998,0.851291589607673,73,1,5,0.013758336,99,73,0.048071615,0.0026182793,0.030555211,0.04942572,0.065043285,Background,2.308032605633954,0.010498661526568998,0.851291589607673,0.010498661526568998
USO1,670,1002,42.03034973144531,0.08724529,2.302314325424338,0.010658726268035426,0.851291589607673,74,0,4,0.003207494,2845,74,0.07556617,0.05303617,0.06723891,-0.0017055701,0.0009507313,Background,2.302314325424338,0.010658726268035426,0.851291589607673,0.010658726268035426
PMEL,700,858,41.5936279296875,0.08721252,2.2993522156299906,0.01074247350920993,0.851291589607673,75,0,4,0.0037774437,1815,75,0.075305305,0.0028998205,0.021752778,-0.002286484,0.09734172,Background,2.2993522156299906,0.01074247350920993,0.851291589607673,0.01074247350920993
UPF3B,676,543,42.26215362548828,0.087142594,2.2986502440282024,0.010762404008325056,0.851291589607673,76,1,5,0.01200592,132,76,0.06250549,0.0022579888,0.019236084,0.030129017,0.08072819,Background,2.2986502440282024,0.010762404008325056,0.851291589607673,0.010762404008325056
MAGED1,651,843,41.28053283691406,0.08671296,2.286665111734778,0.011107688783548612,0.851291589607673,77,1,5,0.012939862,115,77,0.070293196,0.0023890762,0.02988835,0.055690564,0.035634905,Background,2.286665111734778,0.011107688783548612,0.851291589607673,0.011107688783548612
SRSF10,686,273,40.96928405761719,0.086760595,2.2858278820978195,0.011132164916021803,0.851291589607673,78,1,5,0.0081031555,312,78,0.07725387,0.0020537595,0.0031669838,0.06753838,0.04398959,Background,2.2858278820978195,0.011132164916021803,0.851291589607673,0.011132164916021803
OR1S2,290,312,42.17219161987305,0.08513255,2.2819387833438167,0.011246477345827817,0.851291589607673,79,0,4,0.0046392716,1014,79,0.06473755,0.034087416,0.054357864,0.061582696,-0.02440334,Background,2.2819387833438167,0.011246477345827817,0.851291589607673,0.011246477345827817
ARMC2,655,910,42.03529357910156,0.08644362,2.2778201983123423,0.011368646199191838,0.851291589607673,80,0,4,0.0045920652,1034,80,0.06838274,0.049640615,0.046564005,0.028717048,-1.0613358e-05,Background,2.2778201983123423,0.011368646199191838,0.851291589607673,0.011368646199191838
PRDX5,691,232,32.23439407348633,0.08629898,2.2707868927599573,0.011579940898676942,0.851291589607673,81,1,5,0.0061160033,551,81,0.13492572,0.0031014406,0.019461112,0.034438238,0.0010438934,Background,2.2707868927599573,0.011579940898676942,0.851291589607673,0.011579940898676942
BIN1,686,512,41.5479736328125,0.08626934,2.2701692246074345,0.011598658747826162,0.851291589607673,82,0,4,0.0038622122,1729,82,0.11598046,0.030245509,0.0033035413,-0.0017611575,0.045135766,Background,2.2701692246074345,0.011598658747826162,0.851291589607673,0.011598658747826162
CCDC197,368,313,42.001346588134766,0.085224845,2.2698766991767245,0.011607532617471411,0.851291589607673,83,1,5,0.007810946,337,83,0.06046495,0.0008802153,0.018105973,0.036930233,0.07418719,Background,2.2698766991767245,0.011607532617471411,0.851291589607673,0.011607532617471411
ASPH,584,795,44.74443054199219,0.085985385,2.268698424189669,0.011643335752511958,0.851291589607673,84,1,5,0.035377737,8,84,0.03216637,0.020980759,0.035889037,0.04523637,0.05799663,Background,2.268698424189669,0.011643335752511958,0.851291589607673,0.011643335752511958
MRPS31,661,447,41.39702606201172,0.086132355,2.2674993020622485,0.011679870744874697,0.851291589607673,85,0,4,0.0045153913,1110,85,-0.0057183392,0.049795285,0.016432643,0.0579419,0.074146315,Background,2.2674993020622485,0.011679870744874697,0.851291589607673,0.011679870744874697
STX8,694,143,36.72638320922851,0.08594145,2.2591899820185826,0.011935784860811725,0.851291589607673,86,1,5,0.034245696,13,86,0.018068183,0.0370715,0.05806701,0.033894405,0.045069803,Background,2.2591899820185826,0.011935784860811725,0.851291589607673,0.011935784860811725
RAB26,689,268,41.4461669921875,0.08577976,2.254363985702042,0.012086639503845585,0.851291589607673,87,1,5,0.0077289967,344,87,0.034067944,0.031227442,0.02084237,0.1047924,0.00087922625,Background,2.254363985702042,0.012086639503845585,0.851291589607673,0.012086639503845585
PLXNA3,662,1896,41.420875549316406,0.08563205,2.251508835514054,0.012176663957617044,0.851291589607673,88,1,5,0.01397842,98,88,0.043128047,0.0030575206,0.0183095,0.08904924,0.037934784,Background,2.251508835514054,0.012176663957617044,0.851291589607673,0.012176663957617044
PRSS38,597,351,41.20341873168945,0.08547214,2.2513800789404876,0.01218073738189918,0.851291589607673,89,0,4,0.0045403983,1081,89,0.046083532,0.019681945,-0.012690533,0.04719914,0.09084743,Background,2.2513800789404876,0.01218073738189918,0.851291589607673,0.01218073738189918
PLEKHS1,704,556,41.80105209350586,0.08533663,2.239240841579004,0.012570124881924594,0.851291589607673,90,1,5,0.03717942,5,90,0.041835055,0.03595685,0.024423836,0.039068162,0.04953464,Background,2.239240841579004,0.012570124881924594,0.851291589607673,0.012570124881924594
GNG7,676,69,35.07796859741211,0.08522511,2.237572108654624,0.01262448604841738,0.851291589607673,91,0,4,0.002330229,8675,91,0.13716578,0.05314704,0.002598293,-0.0025295252,0.00018751244,Background,2.237572108654624,0.01262448604841738,0.851291589607673,0.01262448604841738
SHISA6,598,591,38.10787582397461,0.08500208,2.2364120637447487,0.012662395819581318,0.851291589607673,92,1,5,0.014461018,90,92,0.0033619935,0.040779497,0.015079133,0.07165667,0.059193157,Background,2.2364120637447487,0.012662395819581318,0.851291589607673,0.012662395819581318
MKNK2,690,471,31.849098205566406,0.08493729,2.227436880290979,0.01295904494944658,0.851291589607673,93,1,5,0.012106436,129,93,0.05133702,0.0021901964,0.02135136,0.069607444,0.045439534,Background,2.227436880290979,0.01295904494944658,0.851291589607673,0.01295904494944658
PPP1R12C,564,841,41.18305969238281,0.08461546,2.227147238419914,0.012968717497293484,0.851291589607673,94,1,5,0.025820127,47,94,0.044922683,0.08403224,0.01154376,0.020883115,0.027824124,Background,2.227147238419914,0.012968717497293484,0.851291589607673,0.012968717497293484
C11orf42,724,394,41.63508224487305,0.08491636,2.2245301031322806,0.013056399730957916,0.851291589607673,95,0,4,0.0038714614,1724,95,0.025090264,0.0036680195,0.030795116,-0.002033081,0.13235842,Background,2.2245301031322806,0.013056399730957916,0.851291589607673,0.013056399730957916
LBHD2,632,122,32.92851257324219,0.08457395,2.220100058450885,0.013205988124231146,0.851291589607673,96,1,5,0.02156878,59,96,0.024175607,0.066033766,0.006814683,0.028685633,0.06340341,Background,2.220100058450885,0.013205988124231146,0.851291589607673,0.013205988124231146
TMEM259,633,671,40.766807556152344,0.0844322,2.2155209128963214,0.013362165270326054,0.851291589607673,97,1,5,0.007348855,384,97,0.06364345,0.045133866,0.028085977,0.051237088,0.0006957538,Background,2.2155209128963214,0.013362165270326054,0.851291589607673,0.013362165270326054
CYP2C19,122,514,40.13868713378906,0.08042622,2.2147269541643286,0.013389405802948272,0.851291589607673,98,0,3,0.0024266273,7484,98,0.028136328,0.069496945,0.08256515,0.0,-0.00035990778,Background,2.2147269541643286,0.013389405802948272,0.851291589607673,0.013389405802948272
AIPL1,643,368,34.04005432128906,0.084430076,2.2146811250554306,0.013390979651505753,0.851291589607673,99,1,5,0.0074197594,375,99,0.041214377,0.047690865,0.044315405,0.054874897,0.0006958199,Background,2.2146811250554306,0.013390979651505753,0.851291589607673,0.013390979651505753
C16orf86,687,357,41.56841278076172,0.084461585,2.2124777853504844,0.013466834739968094,0.851291589607673,100,0,4,0.0040160995,1620,100,-0.0304486,0.0042247726,0.054755293,0.035050746,0.12527964,Background,2.2124777853504844,0.013466834739968094,0.851291589607673,0.013466834739968094
