gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,delta_clade_7,delta_clade_8,tier,z_track_b,p_track_b,q_track_b,p_combined
CD1D,458,351,40.36782455444336,0.009081359,1.4886683713561062,0.06828735883449669,0.6548997868160297,68,0,3,0.0014618048126564,1856,68,0.0028970800340175,0.0,-1.4758234881348962e-16,0.004761145915836,-0.0048704626969993,0.0225250329822301,0.0,0.0,Background,1.4886683713561062,0.06828735883449669,0.6548997868160297,0.06828735883449669
OR2T6,332,315,41.76472091674805,0.0092838695,1.473213263125111,0.07034676993464209,0.6548997868160297,69,0,5,0.0019702674815098,42,69,-0.005620963871479,0.0024077072739601,0.0038326010107994,0.0042361505329608,0.0,0.0225004311650991,0.0,0.0020632594823837,Background,1.473213263125111,0.07034676993464209,0.6548997868160297,0.07034676993464209
TAS2R31,130,365,37.65655899047851,0.01370024,1.4549461735132538,0.0728420817904535,0.6548997868160297,70,0,2,0.0012916029962275,7105,70,0.0,0.0,0.0125245042145252,0.0,0.0,0.0073393210768699,0.0,0.0,Background,1.4549461735132538,0.0728420817904535,0.6548997868160297,0.0728420817904535
LOC124900290,283,393,40.64752197265625,0.0093468055,1.4545001847866978,0.07290384114082023,0.6548997868160297,71,0,5,0.0019903333962592,35,71,-0.012465507723391,0.0023287397343665,0.0051107299514114,0.0,0.0,0.0080736400559544,0.0072169029153883,0.0020916026551276,Background,1.4545001847866978,0.07290384114082023,0.6548997868160297,0.07290384114082023
OXCT2,140,559,34.53047180175781,0.012953672,1.4537002549511535,0.07301471374033802,0.6548997868160297,72,0,3,0.0014843454899533,1498,72,0.0111260376870632,0.0,-8.1645571960291e-17,0.0071358829736709,0.0044288411736488,0.0,0.0,0.0,Background,1.4537002549511535,0.07301471374033802,0.6548997868160297,0.07301471374033802
IGLL5,144,203,34.87202453613281,0.012632525,1.4465834899069523,0.0740068065119284,0.6548997868160297,73,0,1,0.0011310051820797,15957,73,0.0,0.0,-8.302880323293689e-17,0.0,0.0,0.0126325264573097,0.0,0.0,Background,1.4465834899069523,0.0740068065119284,0.6548997868160297,0.0740068065119284
DKKL1,208,261,40.48056411743164,0.009519972,1.4212475191908207,0.07762240727779454,0.6548997868160297,74,0,2,0.0013068734818077,6387,74,0.0099332779645919,0.0,-0.0137079581618309,0.0,0.0,0.0323153287172317,-0.0137079581618309,0.0,Background,1.4212475191908207,0.07762240727779454,0.6548997868160297,0.07762240727779454
LOC124901482,145,395,38.50542068481445,0.012268336,1.402070982386745,0.08044702560009187,0.6548997868160297,75,0,1,0.0011306833189102,15964,75,0.0,0.0,-8.3110138248208e-17,0.0,0.0,0.0122683197259902,0.0,0.0,Background,1.402070982386745,0.08044702560009187,0.6548997868160297,0.08044702560009187
TARP,227,87,38.832515716552734,0.009268369,1.3912727071974103,0.08207137339998533,0.6548997868160297,76,0,1,0.0011271754712575,16032,76,0.0,0.0,-1.0399529727975928e-16,0.0,0.0,0.0092683611437678,0.0,0.0,Background,1.3912727071974103,0.08207137339998533,0.6548997868160297,0.08207137339998533
PRDM7,127,519,42.26097869873047,0.013162574,1.3509910839311676,0.0883491444143003,0.6548997868160297,77,0,3,0.0015306952810016,977,77,0.0,0.0126037588343024,-0.0126498807221651,0.0117524620145559,0.0,-0.0004376806318759,-0.0126498732715845,0.0124304248020052,Background,1.3509910839311676,0.0883491444143003,0.6548997868160297,0.0883491444143003
H3C10,225,136,25.16450881958008,0.008985618,1.3327029128310461,0.09131465849986731,0.6548997868160297,78,0,5,0.0019653866731967,44,78,-0.0239017885178327,0.0033683523070067,0.0045719817280769,0.0044302083551883,0.0,0.0306336749345064,0.0,0.0012406938476487,Background,1.3327029128310461,0.09131465849986731,0.6548997868160297,0.09131465849986731
TUBA3E,152,454,31.8208065032959,0.011340817,1.3252843159480423,0.09253843448698623,0.6548997868160297,79,0,5,0.0021185902593387,13,79,0.003225602209568,0.0,0.004656970500946,-2.5033950805664062e-05,0.0051729753613471,0.0408389903604984,0.0046569854021072,0.0,Background,1.3252843159480423,0.09253843448698623,0.6548997868160297,0.09253843448698623
EFCAB13,235,1200,43.06996536254883,0.008872148,1.3198473938252444,0.09344298718281713,0.6548997868160297,80,0,5,0.0014742651088979,1653,80,0.0,0.0121408030390739,0.0,-0.0002452097833156,0.0057524675503373,0.0039446307346224,1.0595565577450584e-16,1.0595565577450584e-16,Background,1.3198473938252444,0.09344298718281713,0.6548997868160297,0.09344298718281713
LAIR1,126,302,41.09635543823242,0.013000289,1.3192214938077726,0.09354753729998172,0.6548997868160297,81,0,4,0.0012909341527689,7139,81,0.0088949361816048,7.762507713658926e-17,0.0,0.0,0.0,0.0,0.009416558779776,7.762507713658926e-17,Background,1.3192214938077726,0.09354753729998172,0.6548997868160297,0.09354753729998172
