gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,tier,z_track_b,p_track_b,q_track_b,p_combined
RPS14,683,162,41.6165657043457,0.13732661,3.822107634924513,6.615795435766402e-05,0.08162929711800035,11,0,2,0.0016277768,6623,11,0.28145456,-0.0023984318,-0.0056065787,0.001203618,Tier 2: Physiological Homeostasis Modifier,3.822107634924513,6.615795435766402e-05,0.08162929711800035,6.615795435766402e-05
RAB14,729,215,14.067194938659668,0.13535109,3.8198406140636236,6.676896836274264e-05,0.08162929711800035,12,0,3,0.002659334,1158,12,0.035920553,-0.0043370733,0.2380039,0.0011147601,Tier 2: Physiological Homeostasis Modifier,3.8198406140636236,6.676896836274264e-05,0.08162929711800035,6.676896836274264e-05
ADM,719,207,40.517635345458984,0.13572362,3.8191182687162617,6.696477131043316e-05,0.08162929711800035,13,0,2,0.0019673894,2875,13,0.033363435,0.24587682,-0.006538376,-0.0012546794,Tier 2: Physiological Homeostasis Modifier,3.8191182687162617,6.696477131043316e-05,0.08162929711800035,6.696477131043316e-05
TXNDC17,703,125,41.68289566040039,0.13611676,3.811499304959475,6.906322206327449e-05,0.08162929711800035,14,0,2,0.0015764681,7696,14,0.2780314,-0.004377512,-0.0022939695,0.0008735932,Tier 2: Physiological Homeostasis Modifier,3.811499304959475,6.906322206327449e-05,0.08162929711800035,6.906322206327449e-05
PAN3,657,927,41.80866622924805,0.13742061,3.7911772688810763,7.496744359815153e-05,0.08162929711800035,15,1,4,0.0061325366,118,15,0.073951066,0.14370726,0.056555882,0.00062699046,Tier 2: Physiological Homeostasis Modifier,3.7911772688810763,7.496744359815153e-05,0.08162929711800035,7.496744359815153e-05
SEBOX,602,213,41.56320571899414,0.13960782,3.7770806022133874,7.933869569467448e-05,0.08162929711800035,16,0,2,0.0019856743,2584,16,0.1564634,0.122785464,0.0,-3.3249846e-05,Tier 2: Physiological Homeostasis Modifier,3.7770806022133874,7.933869569467448e-05,0.08162929711800035,7.933869569467448e-05
RPAP2,671,638,43.265106201171875,0.13602297,3.768805707131817,8.201525124148971e-05,0.08162929711800035,17,0,3,0.002522458,1472,17,0.21976306,0.057281844,-0.0057718465,0.0007728387,Tier 2: Physiological Homeostasis Modifier,3.768805707131817,8.201525124148971e-05,0.08162929711800035,8.201525124148971e-05
GPATCH3,668,548,41.57477569580078,0.13496213,3.734088829410794,9.419799869237215e-05,0.0870359998336216,18,0,2,0.0014785081,9828,18,0.27611455,-0.0027265176,-0.0038886284,0.0004248639,Tier 2: Physiological Homeostasis Modifier,3.734088829410794,9.419799869237215e-05,0.0870359998336216,9.419799869237215e-05
HMGB1,658,265,27.658720016479492,0.13508713,3.724798980312809,9.773546080607627e-05,0.0870359998336216,19,0,2,0.0019856335,2585,19,0.12826648,0.14748873,-0.0054107932,-0.00017015799,Tier 2: Physiological Homeostasis Modifier,3.724798980312809,9.773546080607627e-05,0.0870359998336216,9.773546080607627e-05
KL,648,1045,41.85848236083984,0.13430248,3.688942765088723,0.00011259393293652173,0.09525446726429738,20,1,4,0.0042684968,201,20,0.012195754,0.13900962,0.11721711,0.00018243189,Tier 2: Physiological Homeostasis Modifier,3.688942765088723,0.00011259393293652173,0.09525446726429738,0.00011259393293652173
TRIM39,704,488,39.050758361816406,0.13031347,3.642331692033534,0.000135089813302978,0.10633391232265668,21,1,4,0.006773425,97,21,0.050585162,0.12539212,0.08383624,0.000813373,Background,3.642331692033534,0.000135089813302978,0.10633391232265668,0.000135089813302978
MFRP,671,611,41.688846588134766,0.13140939,3.6344868021401187,0.00013926725720654208,0.10633391232265668,22,0,3,0.0027423745,1009,22,0.20074147,-0.00047784788,0.061269846,0.0012853276,Background,3.6344868021401187,0.00013926725720654208,0.10633391232265668,0.00013926725720654208
MED25,645,812,40.178253173828125,0.13192676,3.616287940359774,0.00014942896555662313,0.10633391232265668,23,0,3,0.0038088711,266,23,0.12352277,-0.0023024613,0.113722324,0.028910875,Background,3.616287940359774,0.00014942896555662313,0.10633391232265668,0.00014942896555662313
SF3A3,684,504,35.95463562011719,0.12963505,3.598684617041908,0.00015991538402566124,0.10633391232265668,24,0,2,0.00198018,2604,24,0.19716641,-0.003659116,0.0657899,-2.7085887e-05,Background,3.598684617041908,0.00015991538402566124,0.10633391232265668,0.00015991538402566124
N4BP2L2,700,646,41.235389709472656,0.12895182,3.5976908083852184,0.00016052747720165923,0.10633391232265668,25,0,3,0.0028263845,919,25,0.07072884,0.19046316,-0.0048131887,0.0015247976,Background,3.5976908083852184,0.00016052747720165923,0.10633391232265668,0.00016052747720165923
FLT1,674,1373,42.45857238769531,0.12979503,3.5911803945191716,0.00016459184081737082,0.10633391232265668,26,1,4,0.008834131,50,26,0.035741694,0.15834334,0.06402926,0.0014757449,Background,3.5911803945191716,0.00016459184081737082,0.10633391232265668,0.00016459184081737082
NFKBIZ,661,646,44.08191680908203,0.13007744,3.58323614349915,0.0001696817749829628,0.10633391232265668,27,0,2,0.0013568082,11013,27,0.26706463,-0.0021050202,-0.0048636673,5.8912556e-05,Background,3.58323614349915,0.0001696817749829628,0.10633391232265668,0.0001696817749829628
PM20D1,644,512,41.72978210449219,0.13016059,3.5639320949647195,0.00018267025236565735,0.10722865070695838,28,0,3,0.0020527756,2502,28,0.2367411,0.029339567,-0.005856662,9.7195385e-05,Background,3.5639320949647195,0.00018267025236565735,0.10722865070695838,0.00018267025236565735
SYCP2L,594,854,42.35100936889648,0.13248764,3.562336618475966,0.00018378433040790737,0.10722865070695838,29,0,3,0.0038544077,232,29,0.092011206,0.12080607,0.0,0.05215802,Background,3.562336618475966,0.00018378433040790737,0.10722865070695838,0.00018378433040790737
ALOX5AP,694,162,27.359779357910156,0.12650101,3.518862143469537,0.00021670092579033516,0.11957579010364554,30,0,3,0.0027311484,1025,30,-0.00055719353,0.17956434,0.07275011,0.0012447299,Background,3.518862143469537,0.00021670092579033516,0.11957579010364554,0.00021670092579033516
LETMD1,705,372,41.47087860107422,0.1259705,3.5159630989226907,0.00021908093931518983,0.11957579010364554,31,0,2,0.0017665322,5040,31,0.25907543,-0.0039745546,-0.0059989784,0.0028390903,Background,3.5159630989226907,0.00021908093931518983,0.11957579010364554,0.00021908093931518983
TREML2,637,363,41.640174865722656,0.12774464,3.485108501530492,0.00024596875954197576,0.12972441141546961,32,1,4,0.0060199318,123,32,0.0999846,0.10401234,0.050894264,0.000598046,Background,3.485108501530492,0.00024596875954197576,0.12972441141546961,0.00024596875954197576
ASRGL1,563,319,41.0972785949707,0.13102634,3.4750508819730683,0.00025537823075126847,0.12972441141546961,33,1,4,0.0046068714,184,33,0.1978882,0.020036625,0.04386744,0.0002603724,Background,3.4750508819730683,0.00025537823075126847,0.12972441141546961,0.00025537823075126847
CCDC92,586,351,37.27162170410156,0.12963061,3.4695396738801776,0.0002606755312131186,0.12972441141546961,34,1,4,0.0069999676,87,34,0.20658521,0.0056290943,0.04551053,0.0015363763,Background,3.4695396738801776,0.0002606755312131186,0.12972441141546961,0.0002606755312131186
CPSF4,707,269,38.24794006347656,0.12363576,3.4496386854074776,0.00028066865690494475,0.1356832478523333,35,0,3,0.002541904,1420,35,0.05102534,0.20313811,-0.0077117626,0.0008198246,Background,3.4496386854074776,0.00028066865690494475,0.1356832478523333,0.00028066865690494475
DAZAP2,682,174,37.24705505371094,0.123618186,3.4205919007965604,0.0003124250996841061,0.14683979685152987,36,0,2,0.001539964,8579,36,0.2589704,-0.0072799213,-0.0051387204,0.0006845878,Background,3.4205919007965604,0.0003124250996841061,0.14683979685152987,0.0003124250996841061
LNX2,703,703,41.9030876159668,0.12198714,3.39676113758207,0.00034094230252755287,0.14963976659892092,37,0,3,0.0022281217,2241,37,0.049628507,0.19943696,-0.0053890673,0.00029786967,Background,3.39676113758207,0.00034094230252755287,0.14963976659892092,0.00034094230252755287
MOB1A,692,260,41.639556884765625,0.12235051,3.395039092238015,0.000343094010623103,0.14963976659892092,38,0,3,0.0025310451,1444,38,0.09735152,-0.005118235,0.15169355,0.0007741246,Background,3.395039092238015,0.000343094010623103,0.14963976659892092,0.000343094010623103
TIMM44,712,469,41.63127136230469,0.12154121,3.3935900626111613,0.00034491435563581066,0.14963976659892092,39,0,3,0.0021564292,2369,39,0.081028715,0.17082942,-0.008970629,0.00019487471,Background,3.3935900626111613,0.00034491435563581066,0.14963976659892092,0.00034491435563581066
ABCA9,487,1716,43.604949951171875,0.1323415,3.3860576527670245,0.00035452242857794025,0.14967774407922016,40,1,4,0.0045020143,190,40,0.16008136,0.022533407,0.08186006,0.00020813523,Background,3.3860576527670245,0.00035452242857794025,0.14967774407922016,0.00035452242857794025
BUD31,703,148,21.46566390991211,0.12136491,3.378497197724718,0.00036441587636572986,0.14967774407922016,41,0,3,0.0028817088,867,41,0.03974527,0.20929204,-0.008094862,0.0017873219,Background,3.378497197724718,0.00036441587636572986,0.14967774407922016,0.00036441587636572986
SLC46A3,711,477,41.70469665527344,0.12088411,3.3731698485285575,0.00037154049948742593,0.14967774407922016,42,0,3,0.0023110425,2044,42,0.025861278,0.221164,-0.005708256,0.0004511868,Background,3.3731698485285575,0.00037154049948742593,0.14967774407922016,0.00037154049948742593
PIR,670,294,41.11614990234375,0.11944458,3.284989431826814,0.0005099309846569968,0.19201586160740572,43,0,3,0.0037969723,273,43,0.05817712,0.15361601,-0.005121055,0.03221705,Background,3.284989431826814,0.0005099309846569968,0.19201586160740572,0.0005099309846569968
S100A13,707,106,31.738386154174805,0.11802501,3.2847873584808998,0.0005102968266796791,0.19201586160740572,44,1,4,0.0073361075,77,44,0.09964563,0.13010302,0.0019273805,0.0043739593,Background,3.2847873584808998,0.0005102968266796791,0.19201586160740572,0.0005102968266796791
A4GNT,697,354,41.87589645385742,0.11838846,3.2845755893709705,0.0005106804829984195,0.19201586160740572,45,0,3,0.0038407333,239,45,0.0497991,-0.004966582,0.07361376,0.11833063,Background,3.2845755893709705,0.0005106804829984195,0.19201586160740572,0.0005106804829984195
IMPACT,699,340,40.91288757324219,0.1178807,3.271878833908393,0.0005341767574158012,0.1964841464233773,46,0,3,0.0025464862,1406,46,0.048969466,0.19147429,-0.0055152522,0.000832897,Background,3.271878833908393,0.0005341767574158012,0.1964841464233773,0.0005341767574158012
RSL1D1,672,604,41.85980987548828,0.117538184,3.231782673878151,0.000615102900048023,0.21723937939920693,47,0,3,0.0038433669,236,47,0.112153634,0.062043384,0.061287448,-0.00040814164,Background,3.231782673878151,0.000615102900048023,0.21723937939920693,0.000615102900048023
BTBD8,622,1888,43.20778274536133,0.119590364,3.231235397718203,0.0006162819273736367,0.21723937939920693,48,0,3,0.0025564006,1382,48,0.16369833,0.07911316,-0.004461796,0.00083101215,Background,3.231235397718203,0.0006162819273736367,0.21723937939920693,0.0006162819273736367
TRPV3,641,844,41.9796142578125,0.11807603,3.2110537412192737,0.0006612459998152283,0.22808600373710491,49,0,3,0.0024801805,1589,49,0.21412414,0.025456827,-0.0041822856,0.0007533396,Background,3.2110537412192737,0.0006612459998152283,0.22808600373710491,0.0006612459998152283
RASL11A,698,261,40.70509338378906,0.115417354,3.1985719150598064,0.000690550408551787,0.22808600373710491,50,0,2,0.0019745016,2671,50,0.04753323,0.19044498,-0.007077327,-6.619775e-05,Background,3.1985719150598064,0.000690550408551787,0.22808600373710491,0.000690550408551787
MCEMP1,686,200,36.84968566894531,0.11576468,3.1957005695001888,0.0006974589642089771,0.22808600373710491,51,0,3,0.0030899954,723,51,0.093853936,0.13924804,-0.0041849734,0.0026123559,Background,3.1957005695001888,0.0006974589642089771,0.22808600373710491,0.0006974589642089771
TBC1D9B,659,1282,41.672119140625,0.116760656,3.1942498887724255,0.0007009735339438213,0.22808600373710491,52,1,4,0.008315102,59,52,0.16863,0.0030582529,0.05811224,0.0037207936,Background,3.1942498887724255,0.0007009735339438213,0.22808600373710491,0.0007009735339438213
SUGT1,690,337,41.745697021484375,0.114306584,3.157421218106164,0.0007958562014249214,0.25214012516132317,53,0,3,0.00221631,2266,53,0.15947507,-0.0020351605,0.07089881,0.00027443422,Background,3.157421218106164,0.0007958562014249214,0.25214012516132317,0.0007958562014249214
PITPNB,710,271,41.609474182128906,0.11331049,3.1493914105564547,0.0008180544999707318,0.25214012516132317,54,0,3,0.0024965936,1537,54,0.05337019,-0.0026717093,0.17519274,0.0007297592,Background,3.1493914105564547,0.0008180544999707318,0.25214012516132317,0.0008180544999707318
CD164,694,246,41.4139404296875,0.11386642,3.1488382725032427,0.0008196044257608023,0.25214012516132317,55,0,2,0.0017027933,5559,55,0.23352742,-0.0018863622,-0.005808321,0.0019000852,Background,3.1488382725032427,0.0008196044257608023,0.25214012516132317,0.0008196044257608023
PEX11G,709,274,40.91684341430664,0.11308901,3.1418415549461143,0.0008394443129884077,0.2536321031386403,56,0,2,0.0019590005,3225,56,0.025970165,0.20821398,-0.007828462,-0.00017769929,Background,3.1418415549461143,0.0008394443129884077,0.2536321031386403,0.0008394443129884077
HIGD1C,632,111,41.61920928955078,0.11570017,3.1316742643259565,0.0008690630003458988,0.2579744906289931,57,1,4,0.008883357,48,57,0.049897697,0.12744349,0.052585043,0.0014741113,Background,3.1316742643259565,0.0008690630003458988,0.2579744906289931,0.0008690630003458988
CEACAM18,328,417,38.74184036254883,0.1359569,3.1244124840374847,0.0008908025548550788,0.2598686073818609,58,1,4,0.06652139,1,58,0.05165908,0.08647371,0.07311511,0.060665894,Background,3.1244124840374847,0.0008908025548550788,0.2598686073818609,0.0008908025548550788
TRIM56,684,797,40.50555419921875,0.113116205,3.1161314602538517,0.0009162028228083529,0.26274833494775135,59,0,3,0.0025481808,1402,59,0.0653033,0.16622528,-0.0061187353,0.00082253857,Background,3.1161314602538517,0.0009162028228083529,0.26274833494775135,0.0009162028228083529
UBL3,716,118,41.73118591308594,0.11128912,3.0960710879076156,0.0009805167061214162,0.27440266207200853,60,0,3,0.0038181664,255,60,0.02914735,0.24222243,0.095698416,-0.14448997,Background,3.0960710879076156,0.0009805167061214162,0.27440266207200853,0.0009805167061214162
RPRD2,662,1539,41.7244873046875,0.113170184,3.0934328137099723,0.0009892767367844278,0.27440266207200853,61,0,3,0.0037354515,376,61,0.17114526,0.028386481,-0.004467345,0.031275935,Background,3.0934328137099723,0.0009892767367844278,0.27440266207200853,0.0009892767367844278
TFCP2,677,505,41.53079605102539,0.112313665,3.085106959791615,0.0010173948174374348,0.2776503275974419,62,0,2,0.0015559301,8214,62,0.23013309,-0.0020261058,-0.0042449124,0.00076527725,Background,3.085106959791615,0.0010173948174374348,0.2776503275974419,0.0010173948174374348
KRT18,679,352,44.784454345703125,0.111930594,3.076105994610673,0.00104861638381489,0.27931207693130533,63,1,4,0.004308443,198,63,0.1867167,0.00048933807,0.0034970576,0.03315807,Background,3.076105994610673,0.00104861638381489,0.27931207693130533,0.00104861638381489
MAP3K2,699,622,41.34191131591797,0.111027665,3.070925496520774,0.0010669819568209565,0.27931207693130533,64,1,4,0.050689198,3,64,0.069273025,0.034869365,0.077301726,0.040611163,Background,3.070925496520774,0.0010669819568209565,0.27931207693130533,0.0010669819568209565
DSP,657,2333,49.13093566894531,0.11253089,3.069243669133994,0.001073007387738466,0.27931207693130533,65,1,4,0.005692228,141,65,0.11052713,0.056778,0.057239797,0.0005168336,Background,3.069243669133994,0.001073007387738466,0.27931207693130533,0.001073007387738466
ALG3,563,401,42.006736755371094,0.115793295,3.045466728247689,0.0011615974067334166,0.2965166732963901,66,0,2,0.0019799096,2607,66,0.16790256,-0.0014527289,-0.0034335582,0.068570286,Background,3.045466728247689,0.0011615974067334166,0.2965166732963901,0.0011615974067334166
GNG5,655,68,41.65985107421875,0.11155682,3.0387435623886168,0.0011878349041795023,0.2965166732963901,67,0,2,0.0015048269,9350,67,0.22942944,-0.0023716798,-0.004473729,0.0005295817,Background,3.0387435623886168,0.0011878349041795023,0.2965166732963901,0.0011878349041795023
PNPLA6,672,1333,41.04335403442383,0.11084968,3.0370036394256203,0.001194712853985999,0.2965166732963901,68,1,4,0.006400573,111,68,0.039068174,0.12115447,0.06073936,0.0007373082,Background,3.0370036394256203,0.001194712853985999,0.2965166732963901,0.001194712853985999
CFAP43,640,1722,44.73821258544922,0.11170613,3.025948098829373,0.0012392742175073095,0.2965166732963901,69,0,3,0.0037954343,274,69,0.034290772,0.13541096,0.05385124,-0.0001406977,Background,3.025948098829373,0.0012392742175073095,0.2965166732963901,0.0012392742175073095
BFSP1,641,791,40.63958740234375,0.11166376,3.0258803344118825,0.001239551982544286,0.2965166732963901,70,1,4,0.0048604812,173,70,0.08851834,0.023003789,0.11149173,0.00031364046,Background,3.0258803344118825,0.001239551982544286,0.2965166732963901,0.001239551982544286
GTPBP2,707,606,41.51420974731445,0.10892856,3.0175215111661426,0.001274254763956164,0.2965166732963901,71,0,3,0.0028548418,893,71,0.05175554,-0.00469731,0.16914135,0.0016574846,Background,3.0175215111661426,0.001274254763956164,0.2965166732963901,0.001274254763956164
POMP,712,143,41.42902755737305,0.10874622,3.0171966680396904,0.0012756211590351273,0.2965166732963901,72,0,3,0.0023173022,2026,72,0.0034632403,0.22176248,-0.008742943,0.0010096312,Background,3.0171966680396904,0.0012756211590351273,0.2965166732963901,0.0012756211590351273
SLC25A17,697,312,41.81480026245117,0.109235816,3.0163241935191953,0.001279297703938326,0.2965166732963901,73,0,3,0.0021772985,2337,73,0.1445185,-0.002741809,0.07647144,0.00022345243,Background,3.0163241935191953,0.001279297703938326,0.2965166732963901,0.001279297703938326
ATP5MC1,665,143,41.55318069458008,0.109767534,2.997890207826762,0.0013592779570005221,0.3107970680060653,74,0,2,0.0014297753,10475,74,0.22911024,-0.002852944,-0.006982783,0.00026056194,Background,2.997890207826762,0.0013592779570005221,0.3107970680060653,0.0013592779570005221
UBAP2L,688,1118,41.6990966796875,0.10855306,2.9870110553846776,0.0014085976730348587,0.3142629842439238,75,1,4,0.0067196987,100,75,0.117737055,0.031775977,0.06674656,0.00084647734,Background,2.9870110553846776,0.0014085976730348587,0.3142629842439238,0.0014085976730348587
HSPD1,679,578,41.24999237060547,0.10885456,2.9863637314639213,0.0014115831443580501,0.3142629842439238,76,1,4,0.0069599296,88,76,0.12357244,0.030007798,0.06320156,0.0009272832,Background,2.9863637314639213,0.0014115831443580501,0.3142629842439238,0.0014115831443580501
EEF1A1,600,470,36.20507049560547,0.11132232,2.966998886354497,0.0015036102415908615,0.33040370503529065,77,0,3,0.0022660657,2156,77,0.12647538,-0.003088454,0.0989196,0.0003381127,Background,2.966998886354497,0.0015036102415908615,0.33040370503529065,0.0015036102415908615
LYPLAL1,700,238,41.44898223876953,0.1072636,2.961563116345882,0.0015304087597021753,0.3319809771046257,78,0,3,0.0037264621,390,78,0.022327824,-0.0023222836,0.15400276,0.040518895,Background,2.961563116345882,0.0015304087597021753,0.3319809771046257,0.0015304087597021753
OR5K4,329,338,41.709747314453125,0.12923688,2.9572750761782447,0.001551855481142702,0.33237208532828505,79,0,3,0.0038394094,241,79,0.16190046,-0.02674901,0.08202847,0.04129377,Background,2.9572750761782447,0.001551855481142702,0.33237208532828505,0.001551855481142702
RNF6,696,725,41.75869369506836,0.10667622,2.940292963738718,0.0016395102655097854,0.33417580231488636,80,0,3,0.0028742643,878,80,0.04445945,0.17839843,-0.011252035,0.0017465834,Background,2.940292963738718,0.0016395102655097854,0.33417580231488636,0.0016395102655097854
TMEM117,646,516,41.80817413330078,0.10848095,2.939585904704717,0.001643255760752485,0.33417580231488636,81,0,3,0.0024724426,1606,81,0.10587097,-0.003091291,0.11351484,0.0006673783,Background,2.939585904704717,0.001643255760752485,0.33417580231488636,0.001643255760752485
SLC44A5,602,733,40.713016510009766,0.110265285,2.9392971761304985,0.0016447874791883242,0.33417580231488636,82,0,3,0.0029942037,773,82,0.1980215,0.021833831,-0.0018079486,0.002483165,Background,2.9392971761304985,0.0016447874791883242,0.33417580231488636,0.0016447874791883242
TIFA,708,192,41.78385925292969,0.10621543,2.9387976791795967,0.00164744040510117,0.33417580231488636,83,0,3,0.0025101178,1507,83,0.13078678,-0.0052882615,0.08619167,0.00074066303,Background,2.9387976791795967,0.00164744040510117,0.33417580231488636,0.00164744040510117
MYL11,670,173,25.142921447753903,0.1074758,2.9366243516490087,0.0016590288058185847,0.33417580231488636,84,0,2,0.0017833381,4946,84,0.22058737,-0.0030112846,-0.0058179097,0.0031933654,Background,2.9366243516490087,0.0016590288058185847,0.33417580231488636,0.0016590288058185847
THPO,669,418,41.345340728759766,0.107186,2.9271254028880684,0.001710554535616283,0.33723194153106745,85,0,2,0.0014769429,9846,85,0.28164166,-0.00037099584,-0.06731765,0.00041892438,Background,2.9271254028880684,0.001710554535616283,0.33723194153106745,0.001710554535616283
CRYGN,590,143,35.984649658203125,0.11023586,2.9235577187978867,0.0017302803036136226,0.33723194153106745,86,0,2,0.0019714083,2736,86,0.18115029,-0.00090379163,0.04152325,-0.0012980755,Background,2.9235577187978867,0.0017302803036136226,0.33723194153106745,0.0017302803036136226
LY6G5B,617,210,40.62812042236328,0.10905999,2.9228901835912624,0.0017339940256030065,0.33723194153106745,87,0,3,0.0030046771,765,87,0.117032334,0.101523206,-0.0026301593,0.0021945634,Background,2.9228901835912624,0.0017339940256030065,0.33723194153106745,0.0017339940256030065
ABI2,703,519,41.68861389160156,0.10528112,2.9063994633848673,0.0018280718405187006,0.34732177688404187,88,0,3,0.002933482,822,88,0.17714152,0.038017582,-0.006606009,0.0020091082,Background,2.9063994633848673,0.0018280718405187006,0.34732177688404187,0.0018280718405187006
FAM133B,713,251,41.54017639160156,0.1048427,2.9033395690180197,0.001846030395270854,0.34732177688404187,89,1,4,0.008776982,51,89,0.0867887,0.0397368,0.08170714,0.0014527368,Background,2.9033395690180197,0.001846030395270854,0.34732177688404187,0.001846030395270854
CBLC,595,515,34.9433479309082,0.109298386,2.903097782222747,0.0018474562600214993,0.34732177688404187,90,0,2,0.0019847818,2588,90,0.19843921,0.095889375,-0.0034368886,-0.07229494,Background,2.903097782222747,0.0018474562600214993,0.34732177688404187,0.0018474562600214993
CLPX,690,638,41.67205810546875,0.10526346,2.892846479791703,0.001908839244322776,0.35491824191144367,91,0,3,0.002028275,2531,91,0.18187292,0.0335471,-0.004959572,6.643345e-05,Background,2.892846479791703,0.001908839244322776,0.35491824191144367,0.001908839244322776
LGALS3,682,319,38.88286209106445,0.10516225,2.88172889189135,0.0019774993129492986,0.35966293907080793,92,0,3,0.0026360264,1204,92,0.040339276,0.17479229,-0.005858113,0.0010510423,Background,2.88172889189135,0.0019774993129492986,0.35966293907080793,0.0019774993129492986
COQ5,681,330,37.27698516845703,0.10502413,2.8766699163195506,0.002009478776150462,0.35966293907080793,93,0,3,0.0029450462,815,93,0.14652058,-0.0039359094,0.06549086,0.0019726981,Background,2.8766699163195506,0.002009478776150462,0.35966293907080793,0.002009478776150462
RAD52,646,473,40.8387336730957,0.10621727,2.87412446258917,0.00202574633917301,0.35966293907080793,94,0,2,0.0019619106,3090,94,0.19593436,-0.003296696,-0.008831724,0.028628564,Background,2.87412446258917,0.00202574633917301,0.35966293907080793,0.00202574633917301
SERPINA7,577,420,41.20663833618164,0.10906809,2.873941838986633,0.002026918038860435,0.35966293907080793,95,0,3,0.0023655882,1901,95,0.20204845,0.020064691,-0.004543093,0.000566137,Background,2.873941838986633,0.002026918038860435,0.35966293907080793,0.002026918038860435
NFE2L2,669,627,43.15887451171875,0.10528503,2.8718100850591073,0.0020406407890542293,0.35966293907080793,96,0,2,0.0014774068,9841,96,0.21921463,-0.0043896306,-0.0046776216,0.00042266597,Background,2.8718100850591073,0.0020406407890542293,0.35966293907080793,0.0020406407890542293
SYN2,648,626,41.96012115478515,0.10571788,2.861872484296949,0.0021057315483761297,0.36730904946932075,97,1,4,0.005985117,126,97,0.07164359,0.025032,0.11411394,0.0006462061,Background,2.861872484296949,0.0021057315483761297,0.36730904946932075,0.0021057315483761297
MAP2K7,685,427,28.59461212158203,0.10402563,2.8515886284743326,0.0021750678661055563,0.36964133823428585,98,0,3,0.0026140327,1262,98,0.043942843,0.16847648,-0.005359905,0.0009918266,Background,2.8515886284743326,0.0021750678661055563,0.36964133823428585,0.0021750678661055563
