gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier,z_track_b,p_track_b,q_track_b,p_combined
ACSM2B,494,591,41.73051452636719,0.04421824,3.6160996234570333,0.00014953765712530045,0.1401990174095424,17,0,0,0.0,17,Background,3.6160996234570333,0.00014953765712530045,0.1401990174095424,0.00014953765712530045
FGFBP1,642,273,39.9847526550293,0.042586282,3.6038860240486983,0.00015674728596928677,0.1401990174095424,18,0,0,0.0,18,Background,3.6038860240486983,0.00015674728596928677,0.1401990174095424,0.00015674728596928677
OR1R1P,421,316,40.39961624145508,0.049739156,3.6027658178355044,0.000157424580744714,0.1401990174095424,19,0,0,0.0,19,Background,3.6027658178355044,0.000157424580744714,0.1401990174095424,0.000157424580744714
HHLA2,469,466,42.61268997192383,0.045533013,3.5396706177074684,0.00020031335554201494,0.16503423692112545,20,0,0,0.0,20,Background,3.5396706177074684,0.00020031335554201494,0.16503423692112545,0.00020031335554201494
SCNN1A,483,666,41.8280029296875,0.044510517,3.5337972095924073,0.0002048176216147766,0.16503423692112545,21,0,0,0.0,21,Background,3.5337972095924073,0.0002048176216147766,0.16503423692112545,0.0002048176216147766
HHIPL2,559,750,41.910850524902344,0.041922897,3.500198571456772,0.00023245584936690015,0.17879024668805987,22,0,0,0.0,22,Background,3.500198571456772,0.00023245584936690015,0.17879024668805987,0.00023245584936690015
OR2I1P,353,342,37.20854949951172,0.05495527,3.4382431677785603,0.0002927508297063806,0.20887687375144093,23,0,0,0.0,23,Background,3.4382431677785603,0.0002927508297063806,0.20887687375144093,0.0002927508297063806
CRYGA,579,188,41.86445999145508,0.041634735,3.435013876035384,0.00029626174398880576,0.20887687375144093,24,0,0,0.0,24,Background,3.435013876035384,0.00029626174398880576,0.20887687375144093,0.00029626174398880576
SLC35G6,610,368,42.68634033203125,0.041352592,3.367621705869216,0.0003790977648556573,0.25658853116490304,25,0,0,0.0,25,Background,3.367621705869216,0.0003790977648556573,0.25658853116490304,0.0003790977648556573
MST1,629,736,41.37303161621094,0.041301392,3.351066478426512,0.0004025048729538979,0.2606620893038891,26,0,0,0.0,26,Background,3.351066478426512,0.0004025048729538979,0.2606620893038891,0.0004025048729538979
ITPRIPL1,504,566,41.02898406982422,0.042087097,3.3419731328448012,0.00041592556061728067,0.2606620893038891,27,0,0,0.0,27,Background,3.3419731328448012,0.00041592556061728067,0.2606620893038891,0.00041592556061728067
SLFNL1,528,446,33.25196075439453,0.041002296,3.3286218139875077,0.0004363841434575543,0.26371628898018845,28,0,0,0.0,28,Background,3.3286218139875077,0.0004363841434575543,0.26371628898018845,0.0004363841434575543
TTC23L,559,428,44.471153259277344,0.04075139,3.2658971714567713,0.0005455893268472726,0.31834196550285176,29,0,0,0.0,29,Background,3.2658971714567713,0.0005455893268472726,0.31834196550285176,0.0005455893268472726
RP9,404,278,35.22753143310547,0.04863551,3.255970831962537,0.0005650267997100694,0.31869394926313616,30,0,0,0.0,30,Background,3.255970831962537,0.0005650267997100694,0.31869394926313616,0.0005650267997100694
NTSR2,518,452,40.53146743774414,0.04076252,3.2457402350707323,0.000585728390509213,0.3197132288969804,31,0,0,0.0,31,Background,3.2457402350707323,0.000585728390509213,0.3197132288969804,0.000585728390509213
REG4,617,182,41.52639389038086,0.040644147,3.2235721268244815,0.0006330120553730479,0.33472490590522946,32,0,0,0.0,32,Background,3.2235721268244815,0.0006330120553730479,0.33472490590522946,0.0006330120553730479
CCL11,465,114,38.539039611816406,0.043795068,3.207396090151082,0.0006697121916935628,0.3433999998680841,33,0,0,0.0,33,Background,3.207396090151082,0.0006697121916935628,0.3433999998680841,0.0006697121916935628
SPATA1,557,472,42.63251495361328,0.040399335,3.196263694184413,0.0006960990633998516,0.3464321250526144,34,0,0,0.0,34,Background,3.196263694184413,0.0006960990633998516,0.3464321250526144,0.0006960990633998516
KRTAP15-1,550,214,42.21904754638672,0.04011382,3.1419153413509955,0.000839232798995787,0.40573309119450607,35,0,0,0.0,35,Background,3.1419153413509955,0.000839232798995787,0.40573309119450607,0.000839232798995787
OOSP2,509,193,41.56885528564453,0.04062041,3.119332425709736,0.0009063066637913177,0.41936855742376644,36,0,0,0.0,36,Background,3.119332425709736,0.0009063066637913177,0.41936855742376644,0.0009063066637913177
IL36A,394,160,34.90151596069336,0.048383478,3.1158734804067727,0.0009170047056722037,0.41936855742376644,37,0,0,0.0,37,Background,3.1158734804067727,0.0009170047056722037,0.41936855742376644,0.0009170047056722037
OOSP1,335,193,38.184810638427734,0.05377532,3.1077762369369104,0.0009425036533478969,0.4196869557447306,38,0,0,0.0,38,Background,3.1077762369369104,0.0009425036533478969,0.4196869557447306,0.0009425036533478969
CAPN8,541,724,41.9466552734375,0.03985155,3.0930812896902977,0.0009904493326276997,0.42628163410059017,39,0,0,0.0,39,Background,3.0930812896902977,0.0009904493326276997,0.42628163410059017,0.0009904493326276997
TMT1B,584,245,40.35840606689453,0.03990334,3.0869076849552806,0.0010112519800356324,0.42628163410059017,40,0,0,0.0,40,Background,3.0869076849552806,0.0010112519800356324,0.42628163410059017,0.0010112519800356324
SNTG2,444,561,41.09938430786133,0.04439762,3.0806083460419003,0.0010328909046820045,0.42628163410059017,41,0,0,0.0,41,Background,3.0806083460419003,0.0010328909046820045,0.42628163410059017,0.0010328909046820045
RPL12,691,167,41.2041015625,0.0399091,3.0538447982679613,0.0011296446498531615,0.4477264235754448,42,0,0,0.0,42,Background,3.0538447982679613,0.0011296446498531615,0.4477264235754448,0.0011296446498531615
SF3A2,518,637,35.438514709472656,0.039780565,3.051693463120299,0.0011377717755300589,0.4477264235754448,43,0,0,0.0,43,Background,3.051693463120299,0.0011377717755300589,0.4477264235754448,0.0011377717755300589
ACTL7B,632,440,35.33299255371094,0.0395756,3.0049370573014222,0.0013281790693098338,0.5033121644576344,44,0,0,0.0,44,Background,3.0049370573014222,0.0013281790693098338,0.5033121644576344,0.0013281790693098338
CYP2F1,440,531,42.51420593261719,0.044141177,3.001093023946335,0.0013450618495806,0.5033121644576344,45,0,0,0.0,45,Background,3.001093023946335,0.0013450618495806,0.5033121644576344,0.0013450618495806
IQANK1,402,584,32.587852478027344,0.046823274,2.995881917999471,0.0013682618973495173,0.5033121644576344,46,0,0,0.0,46,Background,2.995881917999471,0.0013682618973495173,0.5033121644576344,0.0013682618973495173
LCN12,551,215,40.38411331176758,0.03930582,2.9799186088659413,0.0014416249056125828,0.5061043246118795,47,0,0,0.0,47,Background,2.9799186088659413,0.0014416249056125828,0.5061043246118795,0.0014416249056125828
DNAJC5G,469,219,38.824947357177734,0.042144056,2.9767506743174135,0.001456604085535347,0.5061043246118795,48,0,0,0.0,48,Background,2.9767506743174135,0.001456604085535347,0.5061043246118795,0.001456604085535347
FOXR2,453,317,43.72300338745117,0.043081343,2.968377275008685,0.0014968831273134409,0.5061043246118795,49,0,0,0.0,49,Background,2.968377275008685,0.0014968831273134409,0.5061043246118795,0.0014968831273134409
KRTAP27-1,632,227,40.982574462890625,0.03938929,2.967675057301422,0.0015003068054305518,0.5061043246118795,50,0,0,0.0,50,Background,2.967675057301422,0.0015003068054305518,0.5061043246118795,0.0015003068054305518
TAS2R16,516,314,42.87470626831055,0.039364472,2.949068208247989,0.0015936681090165821,0.5061043246118795,51,0,0,0.0,51,Background,2.949068208247989,0.0015936681090165821,0.5061043246118795,0.0015936681090165821
GCSAM,507,252,39.53588104248047,0.03981396,2.9447762884431126,0.0016159412478229,0.5061043246118795,52,0,0,0.0,52,Background,2.9447762884431126,0.0016159412478229,0.5061043246118795,0.0016159412478229
LYZL2,582,174,40.32486724853515,0.039168023,2.940572335423961,0.0016380324980013435,0.5061043246118795,53,0,0,0.0,53,Background,2.940572335423961,0.0016380324980013435,0.5061043246118795,0.0016380324980013435
NR1I3,570,353,41.54476165771485,0.03913462,2.9383402037081696,0.0016498735657493758,0.5061043246118795,54,0,0,0.0,54,Background,2.9383402037081696,0.0016498735657493758,0.5061043246118795,0.0016498735657493758
FAM170B,602,262,40.224422454833984,0.03917903,2.9356573670713613,0.0016642086902080092,0.5061043246118795,55,0,0,0.0,55,Background,2.9356573670713613,0.0016642086902080092,0.5061043246118795,0.0016642086902080092
AMELY,496,203,38.87275695800781,0.04034656,2.9336607312558094,0.0016749507817661632,0.5061043246118795,56,0,0,0.0,56,Background,2.9336607312558094,0.0016749507817661632,0.5061043246118795,0.0016749507817661632
LYZL1,588,150,40.139060974121094,0.038959257,2.8966461434946496,0.0018858746042631437,0.5460017190689654,57,0,0,0.0,57,Background,2.8966461434946496,0.0018858746042631437,0.5460017190689654,0.0018858746042631437
ARMC6,619,455,42.05194091796875,0.03900419,2.894913641298966,0.0018963142828604027,0.5460017190689654,58,0,0,0.0,58,Background,2.894913641298966,0.0018963142828604027,0.5460017190689654,0.0018963142828604027
RALGDS,440,1091,41.23494720458984,0.04340787,2.8910284924426204,0.001919916528988496,0.5460017190689654,59,0,0,0.0,59,Background,2.8910284924426204,0.001919916528988496,0.5460017190689654,0.001919916528988496
CLDN25,582,235,41.85024642944336,0.03890714,2.8883957354239604,0.00193606188429395,0.5460017190689654,60,0,0,0.0,60,Background,2.8883957354239604,0.00193606188429395,0.5460017190689654,0.00193606188429395
STOML3,610,302,41.67134475708008,0.038898967,2.8768967058692163,0.002008035172003589,0.5570157892700447,61,0,0,0.0,61,Background,2.8768967058692163,0.002008035172003589,0.5570157892700447,0.002008035172003589
ABCA9,487,1716,43.604949951171875,0.04042918,2.860072693492611,0.0021177195475037217,0.5779666526340399,62,0,0,0.0,62,Background,2.860072693492611,0.0021177195475037217,0.5779666526340399,0.0021177195475037217
EFCAB12,631,650,41.75685119628906,0.038770232,2.844186361477318,0.002226249855040792,0.5979424412245277,63,0,0,0.0,63,Background,2.844186361477318,0.002226249855040792,0.5979424412245277,0.002226249855040792
OR4E1,451,325,41.1551513671875,0.04233494,2.8321333343451682,0.0023119281591347423,0.6029748277036663,64,0,0,0.0,64,Background,2.8321333343451682,0.0023119281591347423,0.6029748277036663,0.0023119281591347423
CRP,396,274,42.887428283691406,0.04600279,2.830490052006253,0.002323837824083989,0.6029748277036663,65,0,0,0.0,65,Background,2.830490052006253,0.002323837824083989,0.6029748277036663,0.002323837824083989
LMAN1L,572,560,36.913719177246094,0.038563993,2.8234636822148675,0.0023753904015778016,0.6029748277036663,66,0,0,0.0,66,Background,2.8234636822148675,0.0023753904015778016,0.6029748277036663,0.0023753904015778016
EFCC1,489,697,35.861976623535156,0.040105566,2.8218298555809818,0.00238752517322532,0.6029748277036663,67,0,0,0.0,67,Background,2.8218298555809818,0.00238752517322532,0.6029748277036663,0.00238752517322532
RFX8,568,490,42.066375732421875,0.038438957,2.799962688908379,0.002555425679994569,0.6358876166351192,68,0,0,0.0,68,Background,2.799962688908379,0.002555425679994569,0.6358876166351192,0.002555425679994569
OVOL3,642,195,36.733211517333984,0.038533486,2.7933268240486973,0.002608447701193568,0.6386404878197607,69,0,0,0.0,69,Background,2.7933268240486973,0.002608447701193568,0.6386404878197607,0.002608447701193568
AARD,486,172,39.477298736572266,0.040082,2.789193584817517,0.0026419735327334816,0.6386404878197607,70,0,0,0.0,70,Background,2.789193584817517,0.0026419735327334816,0.6386404878197607,0.0026419735327334816
FUT7,600,368,28.882400512695312,0.038360555,2.772657955842833,0.0027800264088518835,0.6549248261664377,71,0,0,0.0,71,Background,2.772657955842833,0.0027800264088518835,0.6549248261664377,0.0027800264088518835
ACOXL,411,630,41.13099670410156,0.044494595,2.7718717603006056,0.002786749452395456,0.6549248261664377,72,0,0,0.0,72,Background,2.7718717603006056,0.002786749452395456,0.6549248261664377,0.002786749452395456
FAM240B,610,112,20.81730842590332,0.038287908,2.7546849058692167,0.002937434164655869,0.6808811438375612,73,0,0,0.0,73,Background,2.7546849058692167,0.002937434164655869,0.6808811438375612,0.002937434164655869
NELFCD,460,610,41.42265701293945,0.04125951,2.7457227868268888,0.003018887868900868,0.6889073327105001,74,0,0,0.0,74,Background,2.7457227868268888,0.003018887868900868,0.6889073327105001,0.003018887868900868
CXCR1,588,365,41.53390884399414,0.038185935,2.7419817434946494,0.00305348678880016,0.6889073327105001,75,0,0,0.0,75,Background,2.7419817434946494,0.00305348678880016,0.6889073327105001,0.00305348678880016
BNC2,506,1103,42.19681930541992,0.03877227,2.737520019430854,0.0030952176089819794,0.689133910020843,76,0,0,0.0,76,Background,2.737520019430854,0.0030952176089819794,0.689133910020843,0.0030952176089819794
OR6Y1,424,326,41.76567840576172,0.043344654,2.7316911095235152,0.0031505092711681866,0.6923346412654141,77,0,0,0.0,77,Background,2.7316911095235152,0.0031505092711681866,0.6923346412654141,0.0031505092711681866
INCENP,628,1169,41.83982849121094,0.03809698,2.7105092973234157,0.0033589982555120496,0.7028676721362533,78,0,0,0.0,78,Background,2.7105092973234157,0.0033589982555120496,0.7028676721362533,0.0033589982555120496
S100A6,533,98,40.94551467895508,0.03788819,2.7037036958619685,0.003428570255269085,0.7028676721362533,79,0,0,0.0,79,Background,2.7037036958619685,0.003428570255269085,0.7028676721362533,0.003428570255269085
TSACC,584,145,40.4298210144043,0.037987065,2.70365268495528,0.0034290965799752176,0.7028676721362533,80,0,0,0.0,80,Background,2.70365268495528,0.0034290965799752176,0.7028676721362533,0.0034290965799752176
NAA80,558,326,41.216583251953125,0.037895422,2.6950918102917027,0.0035184619317154063,0.7028676721362533,81,0,0,0.0,81,Background,2.6950918102917027,0.0035184619317154063,0.7028676721362533,0.0035184619317154063
PRAP1,542,180,39.4798469543457,0.037861973,2.6947592253761163,0.0035219755450043673,0.7028676721362533,82,0,0,0.0,82,Background,2.6947592253761163,0.0035219755450043673,0.7028676721362533,0.0035219755450043673
CRYGB,626,176,33.0255126953125,0.0379961,2.690986071399155,0.0035620584588279517,0.7028676721362533,83,0,0,0.0,83,Background,2.690986071399155,0.0035620584588279517,0.7028676721362533,0.0035620584588279517
U2AF1L4,540,246,41.7680549621582,0.03782087,2.687353083105245,0.0036010388682057894,0.7028676721362533,84,0,0,0.0,84,Background,2.687353083105245,0.0036010388682057894,0.7028676721362533,0.0036010388682057894
NPBWR1,663,352,33.57313537597656,0.03802746,2.6856643035694425,0.0036192887591580125,0.7028676721362533,85,0,0,0.0,85,Background,2.6856643035694425,0.0036192887591580125,0.7028676721362533,0.0036192887591580125
SOD2,675,263,42.13357925415039,0.038006004,2.677819267204947,0.003705159585113477,0.7028676721362533,86,0,0,0.0,86,Background,2.677819267204947,0.003705159585113477,0.7028676721362533,0.003705159585113477
ANKUB1,624,561,42.101280212402344,0.037917543,2.67593058130246,0.003726103942641545,0.7028676721362533,87,0,0,0.0,87,Background,2.67593058130246,0.003726103942641545,0.7028676721362533,0.003726103942641545
CLBA1,580,354,40.59716796875,0.03780336,2.668371548432003,0.003810995866441441,0.7028676721362533,88,0,0,0.0,88,Background,2.668371548432003,0.003810995866441441,0.7028676721362533,0.003810995866441441
NIBAN3,634,623,42.82357406616211,0.037869927,2.6631589423648703,0.003870542003371517,0.7028676721362533,89,0,0,0.0,89,Background,2.6631589423648703,0.003870542003371517,0.7028676721362533,0.003870542003371517
FMO2,642,539,41.437618255615234,0.037865978,2.659825224048698,0.00390906047084417,0.7028676721362533,90,0,0,0.0,90,Background,2.659825224048698,0.00390906047084417,0.7028676721362533,0.00390906047084417
AMELX,462,227,38.6704216003418,0.040613975,2.659537696270411,0.0039123986591240905,0.7028676721362533,91,0,0,0.0,91,Background,2.659537696270411,0.0039123986591240905,0.7028676721362533,0.0039123986591240905
OR2AT4,476,388,41.443477630615234,0.039862577,2.659449237187728,0.003913426179832672,0.7028676721362533,92,0,0,0.0,92,Background,2.659449237187728,0.003913426179832672,0.7028676721362533,0.003913426179832672
GZMK,661,270,42.0562629699707,0.03788516,2.6578059996112375,0.003932557665645033,0.7028676721362533,93,0,0,0.0,93,Background,2.6578059996112375,0.003932557665645033,0.7028676721362533,0.003932557665645033
IGFBP2,697,169,39.56475067138672,0.037921846,2.654712290072985,0.003968803835160498,0.7028676721362533,94,0,0,0.0,94,Background,2.654712290072985,0.003968803835160498,0.7028676721362533,0.003968803835160498
ACSM3,577,604,41.35930633544922,0.037726354,2.654075193950331,0.003976305155448142,0.7028676721362533,95,0,0,0.0,95,Background,2.654075193950331,0.003976305155448142,0.7028676721362533,0.003976305155448142
DDX4,641,707,41.55055236816406,0.037823692,2.6516834073518973,0.0040045800561587614,0.7028676721362533,96,0,0,0.0,96,Background,2.6516834073518973,0.0040045800561587614,0.7028676721362533,0.0040045800561587614
CLCN4,601,797,41.095489501953125,0.03774707,2.6496127274373564,0.00402920419580501,0.7028676721362533,97,0,0,0.0,97,Background,2.6496127274373564,0.00402920419580501,0.7028676721362533,0.00402920419580501
NRG4,561,121,36.09495544433594,0.037635773,2.6420004103192896,0.004120897801132698,0.7048935513455485,98,0,0,0.0,98,Background,2.6420004103192896,0.004120897801132698,0.7048935513455485,0.004120897801132698
CIMAP2,559,431,41.78443145751953,0.037630577,2.6417345714567713,0.004124133419018339,0.7048935513455485,99,0,0,0.0,99,Background,2.6417345714567713,0.004124133419018339,0.7048935513455485,0.004124133419018339
PKD1L2,538,320,41.24524688720703,0.037568316,2.637661278209839,0.004173995964443754,0.7052772607481288,100,0,0,0.0,100,Background,2.637661278209839,0.004173995964443754,0.7052772607481288,0.004173995964443754
CREG2,614,310,41.6363639831543,0.03768426,2.632601459824171,0.004236685529727456,0.7052772607481288,101,0,0,0.0,101,Background,2.632601459824171,0.004236685529727456,0.7052772607481288,0.004236685529727456
RPP25,681,215,34.02861022949219,0.037768487,2.628574278707811,0.004287181378665219,0.7052772607481288,102,0,0,0.0,102,Background,2.628574278707811,0.004287181378665219,0.7052772607481288,0.004287181378665219
SLURP2,445,117,25.92801284790039,0.041359387,2.6269155139587563,0.004308136205149721,0.7052772607481288,103,0,0,0.0,103,Background,2.6269155139587563,0.004308136205149721,0.7052772607481288,0.004308136205149721
C1orf35,627,319,40.87286376953125,0.037666887,2.624816693946065,0.004334781343762507,0.7052772607481288,104,0,0,0.0,104,Background,2.624816693946065,0.004334781343762507,0.7052772607481288,0.004334781343762507
S100Z,521,112,40.32659149169922,0.037376784,2.603343461542472,0.004615970794317841,0.7438746839109732,105,0,0,0.0,105,Background,2.603343461542472,0.004615970794317841,0.7438746839109732,0.004615970794317841
C3orf22,580,188,37.11997604370117,0.03743984,2.5956675484320035,0.004720368082861727,0.749459434887125,106,0,0,0.0,106,Background,2.5956675484320035,0.004720368082861727,0.749459434887125,0.004720368082861727
SSTR4,385,391,38.01694107055664,0.04491148,2.592683234172196,0.00476152186703432,0.749459434887125,107,0,0,0.0,107,Background,2.592683234172196,0.00476152186703432,0.749459434887125,0.00476152186703432
RAMP3,569,156,32.93443298339844,0.037372306,2.586254448668483,0.004851263766894984,0.749459434887125,108,0,0,0.0,108,Background,2.586254448668483,0.004851263766894984,0.749459434887125,0.004851263766894984
AFM,639,615,41.21440887451172,0.037491273,2.585832593521503,0.004857204977772182,0.749459434887125,109,0,0,0.0,109,Background,2.585832593521503,0.004857204977772182,0.749459434887125,0.004857204977772182
LEFTY1,459,380,29.457164764404297,0.040313214,2.584778105931963,0.004872084264380577,0.749459434887125,110,0,0,0.0,110,Background,2.584778105931963,0.004872084264380577,0.749459434887125,0.004872084264380577
KRTAP26-1,608,249,40.441795349121094,0.037397802,2.577345633538334,0.0049781170295540396,0.7499343425736906,111,0,0,0.0,111,Background,2.577345633538334,0.0049781170295540396,0.7499343425736906,0.0049781170295540396
IGHA1,532,427,31.88287925720215,0.037248615,2.576205713423832,0.0049945598477879926,0.7499343425736906,112,0,0,0.0,112,Background,2.576205713423832,0.0049945598477879926,0.7499343425736906,0.0049945598477879926
MR1,437,349,41.89963912963867,0.041476157,2.575267406636909,0.00500813076714302,0.7499343425736906,113,0,0,0.0,113,Background,2.575267406636909,0.00500813076714302,0.7499343425736906,0.00500813076714302
GRAMD4,572,591,41.59706115722656,0.037283115,2.567288082214868,0.005124870944829931,0.7505358565946736,114,0,0,0.0,114,Background,2.567288082214868,0.005124870944829931,0.7505358565946736,0.005124870944829931
PRTN3,436,260,34.43183517456055,0.041434426,2.560543566642449,0.005225427951702669,0.7505358565946736,115,0,0,0.0,115,Background,2.560543566642449,0.005225427951702669,0.7505358565946736,0.005225427951702669
TXNRD2,677,514,38.06311798095703,0.037418265,2.559688365824754,0.005238303127126708,0.7505358565946736,116,0,0,0.0,116,Background,2.559688365824754,0.005238303127126708,0.7505358565946736,0.005238303127126708
PLEKHB2,621,237,41.34286880493164,0.03731873,2.5571577810091415,0.005276566929541326,0.7505358565946736,117,0,0,0.0,117,Background,2.5571577810091415,0.005276566929541326,0.7505358565946736,0.005276566929541326
PRSS51,574,296,42.434417724609375,0.03723359,2.556635889871248,0.005284489057363327,0.7505358565946736,118,0,0,0.0,118,Background,2.556635889871248,0.005284489057363327,0.7505358565946736,0.005284489057363327
INAVA,581,725,45.381080627441406,0.03724189,2.555711169587254,0.005298551975350064,0.7505358565946736,119,0,0,0.0,119,Background,2.555711169587254,0.005298551975350064,0.7505358565946736,0.005298551975350064
MLX,619,299,42.13563537597656,0.037300285,2.554132641298966,0.005322634761028357,0.7505358565946736,120,0,0,0.0,120,Background,2.554132641298966,0.005322634761028357,0.7505358565946736,0.005322634761028357
SKOR2,572,1073,37.03981018066406,0.037174053,2.545475682214868,0.005456448230187472,0.7587581930915577,121,0,0,0.0,121,Background,2.545475682214868,0.005456448230187472,0.7587581930915577,0.005456448230187472
FMN2,364,2185,41.90985107421875,0.046030577,2.544569411807669,0.0054706281872921245,0.7587581930915577,122,0,0,0.0,122,Background,2.544569411807669,0.0054706281872921245,0.7587581930915577,0.0054706281872921245
MYADML2,693,317,35.09154510498047,0.037340064,2.539474602740866,0.005550955275499554,0.7636399529815282,123,0,0,0.0,123,Background,2.539474602740866,0.005550955275499554,0.7636399529815282,0.005550955275499554
LEFTY2,512,406,29.349275588989254,0.0374079,2.5303754572952433,0.00569702637874159,0.765976678880835,124,0,0,0.0,124,Background,2.5303754572952433,0.00569702637874159,0.765976678880835,0.00569702637874159
NPFFR1,617,512,40.36886215209961,0.037169583,2.528659326824482,0.005724955231959345,0.765976678880835,125,0,0,0.0,125,Background,2.528659326824482,0.005724955231959345,0.765976678880835,0.005724955231959345
LCORL,665,322,41.18380355834961,0.03724195,2.527963323990903,0.005736316797643471,0.765976678880835,126,0,0,0.0,126,Background,2.527963323990903,0.005736316797643471,0.765976678880835,0.005736316797643471
SPACA3,688,183,39.439735412597656,0.037264384,2.52575069008847,0.005772568933298673,0.765976678880835,127,0,0,0.0,127,Background,2.52575069008847,0.005772568933298673,0.765976678880835,0.005772568933298673
ACTL9,585,421,35.75387954711914,0.037078407,2.521558460617224,0.0058418129787579905,0.765976678880835,128,0,0,0.0,128,Background,2.521558460617224,0.0058418129787579905,0.765976678880835,0.0058418129787579905
GJA3,626,544,37.38140106201172,0.037144493,2.520664671399156,0.0058566708511820385,0.765976678880835,129,0,0,0.0,129,Background,2.520664671399156,0.0058566708511820385,0.765976678880835,0.0058566708511820385
AGR3,543,167,41.44786834716797,0.03698509,2.5189770849618647,0.005884815806069886,0.765976678880835,130,0,0,0.0,130,Background,2.5189770849618647,0.005884815806069886,0.765976678880835,0.005884815806069886
TMEM98,702,294,41.72953796386719,0.037220556,2.5130693677456595,0.005984289930905585,0.768483839414457,131,0,0,0.0,131,Background,2.5130693677456595,0.005984289930905585,0.768483839414457,0.005984289930905585
OR10V1,487,311,41.28067779541016,0.038421102,2.5047169273570478,0.006127471491755954,0.768483839414457,132,0,0,0.0,132,Background,2.5047169273570478,0.006127471491755954,0.768483839414457,0.006127471491755954
RDM1,405,344,41.33070373535156,0.042866185,2.5005374583086333,0.006200250921721523,0.768483839414457,133,0,0,0.0,133,Background,2.5005374583086333,0.006200250921721523,0.768483839414457,0.006200250921721523
