gene,codon_length,taxa_count,fg_count,n_microbats,n_odontocetes,psi_track_b,max_rho_track_a,p_min_track_a,p_evd_track_a,max_synergy_track_a,top3_synergy_track_a,best_site_codon,best_site_lrt,best_site_rho,rho_microbats,rho_odontocetes,rho_megabats,rho_mysticetes,z_track_b,p_track_b,q_track_b,rank_track_b,rank_track_a,q_track_a,min_rank,dual_track_score,composite_rank,composite_score,z_score,p_combined,p_value,fdr_q,psi_score,rank_prod,tier
PPP1R12B,1027,651,101,66,35,0.3516191001637218,0.8755137920379639,1.942890293094024e-15,1.3930523401474448e-12,22.669113159179688,22.3177490234375,829,39.49737548828125,0.5739397406578064,0.8542025685310364,0.8517993092536926,0.999982476234436,0.9198589324951172,2.7002061611944703,0.003464826008511547,0.3360881228256201,155,44,1.5815556848234414e-12,60,59.99990428857862,11,44.00671765879614,2.7002061611944703,2.7861601914480616e-12,2.7861601914480616e-12,3.163174392390063e-12,0.3516191001637218,82.58329128825031,Tier 0: Core Bottleneck Transducer
CRBN,451,702,109,70,39,0.3661354801975159,0.8545132279396057,1.942890293094024e-15,4.177214130151279e-13,18.233564376831055,16.566923141479492,24,33.488651275634766,0.544469952583313,0.7596685290336609,0.8565207123756409,0.8971275687217712,0.5333213210105896,3.183018586012096,0.0007287412914959194,0.12174028130712386,90,84,1.0541123167921588e-12,109,108.9999056925165,12,84.00658463584968,3.183018586012096,8.35387314879199e-13,8.35387314879199e-13,2.108224633584907e-12,0.3661354801975159,86.94826047713663,Tier 0: Core Bottleneck Transducer
TBC1D9B,1282,659,108,69,39,0.2937427537195099,0.9180106520652772,1.942890293094024e-15,1.4571677198194565e-12,21.88038444519043,18.810035705566406,681,23.834564208984375,0.9180106520652772,0.9106045961380004,0.8641889095306396,0.9999240636825562,0.5772389769554138,1.340543942501548,0.09003428408173908,0.9128864851350191,1134,8,1.6352079913035922e-12,13,12.99990504794648,13,8.040937811772531,1.340543942501548,2.914390950792267e-12,2.914390950792267e-12,3.270478276247331e-12,0.2937427537195099,95.24704719832526,Tier 0: Core Bottleneck Transducer
PCDH15,2003,544,95,64,31,0.2833121571741106,0.9284786581993104,1.942890293094024e-15,2.48301379457108e-12,23.5207576751709,21.628259658813477,670,30.85234642028809,0.7623652815818787,0.8740329742431641,0.9158039689064026,0.8496008515357971,0.9187651872634888,0.745989033592858,0.2278370198236998,0.9128864851350191,3084,3,2.5926878534187224e-12,6,5.999904419252807,14,3.0600266045892917,0.745989033592858,4.966027589148325e-12,4.966027589148325e-12,5.185375706843883e-12,0.2833121571741106,96.18731725128839,Tier 0: Core Bottleneck Transducer
MYOM2,1515,578,91,59,32,0.299743452956161,0.9209775924682616,1.942890293094024e-15,2.028377465988104e-12,22.0511531829834,20.27659034729004,376,28.22456169128418,0.7812753319740295,0.9148313403129578,0.8824728727340698,0.9999748468399048,0.999996781349182,1.247879489762232,0.10603759639361215,0.9128864851350191,1354,7,2.1618101085369774e-12,11,10.999904700001192,15,7.032424343199202,1.247879489762232,4.056699420829091e-12,4.056699420829091e-12,4.3235610542401206e-12,0.299743452956161,97.35502041497398,Tier 0: Core Bottleneck Transducer
ABTB1,488,633,71,36,35,0.3630970501766075,0.8515571355819702,1.942890293094024e-15,6.275535646691728e-13,12.996692657470703,12.577336311340332,236,25.130464553833008,0.5171688199043274,0.8679418563842773,0.8802394270896912,0.8349051475524902,0.5384606122970581,2.9223991063635615,0.0017367306825527712,0.22705865923635576,115,95,1.0602615849871912e-12,121,120.99990736521492,16,95.00721649484537,2.9223991063635615,1.2551071293387395e-12,1.2551071293387395e-12,2.1205231699750476e-12,0.3630970501766075,104.52272480183436,Tier 0: Core Bottleneck Transducer
DSP,2333,657,106,69,37,0.3122749955939718,0.8912457823753357,1.942890293094024e-15,2.269295862331245e-12,30.466163635253903,25.52116584777832,2319,39.67886734008789,0.7678183913230896,0.873805046081543,0.9999802708625792,0.999978244304657,0.999993860721588,1.7776419192752788,0.037731342193859395,0.9128864851350191,531,22,2.388439852303134e-12,33,32.999903770573304,17,22.020718323910874,1.7776419192752788,4.53859172466764e-12,4.53859172466764e-12,4.776879704611688e-12,0.3122749955939718,108.08330120791094,Tier 0: Core Bottleneck Transducer
PARP15,687,129,44,17,27,0.5333150048164597,0.8640322685241699,1.942890293094024e-15,1.0491607582702226e-12,25.0375919342041,21.4687557220459,657,34.47804260253906,0.7261894941329956,0.847667932510376,0.9462558031082152,1.0,0.8173449635505676,2.520341816446446,0.005862046054222542,0.4496727674756935,196,64,1.3066709742041746e-12,5,4.999904450624736,18,4.0022613900897905,2.520341816446446,2.098321516541546e-12,2.098321516541546e-12,2.61334194840972e-12,0.5333150048164597,112.0,Tier 0: Core Bottleneck Transducer
NSG1,205,690,102,65,37,0.5082743705822181,0.7233560681343079,1.942890293094024e-15,2.6423307986075237e-13,15.89474391937256,14.959404945373535,156,25.070873260498047,0.6339924335479736,0.9046107530593872,0.3962782323360443,0.957621932029724,0.2278414219617843,6.553233959790215,2.8152098863738972e-11,6.04666866309022e-08,7,2061,1.0541123167921588e-12,9,8.99990626589778,19,7.068772863318922,6.553233959790215,5.235256672619926e-13,5.235256672619926e-13,2.108224633584907e-12,0.5082743705822181,120.11244731500561,Tier 0: Core Bottleneck Transducer
MAP1LC3C,161,422,72,39,33,0.2989051762780749,0.926397979259491,1.942890293094024e-15,2.7006175074003293e-13,10.066624641418455,8.504077911376953,57,15.407758712768556,0.6533477902412415,0.8476412296295166,0.9173175692558287,,0.4254373610019684,0.6099179301187437,0.27095808721288006,0.9128864851350191,3793,4,1.0541123167921588e-12,7,6.999910521799267,20,4.03372131692717,0.6099179301187437,5.401235014801387e-13,5.401235014801387e-13,2.108224633584907e-12,0.2989051762780749,123.17467272130257,Tier 0: Core Bottleneck Transducer
CAMSAP2,1562,630,89,56,33,0.4088500787704713,0.8092002272605896,1.942890293094024e-15,1.8438028881445287e-12,21.695289611816406,20.333099365234375,597,39.46315383911133,0.549760639667511,0.8761184811592102,0.8703838586807251,0.9999765157699584,0.8861845135688782,4.0036000266115765,3.119290282796069e-05,0.011166316524247356,42,363,1.9866401335282347e-12,47,46.99990468755141,21,39.013368806119054,4.0036000266115765,3.6876057762924574e-12,3.6876057762924574e-12,3.973280267060133e-12,0.4088500787704713,123.47469376354006,Tier 0: Core Bottleneck Transducer
NECAB1,379,556,61,26,35,0.3326613368293667,0.8807981014251709,1.942890293094024e-15,3.769207168601696e-13,16.46922492980957,15.324398040771484,232,37.25255584716797,0.4420965313911438,0.94721657037735,0.9707689881324768,0.9992422461509703,0.832047164440155,1.955002261348733,0.025291401680348526,0.9128864851350191,407,38,1.0541123167921588e-12,51,50.99990612580015,22,38.01127369471234,1.955002261348733,7.538414337204813e-13,7.538414337204813e-13,2.108224633584907e-12,0.3326613368293667,124.36237373096414,Tier 0: Core Bottleneck Transducer
SLC17A8,604,696,102,66,36,0.2684000040496935,0.924782931804657,1.942890293094024e-15,5.556666238247367e-13,10.476152420043944,9.39576244354248,369,19.243370056152344,0.5444031953811646,0.8370335102081299,0.8816003203392029,0.7058821320533752,0.6603278517723083,0.8281873141547051,0.20378221351437487,0.9128864851350191,2714,6,1.0541123167921588e-12,9,8.999909619304072,23,6.103525108081144,0.8281873141547051,1.1113332476497817e-12,1.1113332476497817e-12,2.108224633584907e-12,0.2684000040496935,127.60877712759417,Tier 0: Core Bottleneck Transducer
UGT8,553,691,98,61,37,0.4484606495539567,0.7483198046684265,1.942890293094024e-15,6.275535646691728e-13,22.605939865112305,21.685394287109375,13,34.752750396728516,0.6504791378974915,0.9484956860542296,0.7914011478424072,0.9576073884963988,0.4803843796253204,5.124768587579439,1.4895170269384463e-07,0.0001722683730770734,13,1263,1.0602615849871912e-12,20,19.99990440812263,24,15.042500831393417,5.124768587579439,1.2551071293387395e-12,1.2551071293387395e-12,2.1205231699750476e-12,0.4484606495539567,128.13664581219535,Tier 0: Core Bottleneck Transducer
SEC22B,215,720,112,73,39,0.5197180029958786,0.6895502209663391,1.942890293094024e-15,1.22402088464916e-13,21.948766708374023,19.14689826965332,26,39.73494720458984,0.5523794293403625,0.8541093468666077,0.0370135866105556,0.4956387877464294,0.0351669937372207,6.909982892398099,2.4235607727631577e-12,9.109559054623519e-09,4,4350,1.0541123167921588e-12,6,5.999904963543204,25,5.144828732956435,6.909982892398099,2.330913240200516e-13,2.330913240200516e-13,2.108224633584907e-12,0.5197180029958786,131.90905958272918,Tier 0: Core Bottleneck Transducer
UCHL3,237,715,112,72,40,0.3598119099509095,0.836453914642334,1.942890293094024e-15,1.5931700403369732e-13,12.643567085266112,8.8690185546875,168,30.208486557006836,0.4185435473918915,0.6324644684791565,0.6105707883834839,0.9485167860984802,0.3779634833335876,3.064023460988721,0.001091908917390382,0.16087297121421706,102,172,1.0541123167921588e-12,160,159.99991013271983,26,131.01007648819422,3.064023460988721,3.1863400806741993e-13,3.1863400806741993e-13,2.108224633584907e-12,0.3598119099509095,132.4537655183876,Tier 0: Core Bottleneck Transducer
AMMECR1L,311,730,112,72,40,0.4079833393518341,0.787782609462738,1.942890293094024e-15,1.5931700403369732e-13,26.971540451049805,23.55128288269043,33,34.23728942871094,0.787782609462738,0.8423376083374023,0.8355236649513245,0.4079250693321228,0.6674742102622986,4.256055714699755,1.0403243946838424e-05,0.004746047084199264,32,585,1.0541123167921588e-12,51,50.99990407310691,27,42.020851346857334,4.256055714699755,3.1863400806741993e-13,3.1863400806741993e-13,2.108224633584907e-12,0.4079833393518341,136.82105101189657,Tier 0: Core Bottleneck Transducer
STXBP1,594,663,107,71,36,0.4510147551999697,0.7404040694236755,1.942890293094024e-15,1.8846035843010258e-13,18.069509506225582,16.076356887817383,594,37.37077713012695,0.4835197925567627,0.9089322686195374,0.8557161092758179,0.3533667027950287,0.5181310772895813,5.107147578290854,1.6352915570812806e-07,0.00017561863257655038,14,1456,1.0541123167921588e-12,18,17.999905856050013,28,14.048885932823412,5.107147578290854,3.768652057090094e-13,3.768652057090094e-13,2.108224633584907e-12,0.4510147551999697,142.772546380598,Tier 0: Core Bottleneck Transducer
CA7,269,713,112,72,40,0.3387669704962861,0.8473159074783325,1.942890293094024e-15,2.7394753132621986e-13,18.65802001953125,12.934211730957031,53,35.340824127197266,0.5279452204704285,0.9095404744148254,0.8042905926704407,0.9275781512260436,0.5155118703842163,2.554767589983036,0.0053129360009913675,0.43582097470042436,183,114,1.0541123167921588e-12,145,144.99990717658105,29,114.01193880944464,2.554767589983036,5.478950626525148e-13,5.478950626525148e-13,2.108224633584907e-12,0.3387669704962861,144.43683740652867,Tier 0: Core Bottleneck Transducer
GNG5,68,655,111,72,39,0.519479365471166,0.690430223941803,1.942890293094024e-15,3.6914915568785773e-14,3.364083766937256,1.6519570350646973,8,4.872445583343506,0.690430223941803,0.8572649955749512,0.1601281613111496,0.4629097282886505,0.0,6.717950312234026,9.21492551864633e-12,2.7709281034569513e-08,5,4293,1.0541123167921588e-12,7,6.999937708001554,30,6.142966411706019,6.717950312234026,7.349676423018536e-14,7.349676423018536e-14,2.108224633584907e-12,0.519479365471166,146.50938536489735,Tier 0: Core Bottleneck Transducer
LRRN3,709,714,110,71,39,0.322098038349186,0.860141396522522,1.942890293094024e-15,9.053868765814052e-13,23.265090942382812,20.078840255737305,356,39.30284881591797,0.59194415807724,0.8123306632041931,0.8267943263053894,0.9999781250953674,0.4845304191112518,2.1577257198855593,0.015474581517323017,0.7569059410090627,307,70,1.206995184376789e-12,91,90.99990474409402,31,70.01636182241437,2.1577257198855593,1.8107737531636303e-12,1.8107737531636303e-12,2.4139903687546714e-12,0.322098038349186,146.59467930317254,Tier 0: Core Bottleneck Transducer
ILF2,397,714,112,72,40,0.4598437453292739,0.7102718949317932,1.942890293094024e-15,8.354428260303957e-14,9.201136589050291,7.504665851593018,351,41.13022994995117,0.2237073928117752,0.8858647346496582,0.1078507602214813,0.5976141691207886,0.2672612369060516,5.458872637577825,2.3958365802966305e-08,4.00237810941776e-05,9,2760,1.0541123167921588e-12,13,12.9999117582515,32,10.092118390422348,5.458872637577825,1.6708856520608606e-13,1.6708856520608606e-13,2.108224633584907e-12,0.4598437453292739,157.60710643876436,Tier 0: Core Bottleneck Transducer
CPAMD8,1927,405,82,48,34,0.3169490952739556,0.9064287543296814,1.942890293094024e-15,2.564615186880823e-12,21.503501892089844,19.1652774810791,1087,23.72332191467285,0.9064287543296814,0.8999597430229187,0.8565465807914734,0.9999834895133972,0.816490650177002,0.9431785271476225,0.1727947973593738,0.9128864851350191,2277,11,2.672325825403921e-12,19,18.99990495901929,33,11.0168939142002,0.9431785271476225,5.129174862616992e-12,5.129174862616992e-12,5.344593808264362e-12,0.3169490952739556,158.26244026931974,Tier 0: Core Bottleneck Transducer
MRPL57,103,654,113,74,39,0.4062083575522975,0.7837917804718018,1.942890293094024e-15,1.670885652060721e-13,10.839134216308594,9.583702087402344,36,21.90622329711914,0.4947970509529114,0.8241034150123596,0.7844271063804626,0.3156485259532928,0.3680509030818939,4.0114464301378066,3.017393575260447e-05,0.011166316524247356,40,645,1.0541123167921588e-12,53,52.99990944848968,34,44.022913202527434,4.0114464301378066,3.341771304121721e-13,3.341771304121721e-13,2.108224633584907e-12,0.4062083575522975,160.6237840420901,Tier 0: Core Bottleneck Transducer
NKPD1,1062,629,94,68,26,0.2832994696443846,0.904931664466858,1.942890293094024e-15,1.187105969079744e-12,11.584415435791016,10.769293785095217,941,24.333236694335938,0.4760737717151642,0.8497157692909241,0.9998427629470824,0.857756495475769,0.9143807888031006,1.0096870719983502,0.15632261911376594,0.9128864851350191,2035,13,1.4120362535691417e-12,22,21.999908496686533,35,13.060425673428666,1.0096870719983502,2.3742119381608973e-12,2.3742119381608973e-12,2.8240725071399596e-12,0.2832994696443846,162.64993083306246,Tier 0: Core Bottleneck Transducer
UHMK1,348,702,109,69,40,0.4425431048340901,0.738548994064331,1.942890293094024e-15,2.1177504194722627e-13,18.08237648010254,13.930590629577637,266,36.84558868408203,0.4907609820365906,0.9282565712928772,0.1934313625097274,0.9315386414527892,0.0,5.012733653609155,2.6831076298352263e-07,0.00022411401785873682,18,1509,1.0541123167921588e-12,22,21.999906697658684,36,17.050748254073827,5.012733653609155,4.2349457274326596e-13,4.2349457274326596e-13,2.108224633584907e-12,0.4425431048340901,164.80898033784445,Tier 0: Core Bottleneck Transducer
SHISA4,204,682,104,64,40,0.4141806207461986,0.7658354043960571,1.942890293094024e-15,3.516631430499566e-13,22.71070098876953,19.653974533081055,200,35.73544692993164,0.6355230808258057,0.9762524366378784,0.6171665787696838,,0.3685124516487121,4.280204671549508,9.33607578586523e-06,0.00456171269526609,30,927,1.0541123167921588e-12,39,38.999904841683126,37,32.03189225141337,4.280204671549508,7.032707749488054e-13,7.032707749488054e-13,2.108224633584907e-12,0.4141806207461986,166.76330531624757,Tier 0: Core Bottleneck Transducer
ASCL5,239,654,88,53,35,0.4086470365276091,0.7726726531982422,1.942890293094024e-15,3.186340080673693e-13,18.25515365600586,15.692336082458496,232,36.33622741699219,0.5023953914642334,0.8884512782096863,0.7743257880210876,0.5828177332878113,0.4201130867004394,4.069650318317037,2.354187658995526e-05,0.009314529329736245,38,802,1.0541123167921588e-12,48,47.99990599077322,38,40.028001330229465,4.069650318317037,6.372125049836086e-13,6.372125049836086e-13,2.108224633584907e-12,0.4086470365276091,174.5737666432159,Tier 0: Core Bottleneck Transducer
SLC15A4,600,645,95,58,37,0.2676271166710469,0.908536434173584,1.942890293094024e-15,7.382983113754568e-13,11.774073600769045,10.614291191101074,308,38.26630401611328,0.307687759399414,0.7537747621536255,0.6297324895858765,0.8905088901519775,0.3453056812286377,0.6800222746192811,0.24824517852049183,0.9128864851350191,3418,9,1.1023153040248254e-12,16,15.99990861008204,39,9.106451612903223,0.6800222746192811,1.4765966227514582e-12,1.4765966227514582e-12,2.2046306080504642e-12,0.2676271166710469,175.3909917869216,Tier 0: Core Bottleneck Transducer
MAGOH,146,676,113,73,40,0.5692464939286563,0.5888501405715942,1.942890293094024e-15,1.1657341758564076e-14,1.7306969165802002,0.576898992061615,54,2.939112663269043,0.5888501405715942,0.0,0.9897237420082092,0.0,0.0,7.9705490547020865,7.898547196391038e-16,3.958488569924642e-12,3,10865,1.0541123167921588e-12,3,2.9999634156027137,40,3.361423345527103,7.9705490547020865,1.8318679906315083e-15,1.8318679906315083e-15,2.108224633584907e-12,0.5692464939286563,180.5408541023333,Tier 0: Core Bottleneck Transducer
TJP1,1911,625,96,63,33,0.3070208843846929,0.8748756051063538,1.942890293094024e-15,1.90014670664415e-12,15.772229194641112,14.752975463867188,239,28.98671531677246,0.5441192388534546,0.905094027519226,0.8752833604812622,0.9999793171882628,0.9999947547912598,1.5633234276583297,0.058988270288214545,0.9128864851350191,754,45,2.0398933048478967e-12,61,60.999906348007094,41,45.025972730295976,1.5633234276583297,3.8002379021406796e-12,3.8002379021406796e-12,4.0797270159718046e-12,0.3070208843846929,184.20097719610501,Tier 0: Core Bottleneck Transducer
AMIGO1,501,722,108,69,39,0.3146472899887164,0.8532827496528625,1.942890293094024e-15,5.323519403076209e-13,20.72037124633789,17.718435287475586,246,30.73468017578125,0.6741690635681152,0.8434438109397888,0.9767637252807616,0.9999778866767884,0.4381192326545715,1.9981989537908496,0.022847547465645414,0.89924836687429,382,89,1.0541123167921588e-12,114,113.99990534232688,42,89.0207848353841,1.9981989537908496,1.0647038806155251e-12,1.0647038806155251e-12,2.108224633584907e-12,0.3146472899887164,184.3854658046561,Tier 0: Core Bottleneck Transducer
PSMC2,434,705,111,71,40,0.5080529463148433,0.6729665994644165,1.942890293094024e-15,4.274358644806761e-14,7.70306921005249,4.46920919418335,19,11.446435928344728,0.6729665994644165,0.5022247433662415,0.451940506696701,0.9999603629112244,0.1070174500346183,6.589742838443521,2.202945224294511e-11,5.5202135745446625e-08,6,5807,1.0541123167921588e-12,10,9.99991828417902,43,8.1933821084137,6.589742838443521,8.537615059367454e-14,8.537615059367454e-14,2.108224633584907e-12,0.5080529463148433,186.66011893278113,Tier 0: Core Bottleneck Transducer
SERTM2,103,713,110,71,39,0.4266471099354208,0.7340996861457825,1.942890293094024e-15,1.282307593441974e-13,18.295988082885746,12.747172355651855,51,24.92302894592285,0.7340996861457825,0.9137391448020936,0.9029631018638612,0.5393005609512329,0.1478005349636078,4.660724600771833,1.575490523189369e-06,0.0010298913050500941,23,1645,1.0541123167921588e-12,31,30.99990727422319,44,25.05553708014633,4.660724600771833,2.564060075371799e-13,2.564060075371799e-13,2.108224633584907e-12,0.4266471099354208,194.5122104136396,Tier 0: Core Bottleneck Transducer
KIF21B,1690,635,90,55,35,0.3260146121186579,0.8492150902748108,1.942890293094024e-15,1.5232259897845546e-12,17.273609161376953,16.50406265258789,66,29.746421813964844,0.5806953310966492,0.902401566505432,0.985603928565979,0.9999953508377076,0.9120999574661256,2.044455046413592,0.020454307017723123,0.8541340709740842,360,106,1.694790406009826e-12,134,133.99990571295945,45,106.015962753575,2.044455046413592,3.0463964684201983e-12,3.0463964684201983e-12,3.3895190485234722e-12,0.3260146121186579,195.34584715319647,Tier 0: Core Bottleneck Transducer
SLC4A3,1260,677,105,67,38,0.2835912685430769,0.8909120559692383,1.942890293094024e-15,1.0005885009429217e-12,17.148136138916016,15.503090858459473,151,41.651702880859375,0.4117031097412109,0.885378897190094,0.921854555606842,0.998567759990692,0.9999939799308776,1.144630263702683,0.12618117513298738,0.9128864851350191,1619,24,1.2711320753423597e-12,35,34.99990605947097,46,24.06009311606252,1.144630263702683,2.0011770018868447e-12,2.0011770018868447e-12,2.5422641506859913e-12,0.2835912685430769,197.11925324533877,Tier 0: Core Bottleneck Transducer
TMEM127,154,725,110,71,39,0.454039021036252,0.6945169568061829,1.942890293094024e-15,5.2458037913537283e-14,7.42276668548584,6.325070858001709,133,10.687667846679688,0.6945169568061829,0.8644702434539795,0.1601281464099884,0.9474830031394958,0.0,5.348197863736708,4.4417159676513986e-08,6.483419928573864e-05,10,3960,1.0541123167921588e-12,16,15.999913651745072,47,13.13212504156967,5.348197863736708,1.0486056467584604e-13,1.0486056467584604e-13,2.108224633584907e-12,0.454039021036252,198.997487421324,Tier 0: Core Bottleneck Transducer
CDR2,519,672,102,69,33,0.326483361303185,0.8430983424186707,1.942890293094024e-15,7.130407375652525e-13,18.78377914428711,16.448976516723633,516,28.817617416381836,0.6518158316612244,0.7355194091796875,0.9999815821647644,0.9999959468841552,0.7099639773368835,2.1569283909966517,0.01550562220357774,0.7569059410090627,308,137,1.0895992976210561e-12,171,170.99990573099515,48,137.01682740272696,2.1569283909966517,1.4260259639797823e-12,1.4260259639797823e-12,2.179113768516722e-12,0.326483361303185,205.41664976335292,Tier 0: Core Bottleneck Transducer
TNNT2,302,667,100,62,38,0.3110192033292859,0.8553613424301147,1.942890293094024e-15,3.2834845953283613e-13,12.59162139892578,9.124138832092283,209,31.964820861816406,0.3939212262630462,0.7866353392601013,0.9595355987548828,0.7745863795280457,0.5169180035591125,1.7742729997751538,0.03800900220541942,0.9128864851350191,535,81,1.0541123167921588e-12,105,104.99990987738332,49,81.02371134020619,1.7742729997751538,6.567524302170114e-13,6.567524302170114e-13,2.108224633584907e-12,0.3110192033292859,208.17060311196678,Tier 0: Core Bottleneck Transducer
PBK,330,703,105,69,36,0.2850336301848833,0.8854984641075134,1.942890293094024e-15,3.9440672949800906e-13,14.719980239868164,13.00902271270752,246,44.75096130371094,0.3289310336112976,0.6910252571105957,0.7091354131698608,0.8747953772544861,0.5191178917884827,1.2432987087854241,0.10687888992725847,0.9128864851350191,1370,32,1.0541123167921588e-12,44,43.99990713825668,50,32.05710009976721,1.2432987087854241,7.887579478449425e-13,7.887579478449425e-13,2.108224633584907e-12,0.2850336301848833,209.3800372528384,Tier 0: Core Bottleneck Transducer
