gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_proboscidea,delta_mysticeti,delta_giant_odontoceti,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
NRGN,709,78,0.04503852501511574,15.767736434936523,0.011561802045163048,0.3162277638912201,7.18869408444763e-14,3.9326891899108887,2.226494550704956,69,12.43625545501709,0.3162277638912201,4,2,0.02770977011708167,0.02770977011708167,0.0004855587750374547,0.0,0.0,0.027224211342044214,-2.111714108036872,-2.111714108036872,0.9826445108953246,0.9999912216022939,14765,3.6229108966562057e-12,1273,1.4377388168895777e-13,1.4377388168895777e-13,7.2460845134672265e-12,0.011561802045163048,0.011561802045163048,0.3162277638912201,23,Tier 0: Core Bottleneck Transducer
ACTR3,698,418,0.023006228730082512,37.16967010498047,0.0046340217317161125,0.3162277638912201,7.382983113757018e-14,1.2085658311843872,0.549842119216919,261,3.8218207359313965,0.3162277638912201,4,2,0.054045600945238886,0.054045600945238886,0.0,0.01895848513829432,0.0,0.03508711580694457,-3.3542010282202885,-3.3542010282202885,0.9996020274289336,0.9999912216022939,15358,3.6229108966562057e-12,1273,1.4771517342637708e-13,1.4771517342637708e-13,7.2460845134672265e-12,0.0046340217317161125,0.0046340217317161125,0.3162277638912201,24,Tier 0: Core Bottleneck Transducer
MPPED2,728,304,0.027654148638248444,40.90947723388672,0.007087537090020248,0.3162277638912201,7.771561172375794e-14,8.018367767333984,3.6640255451202393,73,25.356306076049805,0.3162277638912201,4,2,0.09160115452866723,0.09160115452866723,0.0,0.0,0.02938769532276111,0.06221345920590612,-2.952121011728917,-2.952121011728917,0.9984220038929231,0.9999912216022939,15217,3.6229108966562057e-12,1273,1.5548673459875317e-13,1.5548673459875317e-13,7.2460845134672265e-12,0.007087537090020248,0.007087537090020248,0.3162277638912201,25,Tier 0: Core Bottleneck Transducer
H2AJ,675,129,0.03218042477965355,33.09278106689453,0.0169056645638657,0.29964935779571533,8.160139230994567e-14,1.435616135597229,0.5281911492347717,9,4.790987014770508,0.29964935779571533,4,3,0.23631622338168776,0.2242149055052882,0.02448333840180673,0.18402928470161084,0.027803600278270186,-0.012101317876399556,-1.1945315563127368,-1.1945315563127368,0.8838649478071848,0.9999912216022939,13643,3.6229108966562057e-12,6029,1.6325829577112927e-13,1.6325829577112927e-13,7.2460845134672265e-12,0.0169056645638657,0.0169056645638657,0.29964935779571533,26,Tier 0: Core Bottleneck Transducer
MEIS1,695,394,0.02055683732032776,37.61357116699219,0.012375114987673588,0.3162275552749634,8.160139230994567e-14,4.015751361846924,1.8238410949707031,10,12.698929786682129,0.3162275552749634,4,3,0.38769494864614884,0.3354902684017061,0.1735129935862958,0.16580919103096237,0.048372764028890666,-0.05220468024444274,-1.9683428325523238,-1.9683428325523238,0.975485697613532,0.9999912216022939,14652,3.6229108966562057e-12,5417,1.6325829577112927e-13,1.6325829577112927e-13,7.2460845134672265e-12,0.012375114987673588,0.012375114987673588,0.3162275552749634,27,Tier 0: Core Bottleneck Transducer
GNAI1,700,375,0.03443344309926033,38.58086013793945,0.009310409223978253,0.3162277638912201,8.548717289613339e-14,1.954301118850708,1.431447148323059,165,38.58086013793945,0.05065467953681946,4,2,0.06864664516138805,0.06864664516138805,0.0,0.021339043034755333,0.0,0.04730760212663271,-2.5174787993162115,-2.5174787993162115,0.9940900958635556,0.9999912216022939,15017,3.6229108966562057e-12,1273,1.7102985694350537e-13,1.7102985694350537e-13,7.2460845134672265e-12,0.009310409223978253,0.009310409223978253,0.3162277638912201,28,Tier 0: Core Bottleneck Transducer
NKIRAS2,722,192,0.03388427570462227,31.845056533813477,0.01555009998445545,0.3162277340888977,8.548717289613339e-14,1.9141007661819458,1.1834383010864258,30,9.347611427307129,0.20476897060871124,4,2,0.15045641622271344,0.10589976602785851,-0.0015966126344186802,0.13105367116324002,-0.04296003756043625,0.01940274505947344,-1.3664881546149876,-1.3664881546149876,0.9141071018491645,0.9999912216022939,13922,3.6229108966562057e-12,3465,1.7102985694350537e-13,1.7102985694350537e-13,7.2460845134672265e-12,0.01555009998445545,0.01555009998445545,0.3162277340888977,29,Tier 0: Core Bottleneck Transducer
PAFAH1B1,698,410,0.025037169456481934,41.820281982421875,0.014249349406104256,0.31622758507728577,8.548717289613339e-14,4.065774440765381,2.5472848415374756,292,27.86554718017578,0.14590685069561005,4,4,0.3448337334307018,0.3448337334307018,0.09728538994391198,0.15315746606388703,0.04319745943378708,0.05119341798911568,-1.6314711722872581,-1.6314711722872581,0.9486045310810122,0.9999912216022939,14292,3.6229108966562057e-12,5290,1.7102985694350537e-13,1.7102985694350537e-13,7.2460845134672265e-12,0.014249349406104256,0.014249349406104256,0.31622758507728577,30,Tier 0: Core Bottleneck Transducer
SPTSSB,727,77,0.07639052718877792,40.94853591918945,0.017957689838295893,0.3162277638912201,8.548717289613339e-14,3.108614921569824,2.9928760528564453,72,37.66885757446289,0.08252479881048203,4,4,0.06775532838653568,0.06775532838653568,0.014996555142157442,0.04738870973200625,0.00026926362652435204,0.005100799885847633,-0.9070406932445373,-0.9070406932445373,0.8178073607938642,0.9776939855363953,13020,3.6229108966562057e-12,1273,1.7102985694350537e-13,1.7102985694350537e-13,7.2460845134672265e-12,0.017957689838295893,0.017957689838295893,0.3162277638912201,31,Tier 0: Core Bottleneck Transducer
RAB9B,707,202,0.03423009812831879,37.1103630065918,0.006758335964411928,0.3162277638912201,8.743006318922725e-14,3.6762423515319824,1.7905120849609375,91,11.625299453735352,0.3162277638912201,4,2,0.05921453385928739,0.05921453385928739,0.0,0.01209244024125838,0.0,0.04712209361802901,-2.9855995398454658,-2.9855995398454658,0.9985848849517829,0.9999912216022939,15229,3.6229108966562057e-12,1273,1.7486012637846216e-13,1.7486012637846216e-13,7.2460845134672265e-12,0.006758335964411928,0.006758335964411928,0.3162277638912201,32,Tier 0: Core Bottleneck Transducer
UQCC5,719,70,0.07729925960302353,25.445812225341797,0.01439002473317334,0.31622761487960815,8.743006318922725e-14,2.405059814453125,1.9664143323898315,16,7.605470657348633,0.31622761487960815,4,3,0.09116178097955543,0.08176083592748713,0.03878698084835456,0.045943052536927716,0.006431747594273157,-0.009400945052068298,-1.5857784753936637,-1.5857784753936637,0.9436052149578663,0.9999912216022939,14223,3.6229108966562057e-12,4986,1.7486012637846216e-13,1.7486012637846216e-13,7.2460845134672265e-12,0.01439002473317334,0.01439002473317334,0.31622761487960815,33,Tier 0: Core Bottleneck Transducer
ABCE1,714,604,0.04722108319401741,42.69955825805664,0.032177625600431685,0.3294476866722107,8.937295348232111e-14,11.790982246398926,6.4967169761657715,28,37.28661346435547,0.3162256181240082,4,4,0.27351385666544625,0.27351385666544625,0.021186007950732628,0.23985723834834105,0.010814188013029224,0.0016564223533433319,1.68242316717182,1.68242316717182,0.04624340606335277,0.8667758360870726,344,3.6229108966562057e-12,893,1.7869039581341895e-13,1.7869039581341895e-13,7.2460845134672265e-12,0.032177625600431685,0.032177625600431685,0.3294476866722107,34,Tier 0: Core Bottleneck Transducer
ANAPC16,707,104,0.02736171893775463,41.813934326171875,0.019736973382472687,0.30705738067626953,9.131584377541496e-14,5.900249481201172,3.3227739334106445,16,35.78709411621094,0.16487087309360504,4,3,0.19117727622415442,0.1490331438446951,0.019540641405402733,0.14065606872728809,-0.04214413237945934,0.03098056609146361,-0.6250487547647754,-0.6250487547647754,0.7340304701183609,0.939897336963322,12155,3.6229108966562057e-12,5835,1.8263168755083825e-13,1.8263168755083825e-13,7.2460845134672265e-12,0.019736973382472687,0.019736973382472687,0.30705738067626953,35,Tier 0: Core Bottleneck Transducer
SMIM14,716,99,0.06648695468902588,39.252784729003906,0.016057429892106064,0.3162277638912201,9.131584377541496e-14,11.753477096557617,5.65049409866333,94,37.16775894165039,0.3162277638912201,4,4,0.09993165132330344,0.09993165132330344,0.024638014235754385,0.06390620881766006,0.0018718108900226452,0.009515617379866352,-1.2808941961008775,-1.2808941961008775,0.8998845841580982,0.9999912216022939,13795,3.6229108966562057e-12,1273,1.8263168755083825e-13,1.8263168755083825e-13,7.2460845134672265e-12,0.016057429892106064,0.016057429892106064,0.3162277638912201,36,Tier 0: Core Bottleneck Transducer
CNRIP1,716,169,0.06819403171539307,42.81920623779297,0.013307331778082403,0.36459988355636597,9.32587340685088e-14,9.274998664855957,4.485445022583008,105,25.438840866088867,0.36459988355636597,4,3,0.04691073682748801,0.03357116447525404,0.020008908702515326,0.019228939724553494,-0.013339572352233972,0.007672888400419192,-1.7886290193329135,-1.7886290193329135,0.9631627094317146,0.9999912216022939,14485,3.6229108966562057e-12,403,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.013307331778082403,0.013307331778082403,0.36459988355636597,37,Tier 0: Core Bottleneck Transducer
DCUN1D1,720,244,0.03400973603129387,37.95952606201172,0.014090147438112453,0.3162277638912201,9.32587340685088e-14,2.9147582054138184,1.6495962142944336,194,34.48788833618164,0.08451541513204575,4,2,0.054472178760773274,0.013538864713077577,-0.0409333140476957,0.029867768693714245,0.0,0.024604410067059032,-1.6405229934052161,-1.6405229934052161,0.9495517641801013,0.9999912216022939,14307,3.6229108966562057e-12,1273,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.014090147438112453,0.014090147438112453,0.3162277638912201,38,Tier 0: Core Bottleneck Transducer
FGF14,702,206,0.04003200680017471,41.57634735107422,0.012137296822684437,0.3162275552749634,9.32587340685088e-14,3.9081032276153564,2.651921510696411,190,12.358515739440918,0.3162275552749634,4,4,0.1407770927883931,0.1407770927883931,0.018676501789966694,0.10436969163438337,0.0004211272369930793,0.017309772127049948,-2.0087243577546765,-2.0087243577546765,0.9777168129683524,0.9999912216022939,14686,3.6229108966562057e-12,5417,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.012137296822684437,0.012137296822684437,0.3162275552749634,39,Tier 0: Core Bottleneck Transducer
NDUFA4,718,92,0.08200991898775101,38.30828857421875,0.021788235067482085,0.31622761487960815,9.32587340685088e-14,3.06272029876709,1.8300089836120605,7,24.651283264160156,0.12424182146787643,4,4,0.1479746922124049,0.1479746922124049,0.05453800176884462,0.06996989920674541,0.012475246282314688,0.010991544954500174,-0.21633437722826251,-0.21633437722826251,0.5856364428492099,0.8875491061620876,10271,3.6229108966562057e-12,4986,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.021788235067482085,0.021788235067482085,0.31622761487960815,40,Tier 0: Core Bottleneck Transducer
PFDN6,717,129,0.041150979697704315,38.102684020996094,0.02087638919109468,0.3063661754131317,9.32587340685088e-14,3.380798578262329,1.4803379774093628,55,11.03515625,0.3063661754131317,4,4,0.21574577823309027,0.21574577823309027,0.005939818123255198,0.15999606251168935,0.007677570357425626,0.04213232724072009,-0.3882221000847363,-0.3882221000847363,0.651074160118416,0.9090774258390708,11143,3.6229108966562057e-12,5849,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.02087638919109468,0.02087638919109468,0.3063661754131317,41,Tier 0: Core Bottleneck Transducer
PIN1,717,179,0.06056760996580124,41.790260314941406,0.015388327760248264,0.2953702211380005,9.32587340685088e-14,0.9543279409408569,0.6355526447296143,159,3.230955123901367,0.2953702211380005,4,3,0.15405399017891816,0.1479546283622579,0.03646329804593217,0.10743002242397112,0.01016066970901487,-0.006099361816660264,-1.4031352075497172,-1.4031352075497172,0.9197117379609934,0.9999912216022939,13980,3.6229108966562057e-12,6119,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.015388327760248264,0.015388327760248264,0.2953702211380005,42,Tier 0: Core Bottleneck Transducer
TXNL1,712,289,0.04203386232256889,40.14625930786133,0.00644776344287155,0.3162277638912201,9.32587340685088e-14,7.081999778747559,4.191455364227295,261,22.39525032043457,0.3162277638912201,4,4,0.09133714095086232,0.09133714095086232,0.032444680356832824,0.011297939872444238,0.022781070557410153,0.024813450164175112,-3.0492828545279362,-3.0492828545279362,0.9988530580253826,0.9999912216022939,15257,3.6229108966562057e-12,1273,1.8646195698579504e-13,1.8646195698579504e-13,7.2460845134672265e-12,0.00644776344287155,0.00644776344287155,0.3162277638912201,43,Tier 0: Core Bottleneck Transducer
AHCYL1,721,537,0.024592163041234016,25.316112518310547,0.005795026827380217,0.3162277638912201,9.520162436160264e-14,1.1758170127868652,0.7154083847999573,515,3.7182600498199463,0.3162277638912201,4,3,0.15307443006291763,0.15307443006291763,0.029824080345883762,0.053408284951612976,0.0,0.06984206476542089,-3.183862743167404,-3.183862743167404,0.9992733804838929,0.9999912216022939,15302,3.6229108966562057e-12,1273,1.9040324872321435e-13,1.9040324872321435e-13,7.2460845134672265e-12,0.005795026827380217,0.005795026827380217,0.3162277638912201,44,Tier 0: Core Bottleneck Transducer
CCND3,724,99,0.06157609075307846,38.99885559082031,0.019837807857687313,0.31622764468193054,9.520162436160264e-14,3.3003976345062256,2.398620367050171,71,31.6464900970459,0.10428953170776367,4,2,0.04960092305704218,-0.007865683324413768,0.04802870597656052,-0.025072117045428558,-0.03239448933602739,0.0015722170804816638,-0.5615996087762984,-0.5615996087762984,0.712805576485948,0.9313801396441086,11913,3.6229108966562057e-12,4561,1.9040324872321435e-13,1.9040324872321435e-13,7.2460845134672265e-12,0.019837807857687313,0.019837807857687313,0.31622764468193054,45,Tier 0: Core Bottleneck Transducer
HSPE1,648,102,0.0402868390083313,41.02007293701172,0.027345943759207614,0.3055422008037567,9.520162436160264e-14,2.0173819065093994,1.4122756719589233,25,6.6026291847229,0.3055422008037567,4,3,0.3377357810514225,0.3377357810514225,0.0,0.2562123326862958,0.06375729743520131,0.017766150929925388,0.4794588115205217,0.4794588115205217,0.31580613160873194,0.8667758360870726,5422,3.6229108966562057e-12,5875,1.9040324872321435e-13,1.9040324872321435e-13,7.2460845134672265e-12,0.027345943759207614,0.027345943759207614,0.3055422008037567,46,Tier 0: Core Bottleneck Transducer
CSNK2A1,703,403,0.036659397184848785,41.0693244934082,0.01579661343339828,0.3162277340888977,9.714451465469648e-14,6.238309860229492,3.5641963481903076,369,19.727270126342773,0.3162277340888977,4,2,0.19998669172522798,0.13791093506019195,0.08943764644564269,0.1105490452795853,-0.030186192252732075,-0.03188956441230394,-1.3473083711860756,-1.3473083711860756,0.9110595314292022,0.9999912216022939,13893,3.6229108966562057e-12,3465,1.9423351815817114e-13,1.9423351815817114e-13,7.2460845134672265e-12,0.01579661343339828,0.01579661343339828,0.3162277340888977,47,Tier 0: Core Bottleneck Transducer
