gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,tier,z_track_b,p_track_b,q_track_b,p_combined
RIPPLY2,667,108,30.189369201660156,0.12278321,3.94771311850444,3.945063567978098e-05,0.05046117537115799,12,1,3,0.054558117,29,12,0.06501958,0.1167466,0.030900571,Tier 2: Physiological Homeostasis Modifier,3.94771311850444,3.945063567978098e-05,0.05046117537115799,3.945063567978098e-05
PTGDR2,690,418,29.91343116760254,0.122209,3.9270950164408824,4.2989010931335194e-05,0.05046117537115799,13,0,2,0.0029014947,1670,13,0.17747918,-8.4050174e-05,0.034277067,Tier 2: Physiological Homeostasis Modifier,3.9270950164408824,4.2989010931335194e-05,0.05046117537115799,4.2989010931335194e-05
TNNC1,717,161,41.74481964111328,0.12167998,3.9079405005838694,4.654311093224607e-05,0.05046117537115799,14,1,3,0.06546988,8,14,0.076006524,0.08997041,0.04477895,Tier 2: Physiological Homeostasis Modifier,3.9079405005838694,4.654311093224607e-05,0.05046117537115799,4.654311093224607e-05
NID2,628,1447,41.693702697753906,0.121631205,3.90727958046505,4.6670563193716725e-05,0.05046117537115799,15,1,3,0.05131201,37,15,0.08317673,0.101331,0.026163677,Tier 2: Physiological Homeostasis Modifier,3.90727958046505,4.6670563193716725e-05,0.05046117537115799,4.6670563193716725e-05
LYRM1,720,122,38.33460998535156,0.121496,3.9013280300152826,4.783320569297845e-05,0.05046117537115799,16,0,2,0.0029223852,1532,16,0.16399598,-0.00134401,0.04778527,Tier 2: Physiological Homeostasis Modifier,3.9013280300152826,4.783320569297845e-05,0.05046117537115799,4.783320569297845e-05
ENO2,705,450,42.23784637451172,0.12102072,3.884537829223554,5.12623646819581e-05,0.05046117537115799,17,1,3,0.065869994,7,17,0.08559385,0.07823876,0.045781426,Tier 2: Physiological Homeostasis Modifier,3.884537829223554,5.12623646819581e-05,0.05046117537115799,5.12623646819581e-05
SQLE,712,621,41.48371124267578,0.12070939,3.873316610487291,5.368210145867871e-05,0.05046117537115799,18,1,3,0.067464136,4,18,0.07288483,0.08561045,0.050579514,Tier 2: Physiological Homeostasis Modifier,3.873316610487291,5.368210145867871e-05,0.05046117537115799,5.368210145867871e-05
CCDC12,717,170,41.44886016845703,0.11973904,3.838550453119978,6.188139303973995e-05,0.0551070089596,19,1,3,0.0030969048,1418,19,0.15057649,5.8426755e-05,0.05675919,Tier 2: Physiological Homeostasis Modifier,3.838550453119978,6.188139303973995e-05,0.0551070089596,6.188139303973995e-05
ARID1A,705,1959,41.632205963134766,0.11822023,3.78456076996525,7.699014026485409e-05,0.0632400910073349,20,1,3,0.0057336157,717,20,0.0010186434,0.15839282,0.045351975,Tier 2: Physiological Homeostasis Modifier,3.78456076996525,7.699014026485409e-05,0.0632400910073349,7.699014026485409e-05
FAM124B,710,478,41.95838928222656,0.11808949,3.7797610273999958,7.848947465449367e-05,0.0632400910073349,21,0,2,0.0029090857,1591,21,-0.00069701904,0.16669038,0.038543653,Tier 2: Physiological Homeostasis Modifier,3.7797610273999958,7.848947465449367e-05,0.0632400910073349,7.848947465449367e-05
FAM170A,681,381,42.1342887878418,0.11735074,3.754251021940885,8.693028161479435e-05,0.06523415514937093,22,1,3,0.055631883,24,22,0.10761969,0.061959054,0.033678707,Tier 2: Physiological Homeostasis Modifier,3.754251021940885,8.693028161479435e-05,0.06523415514937093,8.693028161479435e-05
ALDH1A1,561,503,42.21184539794922,0.11708697,3.7492693287039285,8.867527000209997e-05,0.06523415514937093,23,1,3,0.05123668,38,23,0.098065056,0.026962021,0.077773474,Tier 2: Physiological Homeostasis Modifier,3.7492693287039285,8.867527000209997e-05,0.06523415514937093,8.867527000209997e-05
CD101,686,1049,42.28809356689453,0.11680976,3.7348279470212113,9.392178236041111e-05,0.06621485656408983,24,1,3,0.056556497,21,24,0.082208104,0.08746801,0.032644294,Tier 2: Physiological Homeostasis Modifier,3.7348279470212113,9.392178236041111e-05,0.06621485656408983,9.392178236041111e-05
PPM1A,615,484,41.38321685791016,0.116150014,3.714092285352516,0.0001019671844097,0.06901139040848496,25,1,3,0.04455624,63,25,0.12755734,0.049451,0.024169395,Tier 2: Physiological Homeostasis Modifier,3.714092285352516,0.0001019671844097,0.06901139040848496,0.0001019671844097
RRP36,707,292,41.23024368286133,0.1150831,3.6724868844664242,0.00012010074140419885,0.07815786709842479,26,1,3,0.06514937,9,26,0.068764165,0.0798903,0.050675303,Tier 2: Physiological Homeostasis Modifier,3.6724868844664242,0.00012010074140419885,0.07815786709842479,0.00012010074140419885
C10orf71,702,1572,43.14706039428711,0.11446797,3.6507324124832223,0.00013074678282497273,0.08193465057031624,27,1,3,0.009210587,334,27,0.0024050209,0.15800819,0.03785114,Tier 2: Physiological Homeostasis Modifier,3.6507324124832223,0.00013074678282497273,0.08193465057031624,0.00013074678282497273
ELF5,705,278,41.50154876708984,0.113797575,3.6266726714489077,0.0001435484293856832,0.08674426518591997,28,1,3,0.006615233,558,28,0.0013709262,0.15737537,0.03835689,Tier 2: Physiological Homeostasis Modifier,3.6266726714489077,0.0001435484293856832,0.08674426518591997,0.0001435484293856832
DLX4,648,258,41.36492156982422,0.112550005,3.585169392323172,0.0001684297455688976,0.09827004465606025,29,1,3,0.06269007,11,29,0.045893073,0.071314216,0.07773505,Tier 2: Physiological Homeostasis Modifier,3.585169392323172,0.0001684297455688976,0.09827004465606025,0.0001684297455688976
CASP7,702,319,42.87342071533203,0.11225428,3.5717325898530783,0.00017731370376164365,0.0992353373588981,30,1,3,0.0080082,397,30,0.0019161938,0.15390645,0.03860747,Tier 2: Physiological Homeostasis Modifier,3.5717325898530783,0.00017731370376164365,0.0992353373588981,0.00017731370376164365
CDK5R1,709,319,36.48454666137695,0.11208049,3.565164313670189,0.00018181415237150363,0.0992353373588981,31,1,3,0.060424812,13,31,0.0711426,0.0818132,0.041173317,Tier 2: Physiological Homeostasis Modifier,3.565164313670189,0.00018181415237150363,0.0992353373588981,0.00018181415237150363
CD300LD,188,274,32.86896514892578,0.108505845,3.5149152098761016,0.00021994720705487974,0.11629708573026766,32,1,3,0.05960168,15,32,0.08655293,0.046787582,0.054597106,Background,3.5149152098761016,0.00021994720705487974,0.11629708573026766,0.00021994720705487974
BRME1,661,863,42.21075439453125,0.10868649,3.4472809180314403,0.000283129728617951,0.14516833358229486,33,1,3,0.05018406,40,33,0.10134898,0.057528254,0.029373277,Background,3.4472809180314403,0.000283129728617951,0.14516833358229486,0.000283129728617951
MSANTD2,643,609,41.287200927734375,0.108188204,3.4309695685211477,0.00030071403302450766,0.14964945408160793,34,1,3,0.062916696,10,34,0.055557452,0.07000896,0.061821043,Background,3.4309695685211477,0.00030071403302450766,0.14964945408160793,0.00030071403302450766
CCDC9B,700,541,41.191749572753906,0.10711491,3.3884726573282054,0.00035141517932117395,0.16583212641790365,35,1,3,0.061066978,12,35,0.06233343,0.07436483,0.048830196,Background,3.3884726573282054,0.00035141517932117395,0.16583212641790365,0.00035141517932117395
NMI,711,328,41.449588775634766,0.10710663,3.38736723322957,0.0003528343115274546,0.16583212641790365,36,1,3,0.0076172925,434,36,0.14230174,0.0017524636,0.04145994,Background,3.38736723322957,0.0003528343115274546,0.16583212641790365,0.0003528343115274546
ADGRG6,692,1285,41.88362503051758,0.106486835,3.366685454919371,0.0003803870446670563,0.1711285472206678,37,1,3,0.0071391123,494,37,0.0015662233,0.14135349,0.041520912,Background,3.366685454919371,0.0003803870446670563,0.1711285472206678,0.0003803870446670563
CREBL2,725,127,41.402957916259766,0.10647728,3.363839429065463,0.0003843312526232492,0.1711285472206678,38,0,2,0.0029207142,1538,38,0.13560861,-0.0006238632,0.049439285,Background,3.363839429065463,0.0003843312526232492,0.1711285472206678,0.0003843312526232492
PRKCE,691,762,41.82023239135742,0.10605891,3.3515129932591305,0.00040185633663704547,0.1743438260486874,39,1,3,0.0076525672,432,39,0.0017688391,0.14094585,0.04098472,Background,3.3515129932591305,0.00040185633663704547,0.1743438260486874,0.00040185633663704547
OR10A2,268,314,41.82954406738281,0.10375883,3.338153570997659,0.000421685615703808,0.1783730154427108,40,1,3,0.05743741,18,40,0.07919258,0.057279017,0.04324396,Background,3.338153570997659,0.000421685615703808,0.1783730154427108,0.000421685615703808
TMEM191B,176,341,41.60144805908203,0.101465024,3.3045912739161496,0.00047557499638453145,0.1817626240531203,41,1,3,0.036528572,114,41,0.096374445,0.016818266,0.062549874,Background,3.3045912739161496,0.00047557499638453145,0.1817626240531203,0.00047557499638453145
SCAMP5,718,235,39.767181396484375,0.10474912,3.302567794385614,0.0004790196320357542,0.1817626240531203,42,0,2,0.0029227603,1529,42,-0.05530064,0.1905778,0.046153612,Background,3.302567794385614,0.0004790196320357542,0.1817626240531203,0.0004790196320357542
ADAMTS13,535,1352,41.24856185913086,0.10401992,3.295304239705302,0.0004915758799504358,0.1817626240531203,43,1,3,0.04534352,61,43,0.11062798,0.040142197,0.0293976,Background,3.295304239705302,0.0004915758799504358,0.1817626240531203,0.0004915758799504358
C6orf136,706,356,41.56339645385742,0.10448013,3.2939564375629966,0.0004939390363445235,0.1817626240531203,44,1,3,0.003338739,1306,44,0.13858339,0.0001517467,0.042229775,Background,3.2939564375629966,0.0004939390363445235,0.1817626240531203,0.0004939390363445235
MAP10,638,1071,43.5880241394043,0.104298994,3.2937115287163787,0.0004943695726712052,0.1817626240531203,45,1,3,0.032430936,137,45,0.13260299,0.017897326,0.03015083,Background,3.2937115287163787,0.0004943695726712052,0.1817626240531203,0.0004943695726712052
JSRP1,657,434,38.5677375793457,0.10432952,3.2929705071621824,0.0004956743649760177,0.1817626240531203,46,1,3,0.0073998366,459,46,0.0016172593,0.110469714,0.068617046,Background,3.2929705071621824,0.0004956743649760177,0.1817626240531203,0.0004956743649760177
MYD88,705,320,42.08453369140625,0.104248874,3.2857855246578738,0.00050849206573172,0.1817626240531203,47,0,2,0.0029181978,1549,47,0.13403293,-0.00095050904,0.04748191,Background,3.2857855246578738,0.00050849206573172,0.1817626240531203,0.00050849206573172
DEFB121,566,93,33.38618469238281,0.10374249,3.2818519672305757,0.000515638649796086,0.1817626240531203,48,1,3,0.05486212,27,48,0.03633465,0.06321122,0.08014139,Background,3.2818519672305757,0.000515638649796086,0.1817626240531203,0.000515638649796086
TAS2R60,383,355,41.26661682128906,0.102383286,3.2637546933190755,0.0005497315704583845,0.18982567698277278,49,1,3,0.046354484,54,49,0.106348604,0.039280344,0.031704094,Background,3.2637546933190755,0.0005497315704583845,0.18982567698277278,0.0005497315704583845
OSTN,724,135,41.45359802246094,0.102710456,3.229136472631529,0.0006208231362085648,0.202446599952942,50,0,2,0.0029332433,1517,50,-0.0022242623,0.10708841,0.07303558,Background,3.229136472631529,0.0006208231362085648,0.202446599952942,0.0006208231362085648
DEFB108C,366,106,38.62947082519531,0.101112686,3.2248435180328245,0.0006302077073502186,0.202446599952942,51,1,3,0.050040934,41,51,0.09354323,0.048129182,0.03345989,Background,3.2248435180328245,0.0006302077073502186,0.202446599952942,0.0006302077073502186
ECD,692,692,43.46865463256836,0.10242347,3.2218533583063587,0.0006368215146122419,0.202446599952942,52,1,3,0.009559587,314,52,0.002612925,0.14253405,0.03225568,Background,3.2218533583063587,0.0006368215146122419,0.202446599952942,0.0006368215146122419
CD274,720,196,40.819915771484375,0.10242308,3.219217647283957,0.0006427044036809501,0.202446599952942,53,1,3,0.013012298,261,53,0.0039681224,0.12795006,0.045483764,Background,3.219217647283957,0.0006427044036809501,0.202446599952942,0.0006427044036809501
BICC1,693,898,41.823211669921875,0.10229085,3.21702969872174,0.0006476259511136249,0.202446599952942,54,1,3,0.0035798408,1215,54,0.00024540816,0.14234054,0.03458699,Background,3.21702969872174,0.0006476259511136249,0.202446599952942,0.0006476259511136249
FEZF2,695,492,41.9080696105957,0.10203986,3.207887551538013,0.0006685688424252892,0.202446599952942,55,1,3,0.057313707,19,55,0.06252845,0.07129171,0.04291806,Background,3.207887551538013,0.0006685688424252892,0.202446599952942,0.0006685688424252892
ABCC5,700,1450,43.40666580200195,0.102020755,3.206721886988078,0.0006712836113630451,0.202446599952942,56,1,3,0.054845773,28,56,0.06476364,0.0749589,0.036982592,Background,3.206721886988078,0.0006712836113630451,0.202446599952942,0.0006712836113630451
BATF3,700,130,26.37389755249023,0.101817265,3.1994617105198486,0.000688422373371811,0.202446599952942,57,1,3,0.05568021,23,57,0.0651523,0.07242937,0.038771007,Background,3.1994617105198486,0.000688422373371811,0.202446599952942,0.000688422373371811
TOR1AIP1,644,660,41.847652435302734,0.10158942,3.1971490738198733,0.0006939658863635128,0.202446599952942,58,1,3,0.049879994,44,58,0.091439396,0.053092957,0.031425677,Background,3.1971490738198733,0.0006939658863635128,0.202446599952942,0.0006939658863635128
RAB3A,695,220,30.11204719543457,0.101461366,3.187260456321889,0.0007181368703834941,0.2059470482523512,59,1,3,0.057147358,20,59,0.060946558,0.07144102,0.043348685,Background,3.187260456321889,0.0007181368703834941,0.2059470482523512,0.0007181368703834941
EXT2,691,719,41.93536376953125,0.10075065,3.162331983379359,0.0007825551179302491,0.22068054325633024,60,1,3,0.057637256,17,60,0.059125047,0.06910744,0.04627274,Background,3.162331983379359,0.0007825551179302491,0.22068054325633024,0.0007825551179302491
ALDOC,730,377,42.277687072753906,0.10034971,3.1440777574702223,0.0008330558096550346,0.23107056228464237,61,1,3,0.006749208,539,61,0.0013876627,0.11472272,0.057700407,Background,3.1440777574702223,0.0008330558096550346,0.23107056228464237,0.0008330558096550346
TM4SF1,723,211,41.88169479370117,0.100034595,3.133494911736566,0.0008636895672183609,0.23570366898926878,62,1,3,0.036935434,107,62,0.01783865,0.10223781,0.05318854,Background,3.133494911736566,0.0008636895672183609,0.23570366898926878,0.0008636895672183609
MANBAL,728,88,40.44938278198242,0.09962113,3.118193627806224,0.0009098160776940343,0.24435060372354064,63,0,2,0.002929836,1520,63,-0.0026341819,0.10880096,0.06638208,Background,3.118193627806224,0.0009098160776940343,0.24435060372354064,0.0009098160776940343
SAP18,698,173,41.68027877807617,0.09900214,3.0992422645440256,0.0009700815072003231,0.2564652984660854,64,0,2,0.0029152522,1555,64,0.12573999,-0.00047688856,0.046213627,Background,3.0992422645440256,0.0009700815072003231,0.2564652984660854,0.0009700815072003231
PRR9,712,120,37.23344421386719,0.098813824,3.090995164804772,0.0009974344117626476,0.25963984995421535,65,1,3,0.042951323,73,65,0.030451223,0.10696371,0.03373564,Background,3.090995164804772,0.0009974344117626476,0.25963984995421535,0.0009974344117626476
GFRA1,706,492,41.30984878540039,0.098516114,3.0810164317809807,0.0010314763194936474,0.2644330200883714,66,1,3,0.0561488,22,66,0.070802115,0.05373523,0.046097565,Background,3.0810164317809807,0.0010314763194936474,0.2644330200883714,0.0010314763194936474
PYHIN1,149,582,41.753902435302734,0.092995815,3.0695496599347436,0.0010719088075634186,0.27034763017796837,67,1,3,0.046791174,53,67,0.053492792,0.029143086,0.0784376,Background,3.0695496599347436,0.0010719088075634186,0.27034763017796837,0.0010719088075634186
SPINK1,702,81,41.48642349243164,0.09804828,3.064763917507891,0.0010892093967115194,0.27034763017796837,68,1,3,0.01899535,226,68,0.0064841816,0.07572602,0.087614395,Background,3.064763917507891,0.0010892093967115194,0.27034763017796837,0.0010892093967115194
ABHD14B,715,212,39.54273223876953,0.09798755,3.061139558453205,0.0011024814705839134,0.27034763017796837,69,1,3,0.04111435,83,69,0.02085808,0.08655462,0.062306717,Background,3.061139558453205,0.0011024814705839134,0.27034763017796837,0.0011024814705839134
CXCL11,698,104,34.55785369873047,0.097596645,3.0491087933220906,0.001147606734678457,0.27655731596814287,70,1,3,0.047890708,49,70,0.06465054,0.07639811,0.027993698,Background,3.0491087933220906,0.001147606734678457,0.27655731596814287,0.001147606734678457
FPGS,694,584,41.06642532348633,0.09726191,3.0376406498667623,0.001192190519774393,0.27655731596814287,71,1,3,0.05183079,34,71,0.061298013,0.07280283,0.03436173,Background,3.0376406498667623,0.001192190519774393,0.27655731596814287,0.001192190519774393
LRRC3,693,271,37.52342987060547,0.097249895,3.037330838503673,0.001193416652735439,0.27655731596814287,72,0,2,0.0028982558,1709,72,0.13476159,-0.0013694112,0.03504958,Background,3.037330838503673,0.001193416652735439,0.27655731596814287,0.001193416652735439
KRTAP16-1,240,702,41.93677520751953,0.09399896,3.0365422816248655,0.0011965427157317832,0.27655731596814287,73,1,3,0.0029276065,1522,73,0.0926388,1.8648683e-09,0.07017218,Background,3.0365422816248655,0.0011965427157317832,0.27655731596814287,0.0011965427157317832
SLFN11,374,963,44.96211242675781,0.09546286,3.0332863627051885,0.0012095296324847857,0.27655731596814287,74,1,3,0.054986816,26,74,0.06409722,0.045058224,0.056191072,Background,3.0332863627051885,0.0012095296324847857,0.27655731596814287,0.0012095296324847857
C7orf25,727,423,42.03750991821289,0.09699073,3.0241470411620157,0.00124667610868705,0.28125013011979844,75,1,3,0.010689288,285,75,0.0029391716,0.10976769,0.055285994,Background,3.0241470411620157,0.00124667610868705,0.28125013011979844,0.00124667610868705
ACTL7A,681,461,41.8914794921875,0.09670008,3.0192010108517637,0.001267211573263332,0.28212131341599445,76,1,3,0.0058469255,700,76,0.0010962519,0.1323671,0.034026083,Background,3.0192010108517637,0.001267211573263332,0.28212131341599445,0.001267211573263332
GJA9,506,521,41.8712158203125,0.0958046,3.0144793801354157,0.0012871035429956842,0.28281700190578885,77,1,3,0.05277811,31,77,0.06096872,0.037231125,0.06773858,Background,3.0144793801354157,0.0012871035429956842,0.28281700190578885,0.0012871035429956842
OR51T1,355,331,41.428077697753906,0.09461602,3.010575324146479,0.0013037663208422892,0.28281700190578885,78,1,3,0.05161194,36,78,0.07439023,0.05203983,0.037449703,Background,3.010575324146479,0.0013037663208422892,0.28281700190578885,0.0013037663208422892
SPAG11B,496,150,39.825782775878906,0.09544456,3.0039481730293836,0.0013325035903391444,0.28539190820934585,79,1,3,0.048800897,47,79,0.07496806,0.0600216,0.030325167,Background,3.0039481730293836,0.0013325035903391444,0.28539190820934585,0.0013325035903391444
EEF1AKMT3,726,229,41.65226364135742,0.09543909,2.968729176818084,0.0014951701044510135,0.3117311627746342,80,1,3,0.011027959,278,80,0.0030796665,0.10644064,0.055785034,Background,2.968729176818084,0.0014951701044510135,0.3117311627746342,0.0014951701044510135
TMEM31,381,182,42.84273910522461,0.09345071,2.9636270302610876,0.0015201827189589888,0.3117311627746342,81,1,3,0.026450666,177,81,0.08406515,0.010491244,0.06730499,Background,2.9636270302610876,0.0015201827189589888,0.3117311627746342,0.0015201827189589888
C2orf92,277,300,38.615962982177734,0.09217231,2.9597032369473997,0.0015396775706988124,0.3117311627746342,82,1,3,0.05235677,32,82,0.04348474,0.04823113,0.067931235,Background,2.9597032369473997,0.0015396775706988124,0.3117311627746342,0.0015396775706988124
CNDP1,599,524,41.78520965576172,0.09466515,2.958640252026206,0.0015449979751142302,0.3117311627746342,83,1,3,0.045826033,57,83,0.039886057,0.09202905,0.032049738,Background,2.958640252026206,0.0015449979751142302,0.3117311627746342,0.0015449979751142302
ELOF1,729,83,10.0927152633667,0.09515273,2.958121295688044,0.001547601517320879,0.3117311627746342,84,1,3,0.0047667096,952,84,0.0006598766,0.10904253,0.05510693,Background,2.958121295688044,0.001547601517320879,0.3117311627746342,0.001547601517320879
ANKRD37,696,161,36.94560623168945,0.09408772,2.9242098356282646,0.0017266593509324701,0.34159924221896343,85,1,3,0.0028989867,1703,85,0.12697439,3.7304893e-09,0.035990328,Background,2.9242098356282646,0.0017266593509324701,0.34159924221896343,0.0017266593509324701
LVRN,676,1026,43.83204650878906,0.093963645,2.922483351755667,0.0017362609238079701,0.34159924221896343,86,1,3,0.035600685,119,86,0.10983911,0.021551637,0.031359028,Background,2.922483351755667,0.0017362609238079701,0.34159924221896343,0.0017362609238079701
GLB1L3,534,493,41.6362190246582,0.09310364,2.915315944677051,0.0017766431288367614,0.3455264567806667,87,1,3,0.051676136,35,87,0.06904763,0.054288216,0.037924383,Background,2.915315944677051,0.0017766431288367614,0.3455264567806667,0.0017766431288367614
ARHGEF37,685,708,44.86389923095703,0.09367419,2.91094805121085,0.001801669610399365,0.3464119296358779,88,1,3,0.05214695,33,88,0.056762267,0.06742948,0.038056694,Background,2.91094805121085,0.001801669610399365,0.3464119296358779,0.001801669610399365
ECHDC2,681,261,34.63154220581055,0.09331471,2.8987004430229013,0.001873563548307626,0.35618758693668573,89,0,2,0.002893287,1782,89,-0.002774416,0.13129884,0.033101387,Background,2.8987004430229013,0.001873563548307626,0.35618758693668573,0.001873563548307626
ABRA,715,398,41.48259735107422,0.093224995,2.89091470197886,0.0019206118106847192,0.36107502040872724,90,0,2,0.0029134396,1567,90,-0.054597892,0.17547855,0.04058977,Background,2.89091470197886,0.0019206118106847192,0.36107502040872724,0.0019206118106847192
LRRTM1,727,530,41.47490692138672,0.092995204,2.881137978510984,0.0019812106852271243,0.36419830114772095,91,0,2,0.0029183351,1548,91,-0.00034653593,0.10963371,0.051785238,Background,2.881137978510984,0.0019812106852271243,0.36419830114772095,0.0019812106852271243
PRDM14,688,662,44.10015106201172,0.09271704,2.876440734766367,0.002010938563406953,0.36419830114772095,92,1,3,0.0500106,43,92,0.058960676,0.0679037,0.033726234,Background,2.876440734766367,0.002010938563406953,0.36419830114772095,0.002010938563406953
PHF11,630,372,41.264610290527344,0.09246676,2.876192122390739,0.002012523205140236,0.36419830114772095,93,1,3,0.034210257,128,93,0.07908708,0.015623181,0.06544686,Background,2.876192122390739,0.002012523205140236,0.36419830114772095,0.002012523205140236
SUPV3L1,678,800,41.645225524902344,0.09262286,2.8745023340759683,0.0020233238952651164,0.36419830114772095,94,1,3,0.0073236353,472,94,0.0017068977,0.12896225,0.029758345,Background,2.8745023340759683,0.0020233238952651164,0.36419830114772095,0.0020233238952651164
NR1I2,630,446,42.43124771118164,0.09171491,2.8496117036720516,0.002188631602094363,0.3895102497386117,95,0,2,0.002869412,2217,95,0.13480839,-0.001167851,0.025214316,Background,2.8496117036720516,0.002188631602094363,0.3895102497386117,0.002188631602094363
CALML3,589,168,33.753299713134766,0.091128334,2.835951170676108,0.0022844715439706486,0.3895102497386117,96,1,3,0.028854907,158,96,0.11651947,0.016742721,0.024576701,Background,2.835951170676108,0.0022844715439706486,0.3895102497386117,0.0022844715439706486
SH3BP4,685,1005,41.70024871826172,0.091230355,2.823917219018419,0.0023720318020938142,0.3895102497386117,97,1,3,0.04900187,46,97,0.058295336,0.066993624,0.032726638,Background,2.823917219018419,0.0023720318020938142,0.3895102497386117,0.0023720318020938142
SPMIP9,649,181,33.87736129760742,0.09104127,2.8227118657839094,0.002380967348764226,0.3895102497386117,98,1,3,0.05281521,30,98,0.045582056,0.050981373,0.061124668,Background,2.8227118657839094,0.002380967348764226,0.3895102497386117,0.002380967348764226
NTNG1,726,513,39.01956558227539,0.09122815,2.818027306154031,0.002415985016255169,0.3895102497386117,99,1,3,0.005303302,822,99,0.0008610027,0.1053446,0.051806163,Background,2.818027306154031,0.002415985016255169,0.3895102497386117,0.002415985016255169
TSPOAP1,670,1954,44.12297439575195,0.09095352,2.8163199726965584,0.0024288629682670854,0.3895102497386117,100,1,3,0.0038199972,1155,100,0.00033460604,0.12242891,0.034772612,Background,2.8163199726965584,0.0024288629682670854,0.3895102497386117,0.0024288629682670854
MRTO4,694,246,37.38724899291992,0.09103598,2.815672763791539,0.0024337608996033966,0.3895102497386117,101,0,2,0.002900953,1678,101,0.122122824,-0.0018742693,0.03743038,Background,2.815672763791539,0.0024337608996033966,0.3895102497386117,0.0024337608996033966
CPNE6,727,557,41.73992919921875,0.091157176,2.815350730122074,0.0024362013055614943,0.3895102497386117,102,0,2,0.0029250046,1526,102,0.09424263,-0.0014043951,0.06505062,Background,2.815350730122074,0.0024362013055614943,0.3895102497386117,0.0024362013055614943
ADORA3,723,328,41.337215423583984,0.09107459,2.8129438443977617,0.0024545111638678264,0.3895102497386117,103,1,3,0.008992158,346,103,0.0022691693,0.10058585,0.05489078,Background,2.8129438443977617,0.0024545111638678264,0.3895102497386117,0.0024545111638678264
