gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,tier,z_track_b,p_track_b,q_track_b,p_combined
TAS2R5,382,319,41.835968017578125,0.015486854,3.1620844942176483,0.0007832205277265942,0.6868932456375141,11,0,4,0.0025315286395016,9,11,0.0158363692462444,0.0102238124236464,0.0,0.0065459357574582,0.0102238124236464,-0.0033767477143555,Background,3.1620844942176483,0.0007832205277265942,0.6868932456375141,0.0007832205277265942
ALPG,291,634,43.808441162109375,0.015185857,3.0967085918631514,0.0009784106710351477,0.6868932456375141,12,0,4,0.002497415358985,10,12,0.0068559297360479,0.0094967884942889,0.0,0.0,0.0094967884942889,0.0108123756945133,Background,3.0967085918631514,0.0009784106710351477,0.6868932456375141,0.0009784106710351477
MICA,133,316,37.4398078918457,0.023887161,3.026594764048624,0.0012366264126375589,0.6868932456375141,13,0,2,0.001474212161023,424,13,0.0,0.0275834761559963,0.0,0.0,0.0275834761559963,-0.0065444926731288,Background,3.026594764048624,0.0012366264126375589,0.6868932456375141,0.0012366264126375589
FAM90A20,137,522,40.90032577514648,0.022167332,2.8785954088603813,0.001997252165215667,0.6868932456375141,14,0,1,0.0011941187226322,2013,14,0.0,0.0,0.0396074615418911,0.0,0.0,-0.0151252727955579,Background,2.8785954088603813,0.001997252165215667,0.6868932456375141,0.001997252165215667
TSPYL6,144,435,43.537811279296875,0.021213949,2.870575568282264,0.0020486262515575157,0.6868932456375141,15,0,1,0.0011892923838169,2127,15,0.0,0.0,0.0212139524519443,0.0,0.0,0.0,Background,2.870575568282264,0.0020486262515575157,0.6868932456375141,0.0020486262515575157
OR2T11,253,320,41.634979248046875,0.013817647,2.8201172569928703,0.002400305200110644,0.6868932456375141,16,0,5,0.0033521465893334,2,16,0.0032505190465599,0.015504197217524,0.0,0.0035956727806478,0.015504197217524,0.0036327356938272,Background,2.8201172569928703,0.002400305200110644,0.6868932456375141,0.002400305200110644
NT5DC4,129,435,40.63758087158203,0.022779241,2.817638098414301,0.00241891525580684,0.6868932456375141,17,0,3,0.0017373831031945,171,17,0.0,0.0,0.0428594686090946,0.0026101681869477,0.0,0.0055072708055377,Background,2.817638098414301,0.00241891525580684,0.6868932456375141,0.00241891525580684
GNG14,191,107,31.974529266357425,0.015843876,2.7479348984142327,0.002998595776694071,0.6868932456375141,18,0,1,0.0011869579797125,2192,18,-0.0004509109712671,0.0,0.0172020569443702,0.0,0.0,0.0,Background,2.7479348984142327,0.002998595776694071,0.6868932456375141,0.002998595776694071
OR7D2,236,345,41.588775634765625,0.013394426,2.7339284244191093,0.0031291823554628123,0.6868932456375141,19,0,2,0.0014322156652401,542,19,0.0,0.0,0.0,0.0119211934506893,0.0,0.0079348757863044,Background,2.7339284244191093,0.0031291823554628123,0.6868932456375141,0.0031291823554628123
RFPL4A,153,305,42.19847869873047,0.018941393,2.6990116478567376,0.0034772871092918715,0.6868932456375141,20,0,1,0.0011880842149782,2168,20,0.0,0.0,0.0189413502812385,0.0,0.0,0.0,Background,2.6990116478567376,0.0034772871092918715,0.6868932456375141,0.0034772871092918715
SLFN11,374,963,44.96211242675781,0.013088234,2.6819826184826625,0.0036593631146366336,0.6868932456375141,21,0,2,0.0014313123026501,547,21,0.0087102996185421,0.0,0.0102392602711915,0.0,0.0,0.0,Background,2.6819826184826625,0.0036593631146366336,0.6868932456375141,0.0036593631146366336
KRTAP16-1,240,702,41.93677520751953,0.013094225,2.6742663882991424,0.0037446467473548927,0.6868932456375141,22,0,1,0.0011832099632206,2327,22,0.0130941914394497,0.0,0.0,0.0,0.0,0.0,Background,2.6742663882991424,0.0037446467473548927,0.6868932456375141,0.0037446467473548927
CHIA,300,350,42.69187927246094,0.012861729,2.6324980774587603,0.0042379751357044075,0.6868932456375141,23,0,3,0.0018047643534152,109,23,0.0074183624237775,0.0,0.0144272930920124,0.0,0.0,0.0060959421098232,Background,2.6324980774587603,0.0042379751357044075,0.6868932456375141,0.0042379751357044075
NLRP5,327,1237,42.9962043762207,0.012659773,2.5937972309932054,0.004746122538948358,0.6868932456375141,24,0,1,0.001182683706346,2347,24,0.0,0.0,0.0126597788184881,0.0,0.0,0.0,Background,2.5937972309932054,0.004746122538948358,0.6868932456375141,0.004746122538948358
GJA9,506,521,41.8712158203125,0.012422583,2.553887827399222,0.005326378465684902,0.6868932456375141,25,0,1,0.0011823821826356,2360,25,0.0124225728213787,0.0,0.0,0.0,0.0,0.0,Background,2.553887827399222,0.005326378465684902,0.6868932456375141,0.005326378465684902
FAM90A24,126,521,38.789451599121094,0.020912284,2.5406867954775136,0.005531748886208983,0.6868932456375141,26,0,3,0.0011891463162809,2132,26,0.0,7.777641148401708e-17,0.0209123082458972,0.0,7.777641148401708e-17,0.0,Background,2.5406867954775136,0.005531748886208983,0.6868932456375141,0.005531748886208983
FAM90A15,140,512,40.346656799316406,0.018634906,2.467273855740568,0.006807309437713295,0.6868932456375141,27,0,1,0.0011879001248181,2173,27,0.0,0.0,0.0186349153518676,0.0,0.0,0.0,Background,2.467273855740568,0.006807309437713295,0.6868932456375141,0.006807309437713295
NLRP2,150,1071,41.97826385498047,0.017558418,2.4629564566518534,0.006889832473846712,0.6868932456375141,28,0,2,0.0014220893507998,586,28,0.0049703964032232,0.0,0.0183606687933206,0.0,0.0,0.0,Background,2.4629564566518534,0.006889832473846712,0.6868932456375141,0.006889832473846712
BEX5,190,148,37.42084503173828,0.014158836,2.448470033901582,0.00717321815736581,0.6868932456375141,29,0,3,0.0016773103126643,213,29,0.0,0.0,0.0014348255936056,0.013020783662796,0.0,0.009512385353446,Background,2.448470033901582,0.00717321815736581,0.6868932456375141,0.00717321815736581
PLSCR2,402,242,40.74999237060547,0.011847318,2.4350721311744885,0.0074444106927871855,0.6868932456375141,30,0,2,0.0012504538341537,1349,30,0.000377211079467,0.0,0.0128594757989048,0.0,0.0,0.0,Background,2.4350721311744885,0.0074444106927871855,0.6868932456375141,0.0074444106927871855
FAM90A14,144,497,39.99639892578125,0.01784452,2.419149009438568,0.007778433008251264,0.6868932456375141,31,0,1,0.001187397953681,2186,31,0.0,0.0,0.0178445260971784,0.0,0.0,0.0,Background,2.419149009438568,0.007778433008251264,0.6868932456375141,0.007778433008251264
SECTM1,225,258,40.94184494018555,0.0117825195,2.399230328048386,0.008214788294223351,0.6868932456375141,32,0,3,0.0018172760125617,100,32,0.0,0.0076845251023769,0.0130153838545084,0.0,0.0076845251023769,0.0,Background,2.399230328048386,0.008214788294223351,0.6868932456375141,0.008214788294223351
SLFN12,241,665,44.50244903564453,0.011682112,2.39193685511883,0.00837986276430256,0.6868932456375141,33,0,1,0.0011813695021091,2408,33,0.0,0.0,0.0116821033880114,0.0,0.0,0.0,Background,2.39193685511883,0.00837986276430256,0.6868932456375141,0.00837986276430256
OR8H1,132,319,41.54888916015625,0.018428532,2.3265369898208963,0.009994960767951153,0.6868932456375141,34,0,1,0.0011877729107388,2176,34,0.0,0.0,0.0184285473078489,0.0,0.0,0.0,Background,2.3265369898208963,0.009994960767951153,0.6868932456375141,0.009994960767951153
MBD3L3,152,209,35.46300506591797,0.01638255,2.3257257306363344,0.010016593458559911,0.6868932456375141,35,0,4,0.0024817580135602,11,35,0.0,0.0120957717299461,0.0,0.0169130843132734,0.0120957717299461,0.0037825182080268,Background,2.3257257306363344,0.010016593458559911,0.6868932456375141,0.010016593458559911
FRMD1,180,521,41.403594970703125,0.014075492,2.3184419692643874,0.01021265667738975,0.6868932456375141,36,0,1,0.001184288567575,2282,36,0.0,0.0,0.0140755008906126,0.0,0.0,0.0,Background,2.3184419692643874,0.01021265667738975,0.6868932456375141,0.01021265667738975
RBP7,560,142,41.655479431152344,0.011150991,2.3010951186088464,0.010693127596932459,0.6868932456375141,37,0,2,0.0014278052584424,564,37,-0.0001582875847816,0.0,0.0075895646587014,0.0106504745781421,0.0,0.0,Background,2.3010951186088464,0.010693127596932459,0.6868932456375141,0.010693127596932459
OR6C76,263,323,42.207313537597656,0.011174265,2.2922786538467794,0.01094478439150753,0.6868932456375141,38,0,3,0.0018335203590982,88,38,-0.0011697397567331,0.0095634618774056,0.0,0.0110392617061734,0.0095634618774056,0.0,Background,2.2922786538467794,0.01094478439150753,0.6868932456375141,0.01094478439150753
FCRL5,253,969,42.89980697631836,0.011159183,2.2884244569928702,0.01105640736634298,0.6868932456375141,39,0,2,0.0014569136842149,462,39,-0.0010788431391119,0.0159069187939167,0.0,0.0,0.0159069187939167,0.0,Background,2.2884244569928702,0.01105640736634298,0.6868932456375141,0.01105640736634298
OR1L8,237,327,42.204490661621094,0.011000601,2.255258862306398,0.012058542578256774,0.6868932456375141,40,0,4,0.0020056530239642,49,40,0.0009498781291767,0.0040160552598536,0.0,0.0,0.0040160552598536,0.0115043595433235,Background,2.255258862306398,0.012058542578256774,0.6868932456375141,0.012058542578256774
UGT3A2,213,553,41.683982849121094,0.0116097415,2.2424788190662235,0.012465221367701534,0.6868932456375141,41,0,3,0.0017679262428441,144,41,0.0,-1.0075086992419968e-16,0.0118383234366774,0.012948278337717,-1.0075086992419968e-16,0.0030946433544158,Background,2.2424788190662235,0.012465221367701534,0.6868932456375141,0.012465221367701534
NUDT11,226,177,27.906482696533203,0.010830767,2.2194212147793886,0.013229040844255737,0.6868932456375141,42,0,3,0.0017726505781499,140,42,0.0,0.0058335210196673,0.0,0.0,0.0058335210196673,0.0098593039438128,Background,2.2194212147793886,0.013229040844255737,0.6868932456375141,0.013229040844255737
STATH,105,74,34.728424072265625,0.020896072,2.2047041927354654,0.013737429366728882,0.6868932456375141,43,0,1,0.0011891383416717,2133,43,0.0208960734307765,0.0,0.0,0.0,0.0,0.0,Background,2.2047041927354654,0.013737429366728882,0.6868932456375141,0.013737429366728882
SPDYE8,264,278,41.60260772705078,0.010649886,2.1874840053126703,0.014353604798630425,0.6868932456375141,44,0,1,0.0011910127837738,2084,44,-0.0011473903432488,-1.1184387148179312e-16,0.0255045983940362,0.0,-1.1184387148179312e-16,0.0,Background,2.1874840053126703,0.014353604798630425,0.6868932456375141,0.014353604798630425
MGAT4D,601,381,41.83369827270508,0.010575702,2.187055641600617,0.014369231162581063,0.6868932456375141,45,0,5,0.003315552559548,3,45,-0.000659528421238,0.0075370883569121,0.0098207527771592,0.0088037373498082,0.0075370883569121,0.001624918077141,Background,2.187055641600617,0.014369231162581063,0.6868932456375141,0.014369231162581063
HBD,238,156,38.70230865478515,0.010612001,2.1776336980607915,0.014716659326839776,0.6868932456375141,46,0,2,0.0013784520522389,767,46,0.0027878195978701,0.0,0.0,0.0,0.0,0.0102733979001641,Background,2.1776336980607915,0.014716659326839776,0.6868932456375141,0.014716659326839776
CCL23,440,158,33.96344757080078,0.01039742,2.146621434972911,0.015911716010867348,0.6868932456375141,47,0,1,0.0011793056196349,2530,47,0.01039735134691,0.0,0.0,0.0,0.0,0.0,Background,2.146621434972911,0.015911716010867348,0.6868932456375141,0.015911716010867348
BMAL2,505,655,42.42041778564453,0.010306495,2.130639686287139,0.016559418717156035,0.6868932456375141,48,0,1,0.0011791422035177,2544,48,0.0,0.0,0.0103064887225627,0.0,0.0,0.0,Background,2.130639686287139,0.016559418717156035,0.6868932456375141,0.016559418717156035
OR51B2,160,329,40.15962219238281,0.014250494,2.117252869195709,0.017119196277497594,0.6868932456375141,49,0,1,0.0011844665203747,2273,49,0.0,0.0,0.014250498265028,0.0,0.0,0.0,Background,2.117252869195709,0.017119196277497594,0.6868932456375141,0.017119196277497594
NUDT10,226,181,27.847721099853516,0.010210612,2.0954341498734177,0.018066208223543163,0.6868932456375141,50,0,3,0.0017449777469692,161,50,0.0,0.0047309892252087,0.0,0.0,0.0047309892252087,0.0101782586425542,Background,2.0954341498734177,0.018066208223543163,0.6868932456375141,0.018066208223543163
POLR2J2,403,162,25.501773834228516,0.009971995,2.060050516271673,0.019696855878701798,0.6868932456375141,51,0,3,0.0018511631729413,80,51,0.0,0.0106198415160179,0.0114907603710889,0.012317975051701,-0.0006036832928657,0.0,Background,2.060050516271673,0.019696855878701798,0.6868932456375141,0.019696855878701798
SPDYE9,255,301,41.660987854003906,0.009999842,2.0567277513952615,0.019856210581401,0.6868932456375141,52,0,2,0.0014137695094787,625,52,-0.003171557560563,0.0,0.0258741751313209,0.003836459480226,0.0,0.0,Background,2.0567277513952615,0.019856210581401,0.6868932456375141,0.019856210581401
RBMY1F,100,445,41.36643981933594,0.02007767,2.0426754377720955,0.020542288924748645,0.6868932456375141,53,0,1,0.0011887205843057,2144,53,0.0,0.0,0.0200776979327201,0.0,0.0,0.0,Background,2.0426754377720955,0.020542288924748645,0.6868932456375141,0.020542288924748645
SPAG11A,493,157,40.490257263183594,0.009846718,2.0383105751894703,0.020759441476402116,0.6868932456375141,54,0,3,0.001844583405605,83,54,0.0,-0.0002282839268445,0.0125029040500521,0.008966252207756,0.0117599489167332,0.0,Background,2.0383105751894703,0.020759441476402116,0.6868932456375141,0.020759441476402116
PKD1L2,538,320,41.24524688720703,0.009792742,2.0288515195900807,0.021236707980599633,0.6868932456375141,55,0,5,0.0033046878309124,4,55,-0.0006899822037667,0.0055256206542253,0.0087366821244359,0.0105524025857448,0.0055256206542253,0.002126446692273,Background,2.0288515195900807,0.021236707980599633,0.6868932456375141,0.021236707980599633
L1TD1,304,1133,42.710227966308594,0.009821189,2.0246546396645027,0.021451419719245055,0.6868932456375141,56,0,2,0.0013789837631755,763,56,0.0028077997267246,0.0,0.0103107653558254,0.0,0.0,0.0,Background,2.0246546396645027,0.021451419719245055,0.6868932456375141,0.021451419719245055
BLOC1S1,411,154,40.64094543457031,0.009763877,2.0187651297518374,0.021755818483479464,0.6868932456375141,57,0,5,0.0032507587330618,5,57,0.0013362431200221,0.0116714872419834,-0.0069333431310951,0.0116975847631692,0.0116714872419834,0.0045219482854008,Background,2.0187651297518374,0.021755818483479464,0.6868932456375141,0.021755818483479464
HCAR3,178,422,40.7995491027832,0.01225657,2.0038367360440716,0.022543776113576695,0.6868932456375141,58,0,1,0.0011821648213961,2368,58,0.0,0.0,0.0122565515339374,0.0,0.0,0.0,Background,2.0038367360440716,0.022543776113576695,0.6868932456375141,0.022543776113576695
C12orf60,560,320,41.23277282714844,0.009556938,1.9822845186088462,0.023723702871419488,0.6868932456375141,59,0,5,0.0028591721798518,6,59,0.0,0.0025567226111888,0.009707411751151,0.0111258272081613,0.0017844457179307,0.0025416780263185,Background,1.9822845186088462,0.023723702871419488,0.6868932456375141,0.023723702871419488
OR7G1,120,348,44.499229431152344,0.016774038,1.9653504332987421,0.02468684607458779,0.6868932456375141,60,0,1,0.0011876718698709,2179,60,-0.0002405904233455,0.0,0.0,0.018267672508955,0.0,0.0,Background,1.9653504332987421,0.02468684607458779,0.6868932456375141,0.02468684607458779
OR51A2,149,321,41.43809509277344,0.013985677,1.9569474191951999,0.025176825316695704,0.6868932456375141,61,0,1,0.0011841956276826,2286,61,0.0,0.0,0.0,0.0139856711030006,0.0,0.0,Background,1.9569474191951999,0.025176825316695704,0.6868932456375141,0.025176825316695704
EZHIP,181,544,41.293270111083984,0.011612383,1.9291486780659692,0.026856203680830096,0.6868932456375141,62,0,1,0.00118126805722,2413,62,0.0,0.0,0.0116123389452695,0.0,0.0,0.0,Background,1.9291486780659692,0.026856203680830096,0.6868932456375141,0.026856203680830096
GVQW3,432,191,41.6558952331543,0.00909924,1.8866804001501458,0.029601662724494292,0.6868932456375141,63,0,4,0.0019801644499063,55,63,0.0,0.0016265977174043,0.0,0.0100582037121057,0.0016265977174043,0.0046123191714286,Background,1.8866804001501458,0.029601662724494292,0.6868932456375141,0.029601662724494292
ENTPD6,296,486,39.82748794555664,0.009102584,1.8803991704620093,0.03002684826693322,0.6868932456375141,64,0,1,0.0011877971705009,2175,64,-0.0038800220936536,-1.1878133601760186e-16,0.0184675697237253,0.0,-1.1878133601760186e-16,0.0,Background,1.8803991704620093,0.03002684826693322,0.6868932456375141,0.03002684826693322
OR51A4,118,326,41.40946960449219,0.016226241,1.8770153126946991,0.0302579975878942,0.6868932456375141,65,0,3,0.0011862276713599,2212,65,0.0,7.515715400053525e-17,0.0162262469530105,0.0,7.515715400053525e-17,0.0,Background,1.8770153126946991,0.0302579975878942,0.6868932456375141,0.0302579975878942
SPIN3,330,271,41.14744186401367,0.009012103,1.8644381311402336,0.03113010114155434,0.6868932456375141,66,0,1,0.0011764984317282,2782,66,0.0,-1.2577559146554604e-16,0.0,0.0,-1.2577559146554604e-16,0.009012084454298,Background,1.8644381311402336,0.03113010114155434,0.6868932456375141,0.03113010114155434
SELENON,185,564,45.3939323425293,0.010978515,1.8623141634983547,0.031279410106014316,0.6868932456375141,67,0,2,0.0013691704901611,795,67,0.0023532593622803,0.0,0.0,0.0109050339087843,0.0,0.0,Background,1.8623141634983547,0.031279410106014316,0.6868932456375141,0.031279410106014316
GRIFIN,588,152,35.877037048339844,0.008905076,1.8526191163582786,0.03196848525409697,0.6868932456375141,68,0,4,0.0023670390399003,15,68,-0.0004090378060936,0.0083099510520696,0.0066620120778679,0.0,0.0083099510520696,0.0042777545750141,Background,1.8526191163582786,0.03196848525409697,0.6868932456375141,0.03196848525409697
CEACAM18,328,417,38.74184036254883,0.0088876225,1.8394256975911727,0.03292629864835463,0.6868932456375141,69,0,1,0.0011762084234393,2806,69,0.0,-1.248126341185261e-16,0.0088876038789749,0.0,-1.248126341185261e-16,0.0,Background,1.8394256975911727,0.03292629864835463,0.6868932456375141,0.03292629864835463
OR8S1,230,313,41.75735855102539,0.008865002,1.827457987170325,0.03381546875978073,0.6868932456375141,70,0,3,0.0011761549500316,2812,70,0.0,1.0498418177589907e-16,0.0088649820536375,0.0,1.0498418177589907e-16,0.0,Background,1.827457987170325,0.03381546875978073,0.6868932456375141,0.03381546875978073
CLEC4A,345,259,40.8189582824707,0.008626784,1.78821433443096,0.036870717248663386,0.6868932456375141,71,0,1,0.0011755768987022,2840,71,0.0,-1.2860453592558761e-16,0.0,0.0086267618462443,-1.2860453592558761e-16,0.0,Background,1.78821433443096,0.036870717248663386,0.6868932456375141,0.036870717248663386
HOPX,150,89,26.8596248626709,0.012685502,1.7877952556574253,0.03690452329983586,0.6868932456375141,72,0,5,0.0035960765982206,1,72,0.0031765326857566,0.0169686116278171,0.0,0.0052943164482712,0.0169686116278171,0.0052943243645131,Background,1.7877952556574253,0.03690452329983586,0.6868932456375141,0.03690452329983586
MS4A7,549,209,41.78764724731445,0.008338722,1.7383488808907228,0.04107467911602205,0.6868932456375141,73,0,4,0.0018683001875966,70,73,0.0007667656755074,-0.0027792360633611,0.0012038201093673,0.0113784093409776,-0.0027792360633611,0.0080150216817855,Background,1.7383488808907228,0.04107467911602205,0.6868932456375141,0.04107467911602205
C2orf92,277,300,38.615962982177734,0.008351493,1.7288200536402776,0.04192065295098125,0.6868932456375141,74,0,2,0.0014421331980955,503,74,0.0079812640324234,-0.0003469139337539,0.0,0.0,0.0193415563553571,0.0,Background,1.7288200536402776,0.04192065295098125,0.6868932456375141,0.04192065295098125
MNDA,335,429,49.231719970703125,0.008260204,1.714344593466537,0.04323272890146476,0.6868932456375141,75,0,4,0.0020233838763018,40,75,0.0,0.0015313611365854,-0.0040708999149501,0.0128211043775081,0.0015313611365854,0.0087193381041288,Background,1.714344593466537,0.04323272890146476,0.6868932456375141,0.04323272890146476
PCDHB15,410,827,41.85470199584961,0.008151466,1.696241195082046,0.04492010593195454,0.6868932456375141,76,0,5,0.0024142165907367,12,76,0.0030274428427219,0.0,0.0003478303551673,0.00721912458539,0.0029936565551906,0.0071311350911855,Background,1.696241195082046,0.04492010593195454,0.6868932456375141,0.04492010593195454
UGT3A1,187,526,42.052001953125,0.009850251,1.6915461464569044,0.04536627102536645,0.6868932456375141,77,0,2,0.0013916041409489,706,77,0.0,0.0,0.0,0.0134115032851696,0.0,0.0031291269697248,Background,1.6915461464569044,0.04536627102536645,0.6868932456375141,0.04536627102536645
NCR2,218,318,41.99970626831055,0.008460302,1.684989842484528,0.04599526562712397,0.6868932456375141,78,0,2,0.0014686970196116,435,78,0.0,-0.0036636285949498,0.0324308611452579,-0.0014727844391018,0.017069699242711,-0.0034746045712381,Background,1.684989842484528,0.04599526562712397,0.6868932456375141,0.04599526562712397
TRGV9,317,122,41.74544525146485,0.008092059,1.6796536060299891,0.046512365661569605,0.6868932456375141,79,0,1,0.0011741715325134,2894,79,0.0,0.0,0.0,0.0080920727923512,0.0,0.0,Background,1.6796536060299891,0.046512365661569605,0.6868932456375141,0.046512365661569605
OR1J2,305,325,41.24140930175781,0.008085154,1.6775129656706713,0.04672110810974093,0.6868932456375141,80,0,3,0.0018636894765192,75,80,-0.0081064095720648,0.0132039822638034,-0.0014521636767312,0.0129950437694787,-9.150242840405554e-05,0.0118926148861646,Background,1.6775129656706713,0.04672110810974093,0.6868932456375141,0.04672110810974093
OR51M1,206,337,37.52052688598633,0.008893861,1.6752821557433573,0.04693944242536932,0.6868932456375141,81,0,3,0.0017422819091654,165,81,0.0,0.0,0.0081982156261801,0.0115077421069145,0.0,0.0029201488941907,Background,1.6752821557433573,0.04693944242536932,0.6868932456375141,0.04693944242536932
OR51E1,314,329,41.62830352783203,0.008010697,1.6631953850842713,0.04813666556456796,0.6868932456375141,82,0,3,0.001832584908011,90,82,0.0057121221907436,0.0136078000068664,0.016660638153553,0.0,-0.003343369346112,0.0,Background,1.6631953850842713,0.04813666556456796,0.6868932456375141,0.04813666556456796
ANKRD33,279,509,41.53833770751953,0.007985356,1.655742426332037,0.04888699576876878,0.6868932456375141,83,0,3,0.0017425802669367,164,83,0.0051418105140328,0.0061339014209806,0.0,0.0,0.0061339014209806,0.0,Background,1.655742426332037,0.04888699576876878,0.6868932456375141,0.04888699576876878
PXDNL,206,1468,41.47514343261719,0.008718034,1.64310102062532,0.05018101687380111,0.6868932456375141,84,0,3,0.0018156886904429,101,84,0.0,0.0123319625854492,0.0,0.0054718293249607,0.0123319625854492,-0.0056218989193439,Background,1.64310102062532,0.05018101687380111,0.6868932456375141,0.05018101687380111
LOC124903723,180,272,40.528812408447266,0.00986851,1.6372234659845881,0.0507918928076841,0.6868932456375141,85,0,2,0.0014340280997747,531,85,0.0,0.0098684765398502,0.0,0.0,0.0098684765398502,0.0,Background,1.6372234659845881,0.0507918928076841,0.6868932456375141,0.0507918928076841
BIRC7,613,341,38.916622161865234,0.007794144,1.6310225838335524,0.05144277714422129,0.6868932456375141,86,0,4,0.0020323585371243,39,86,0.0008255113498307,0.0066424421966075,0.0060054096393287,0.0,0.0066424421966075,0.0,Background,1.6310225838335524,0.05144277714422129,0.6868932456375141,0.05144277714422129
IFNL2,139,226,40.98105239868164,0.012293471,1.627316363353781,0.05183496216665226,0.6868932456375141,87,0,3,0.0018189128195343,98,87,0.0064434395171701,0.0111708343029022,0.0,0.0,0.0111708343029022,0.0,Background,1.627316363353781,0.05183496216665226,0.6868932456375141,0.05183496216665226
OR2AE1,303,375,41.66162109375,0.007828104,1.6259719905285077,0.05197780698204178,0.6868932456375141,88,0,4,0.0019851356191821,53,88,0.012286321260035,0.0012888674391433,0.0,0.012623319402337,0.0012888674391433,-0.0119917020201683,Background,1.6259719905285077,0.05197780698204178,0.6868932456375141,0.05197780698204178
TPSG1,193,325,39.865535736083984,0.009100492,1.6119138394206318,0.053490345098199374,0.6868932456375141,89,0,2,0.0012653052665737,1237,89,0.0,0.0,0.0004900395870208,0.0,0.013121185824275,0.0,Background,1.6119138394206318,0.053490345098199374,0.6868932456375141,0.053490345098199374
PCDHB3,338,1140,42.20088577270508,0.007679742,1.598420893576884,0.05497466888731841,0.6868932456375141,90,0,2,0.0014066810093351,655,90,-0.0009479113505221,0.0,0.0050795646384358,0.008913367986679,0.0,0.0,Background,1.598420893576884,0.05497466888731841,0.6868932456375141,0.05497466888731841
SPINK9,455,89,41.509910583496094,0.0076351673,1.5947209983030763,0.055387320115139194,0.6868932456375141,91,0,2,0.0014241527166161,578,91,-0.0066414754837751,0.0,0.0,0.0133993783965706,0.0,0.0059645702131092,Background,1.5947209983030763,0.055387320115139194,0.6868932456375141,0.055387320115139194
