gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,tier,z_track_b,p_track_b,q_track_b,p_combined
EPB41L4B,622,919,41.78847122192383,0.092675984,6.222766873985203,2.442314596246721e-10,2.9517116406067514e-07,14,1,2,0.003506637,310,14,0.00077705085,0.13028657,Tier 0: Core Bottleneck Transducer,6.222766873985203,2.442314596246721e-10,2.9517116406067514e-07,2.442314596246721e-10
ABCB10,623,769,40.87493133544922,0.092347555,6.202524860015095,2.7782202014049645e-10,3.1338323871848004e-07,15,1,2,0.04985787,25,15,0.032283243,0.098315924,Tier 0: Core Bottleneck Transducer,6.202524860015095,2.7782202014049645e-10,3.1338323871848004e-07,2.7782202014049645e-10
UPRT,684,335,41.446998596191406,0.08988726,6.172786752852719,3.354834175592316e-10,3.547737140688874e-07,16,1,2,0.056396462,15,16,0.04060275,0.086517036,Tier 0: Core Bottleneck Transducer,6.172786752852719,3.354834175592316e-10,3.547737140688874e-07,3.354834175592316e-10
SH3GLB2,683,412,41.506839752197266,0.089575775,6.148556301090527,3.90956864244563e-10,3.891170672363533e-07,17,1,2,0.056214076,16,17,0.040474914,0.086204365,Tier 0: Core Bottleneck Transducer,6.148556301090527,3.90956864244563e-10,3.891170672363533e-07,3.90956864244563e-10
FZD8,537,850,41.20448684692383,0.09467709,6.127893715620714,4.452501815154626e-10,4.1853517062453485e-07,18,1,2,0.043546744,70,18,0.026229411,0.107664205,Tier 0: Core Bottleneck Transducer,6.127893715620714,4.452501815154626e-10,4.1853517062453485e-07,4.452501815154626e-10
GSX1,678,300,38.37655258178711,0.089206986,6.111510252525305,4.934633034994829e-10,4.394420576426974e-07,19,0,1,0.0019844465,775,19,-0.00043015927,0.12658788,Tier 2: Physiological Homeostasis Modifier,6.111510252525305,4.934633034994829e-10,4.394420576426974e-07,4.934633034994829e-10
STARD7,679,398,41.6544189453125,0.088895574,6.091712097740616,5.585472679829285e-10,4.725309887135575e-07,20,1,2,0.0024570394,444,20,0.00024056993,0.12547675,Tier 0: Core Bottleneck Transducer,6.091712097740616,5.585472679829285e-10,4.725309887135575e-07,5.585472679829285e-10
EXOSC6,617,282,32.74675369262695,0.09081675,6.081815150694851,5.941476028275241e-10,4.787132114210337e-07,21,0,1,0.00198471,773,21,-0.00036967266,0.12880395,Tier 2: Physiological Homeostasis Modifier,6.081815150694851,5.941476028275241e-10,4.787132114210337e-07,5.941476028275241e-10
SOX18,612,414,34.5440788269043,0.089584984,5.9845099856464055,1.0852113739920956e-09,8.346262021793753e-07,22,0,1,0.00198449,774,22,-0.0002571924,0.12694949,Tier 2: Physiological Homeostasis Modifier,5.9845099856464055,1.0852113739920956e-09,8.346262021793753e-07,1.0852113739920956e-09
TMEM174,720,311,40.4792366027832,0.0853224,5.922966851495774,1.580922987326672e-09,1.1630094324159692e-06,23,1,2,0.061292227,6,23,0.05876916,0.061894946,Tier 0: Core Bottleneck Transducer,5.922966851495774,1.580922987326672e-09,1.1630094324159692e-06,1.580922987326672e-09
DIPK1C,608,490,33.32982635498047,0.088222355,5.880865807890847,2.0406297695569226e-09,1.4386439875376303e-06,24,0,1,0.0019842251,777,24,-1.7056707e-05,0.1247823,Tier 2: Physiological Homeostasis Modifier,5.880865807890847,2.0406297695569226e-09,1.4386439875376303e-06,2.0406297695569226e-09
LYPD1,719,93,41.5078125,0.08456357,5.86667660649419,2.223083285975874e-09,1.5045827679484715e-06,25,1,2,0.060738944,9,25,0.057941645,0.061649293,Tier 0: Core Bottleneck Transducer,5.86667660649419,2.223083285975874e-09,1.5045827679484715e-06,2.223083285975874e-09
LSR,673,623,41.90035629272461,0.085528076,5.84113405151926,2.5923331543746427e-09,1.68701065276996e-06,26,0,1,0.0019837688,782,26,-0.00026340876,0.121218376,Tier 2: Physiological Homeostasis Modifier,5.84113405151926,2.5923331543746427e-09,1.68701065276996e-06,2.5923331543746427e-09
PPP4R1,604,957,42.35374069213867,0.087285414,5.80670348553645,3.1857413067632522e-09,1.996397885571638e-06,27,0,1,0.0019840687,778,27,-9.758398e-05,0.1235378,Tier 2: Physiological Homeostasis Modifier,5.80670348553645,3.1857413067632522e-09,1.996397885571638e-06,3.1857413067632522e-09
HOOK3,671,719,41.85667419433594,0.08483834,5.788284293803117,3.5554493769435526e-09,2.1485072663530325e-06,28,0,1,0.0019836447,785,28,-0.00030340254,0.120282926,Tier 2: Physiological Homeostasis Modifier,5.788284293803117,3.5554493769435526e-09,2.1485072663530325e-06,3.5554493769435526e-09
SMIM13,672,97,41.37432861328125,0.08440274,5.759705158443887,4.21304944419734e-09,2.334392174697266e-06,29,1,2,0.05309422,19,29,0.038224243,0.08113925,Tier 0: Core Bottleneck Transducer,5.759705158443887,4.21304944419734e-09,2.334392174697266e-06,4.21304944419734e-09
SCUBE2,670,1050,41.384178161621094,0.08443908,5.758049498455575,4.254570333165957e-09,2.334392174697266e-06,30,0,1,0.0019835413,787,30,-0.00010115653,0.11951606,Tier 2: Physiological Homeostasis Modifier,5.758049498455575,4.254570333165957e-09,2.334392174697266e-06,4.254570333165957e-09
SREK1,715,673,42.67183303833008,0.083141744,5.757163223966543,4.2769596581332885e-09,2.334392174697266e-06,31,0,1,0.001983338,788,31,-0.00045346096,0.118033655,Tier 2: Physiological Homeostasis Modifier,5.757163223966543,4.2769596581332885e-09,2.334392174697266e-06,4.2769596581332885e-09
IER5L,601,465,32.45637130737305,0.08606819,5.715855932946972,5.4576593638910985e-09,2.801701606868412e-06,32,0,1,0.0019838654,780,32,-0.00023705047,0.12195585,Tier 2: Physiological Homeostasis Modifier,5.715855932946972,5.4576593638910985e-09,2.801701606868412e-06,5.4576593638910985e-09
CYP2W1,606,549,40.71588134765625,0.085891016,5.715648812545923,5.464311644601513e-09,2.801701606868412e-06,33,1,2,0.046455506,43,33,0.030022362,0.09144588,Tier 0: Core Bottleneck Transducer,5.715648812545923,5.464311644601513e-09,2.801701606868412e-06,5.464311644601513e-09
FOXC1,601,670,41.50529098510742,0.08580428,5.697741376756577,6.07025143044202e-09,3.0208427706787934e-06,34,0,1,0.0019837916,781,34,-4.532491e-05,0.121390894,Tier 2: Physiological Homeostasis Modifier,5.697741376756577,6.07025143044202e-09,3.0208427706787934e-06,6.07025143044202e-09
NTM,670,348,41.848777770996094,0.08339333,5.6844095346293,6.56326916325754e-09,3.172871835494788e-06,35,1,2,0.05250203,22,35,0.037808627,0.08012734,Tier 0: Core Bottleneck Transducer,5.6844095346293,6.56326916325754e-09,3.172871835494788e-06,6.56326916325754e-09
CCDC85C,593,436,32.70075988769531,0.08466427,5.600422237805127,1.0691515737151509e-08,5.025012396461209e-06,36,0,1,0.0019836137,786,36,-0.00031828583,0.12005164,Tier 2: Physiological Homeostasis Modifier,5.600422237805127,1.0691515737151509e-08,5.025012396461209e-06,1.0691515737151509e-08
PPP1R3D,665,334,34.658241271972656,0.0819078,5.569512540292598,1.27726502394007e-08,5.840898433801617e-06,37,0,1,0.0019831161,790,37,-0.00061948225,0.1164546,Tier 2: Physiological Homeostasis Modifier,5.569512540292598,1.27726502394007e-08,5.840898433801617e-06,1.27726502394007e-08
TTC19,663,351,42.222049713134766,0.08171813,5.5520510351614645,1.4116856689273493e-08,6.285716189013355e-06,38,0,1,0.0019830274,791,38,-0.00026961602,0.11583649,Tier 2: Physiological Homeostasis Modifier,5.5520510351614645,1.4116856689273493e-08,6.285716189013355e-06,1.4116856689273493e-08
FBXW7,712,733,41.40584945678711,0.079491705,5.490666562608428,2.0020983441096797e-08,8.516167532941399e-06,39,0,1,0.0019825636,796,39,-0.00028436258,0.11270259,Tier 2: Physiological Homeostasis Modifier,5.490666562608428,2.0020983441096797e-08,8.516167532941399e-06,2.0020983441096797e-08
PHACTR2,664,679,41.817405700683594,0.0808012,5.489683029882222,2.013278376581891e-08,8.516167532941399e-06,40,0,1,0.0019828614,793,40,-0.0004251795,0.114695325,Tier 2: Physiological Homeostasis Modifier,5.489683029882222,2.013278376581891e-08,8.516167532941399e-06,2.013278376581891e-08
CLP1,713,431,41.889198303222656,0.07913339,5.466938291826864,2.289376810581422e-08,9.447867228057966e-06,41,1,2,0.056922175,11,41,0.054572716,0.057338804,Tier 0: Core Bottleneck Transducer,5.466938291826864,2.289376810581422e-08,9.447867228057966e-06,2.289376810581422e-08
AMER2,591,712,45.90274810791016,0.08258602,5.453536219724687,2.4688941369747816e-08,9.94611638038412e-06,42,0,1,0.0019832023,789,42,-0.00026914384,0.11706342,Tier 2: Physiological Homeostasis Modifier,5.453536219724687,2.4688941369747816e-08,9.94611638038412e-06,2.4688941369747816e-08
NKX1-1,585,497,32.060096740722656,0.082608074,5.440862333323298,2.651163900442809e-08,1.0432021673370309e-05,43,1,2,0.044966407,56,43,0.029116053,0.087709405,Tier 0: Core Bottleneck Transducer,5.440862333323298,2.651163900442809e-08,1.0432021673370309e-05,2.651163900442809e-08
ARHGDIB,712,201,36.58612823486328,0.07853175,5.422115409518055,2.9448917105925587e-08,1.1324447214369568e-05,44,1,2,0.05649984,14,44,0.054217394,0.056843273,Tier 0: Core Bottleneck Transducer,5.422115409518055,2.9448917105925587e-08,1.1324447214369568e-05,2.9448917105925587e-08
PURA,664,328,35.57392883300781,0.07948045,5.396872221704747,3.390632292329143e-08,1.2748777419157577e-05,45,0,1,0.0019825627,797,45,-0.00029434822,0.11269667,Tier 2: Physiological Homeostasis Modifier,5.396872221704747,3.390632292329143e-08,1.2748777419157577e-05,3.390632292329143e-08
INAVA,581,725,45.381080627441406,0.081769034,5.374200072141916,3.84617040758841e-08,1.4147218107912153e-05,46,1,2,0.043564085,69,46,0.027864283,0.08777459,Tier 0: Core Bottleneck Transducer,5.374200072141916,3.84617040758841e-08,1.4147218107912153e-05,3.84617040758841e-08
RNF228,581,388,29.637449264526367,0.081700504,5.369534269087087,3.947011808397385e-08,1.4209242510230585e-05,47,0,1,0.0019830018,792,47,-0.00011699193,0.11565895,Tier 2: Physiological Homeostasis Modifier,5.369534269087087,3.947011808397385e-08,1.4209242510230585e-05,3.947011808397385e-08
TMEM121B,576,621,41.276363372802734,0.08136381,5.334771541504945,4.783246370754386e-08,1.686094345690921e-05,48,1,2,0.04429833,60,48,0.028667856,0.086397946,Tier 0: Core Bottleneck Transducer,5.334771541504945,4.783246370754386e-08,1.686094345690921e-05,4.783246370754386e-08
CXXC4,574,418,35.99476623535156,0.08091904,5.299813246707853,5.796059571037043e-08,2.001414855958097e-05,49,0,1,0.0019828482,794,49,-0.00016747182,0.11460428,Tier 2: Physiological Homeostasis Modifier,5.299813246707853,5.796059571037043e-08,2.001414855958097e-05,5.796059571037043e-08
FAM20A,654,563,40.93159484863281,0.077794254,5.258549913261708,7.259788900806609e-08,2.4567125640329565e-05,50,0,1,0.0019821909,801,50,-0.00028279983,0.11030049,Tier 2: Physiological Homeostasis Modifier,5.258549913261708,7.259788900806609e-08,2.4567125640329565e-05,7.259788900806609e-08
IL15RA,658,330,39.46514129638672,0.07723394,5.227228906906258,8.603470972936712e-08,2.854328016903709e-05,51,1,2,0.0021804513,586,51,0.00010112673,0.10912416,Tier 0: Core Bottleneck Transducer,5.227228906906258,8.603470972936712e-08,2.854328016903709e-05,8.603470972936712e-08
PLCL2,651,1175,42.13433837890625,0.07730073,5.218018443632516,9.042372997251115e-08,2.942249059874786e-05,52,0,1,0.0019820554,804,52,-0.00013383385,0.10945357,Tier 2: Physiological Homeostasis Modifier,5.218018443632516,9.042372997251115e-08,2.942249059874786e-05,9.042372997251115e-08
RNASE4,650,150,33.73023986816406,0.077067256,5.1996958500232155,9.980744805533329e-08,3.1863057001815834e-05,53,1,2,0.048693214,32,53,0.035066675,0.07392288,Tier 0: Core Bottleneck Transducer,5.1996958500232155,9.980744805533329e-08,3.1863057001815834e-05,9.980744805533329e-08
MSI2,654,331,34.91184997558594,0.07688348,5.19477464568135,1.0248398680131484e-07,3.211164919774532e-05,54,1,2,0.04855334,34,54,0.03494533,0.07378434,Tier 0: Core Bottleneck Transducer,5.19477464568135,1.0248398680131484e-07,3.211164919774532e-05,1.0248398680131484e-07
KL,648,1045,41.85848236083984,0.07656288,5.1604612606857225,1.2317106777984679e-07,3.789189939700014e-05,55,0,1,0.0019819264,805,55,-0.00038202293,0.108658284,Tier 2: Physiological Homeostasis Modifier,5.1604612606857225,1.2317106777984679e-07,3.789189939700014e-05,1.2317106777984679e-07
GSTK1,655,238,42.047096252441406,0.076252505,5.1525504262238275,1.2848374431463904e-07,3.882044560363737e-05,56,1,2,0.049393017,29,56,0.0713388,0.036498524,Tier 0: Core Bottleneck Transducer,5.1525504262238275,1.2848374431463904e-07,3.882044560363737e-05,1.2848374431463904e-07
COA4,710,93,36.88908767700195,0.07449778,5.130532226495838,1.4446204385436506e-07,4.288241722834837e-05,57,1,2,0.002269556,527,57,0.10520874,0.00014703335,Tier 0: Core Bottleneck Transducer,5.130532226495838,1.4446204385436506e-07,4.288241722834837e-05,1.4446204385436506e-07
SLAIN1,645,633,42.37623596191406,0.07601301,5.116107725005735,1.5595248365752666e-07,4.549510385319571e-05,58,0,1,0.0019861283,765,58,-0.03467963,0.14217827,Tier 2: Physiological Homeostasis Modifier,5.116107725005735,1.5595248365752666e-07,4.549510385319571e-05,1.5595248365752666e-07
KIF3B,709,754,41.842247009277344,0.07379964,5.078964598752425,1.8974870508182188e-07,5.441606932176994e-05,59,1,2,0.0019984054,747,59,0.1043597,8.769566e-06,Tier 0: Core Bottleneck Transducer,5.078964598752425,1.8974870508182188e-07,5.441606932176994e-05,1.8974870508182188e-07
PMFBP1,707,1043,42.79519271850586,0.0737715,5.073460796897162,1.9532249204548473e-07,5.5080942756826694e-05,60,1,2,0.05316352,18,60,0.051957697,0.05237096,Tier 0: Core Bottleneck Transducer,5.073460796897162,1.9532249204548473e-07,5.5080942756826694e-05,1.9532249204548473e-07
ING2,707,297,41.497344970703125,0.073568285,5.058972402990183,2.1076092962678267e-07,5.846024474237972e-05,61,1,2,0.053005606,20,61,0.05112814,0.05291312,Tier 0: Core Bottleneck Transducer,5.058972402990183,2.1076092962678267e-07,5.846024474237972e-05,2.1076092962678267e-07
SH3GL2,704,357,40.227821350097656,0.07354253,5.051888319258935,2.1873173744754672e-07,5.876801001914053e-05,62,0,1,0.0019812179,813,62,-0.00047873706,0.104483575,Tier 2: Physiological Homeostasis Modifier,5.051888319258935,2.1873173744754672e-07,5.876801001914053e-05,2.1873173744754672e-07
CERS1,648,405,39.30900573730469,0.07498125,5.04994900497798,2.2096401111393848e-07,5.876801001914053e-05,63,1,2,0.04758158,40,63,0.03437066,0.07166885,Tier 0: Core Bottleneck Transducer,5.04994900497798,2.2096401111393848e-07,5.876801001914053e-05,2.2096401111393848e-07
FOXD1,548,551,34.42462158203125,0.07812094,5.048805667938632,2.2229034522606348e-07,5.876801001914053e-05,64,0,1,0.0019822489,800,64,-0.00018861145,0.1106683,Tier 2: Physiological Homeostasis Modifier,5.048805667938632,2.2229034522606348e-07,5.876801001914053e-05,2.2229034522606348e-07
FAM222A,642,520,29.20079231262207,0.074552596,5.0083260917269925,2.745272714511194e-07,7.146156050696831e-05,65,0,1,0.0019814295,809,65,-0.00026378967,0.10569707,Tier 2: Physiological Homeostasis Modifier,5.0083260917269925,2.745272714511194e-07,7.146156050696831e-05,2.745272714511194e-07
CFAP263,703,413,41.877471923828125,0.07287609,5.00268109356337,2.826921408244016e-07,7.247198519316478e-05,66,0,1,0.0019810465,817,66,-0.00045785122,0.1035202,Tier 2: Physiological Homeostasis Modifier,5.00268109356337,2.826921408244016e-07,7.247198519316478e-05,2.826921408244016e-07
KCNA4,703,695,41.87395477294922,0.072752565,4.993885699986062,2.958821412231132e-07,7.37354837624025e-05,67,0,1,0.0019810004,819,67,-0.00037758425,0.10326524,Tier 2: Physiological Homeostasis Modifier,4.993885699986062,2.958821412231132e-07,7.37354837624025e-05,2.958821412231132e-07
RGCC,705,142,41.49549102783203,0.07269971,4.993589529955284,2.96336459565211e-07,7.37354837624025e-05,68,0,1,0.0019810132,818,68,-0.0005227849,0.10333571,Tier 2: Physiological Homeostasis Modifier,4.993589529955284,2.96336459565211e-07,7.37354837624025e-05,2.96336459565211e-07
SAMD3,646,566,41.00281524658203,0.07393714,4.973147494912105,3.2937251071028444e-07,8.076786784373932e-05,69,1,2,0.048280176,36,69,0.06860553,0.03595738,Tier 0: Core Bottleneck Transducer,4.973147494912105,3.2937251071028444e-07,8.076786784373932e-05,3.2937251071028444e-07
LEMD2,645,581,41.07869338989258,0.07387267,4.966719579810958,3.404747117841072e-07,8.101676849004357e-05,70,0,1,0.0019812698,811,70,-0.00030692108,0.10477866,Tier 2: Physiological Homeostasis Modifier,4.966719579810958,3.404747117841072e-07,8.101676849004357e-05,3.404747117841072e-07
TMEM184C,650,445,41.74317932128906,0.07372029,4.9656666199323185,3.423274067099529e-07,8.101676849004357e-05,71,1,2,0.04862461,33,71,0.06759624,0.036659993,Tier 0: Core Bottleneck Transducer,4.9656666199323185,3.423274067099529e-07,8.101676849004357e-05,3.423274067099529e-07
DDX25,704,487,42.025291442871094,0.07231277,4.964296776224262,3.447522063406109e-07,8.101676849004357e-05,72,0,1,0.001980914,820,72,-0.000523055,0.10278876,Tier 2: Physiological Homeostasis Modifier,4.964296776224262,3.447522063406109e-07,8.101676849004357e-05,3.447522063406109e-07
RFNG,641,358,40.4398193359375,0.07388661,4.959954195976493,3.52549015866594e-07,8.171410066387357e-05,73,0,1,0.001981295,810,73,-0.00043102447,0.10492247,Tier 2: Physiological Homeostasis Modifier,4.959954195976493,3.52549015866594e-07,8.171410066387357e-05,3.52549015866594e-07
MXD4,643,214,29.04204559326172,0.07367304,4.948933996209747,3.7310522312750707e-07,8.531000507185703e-05,74,0,1,0.001981241,812,74,-0.00042555295,0.10461497,Tier 2: Physiological Homeostasis Modifier,4.948933996209747,3.7310522312750707e-07,8.531000507185703e-05,3.7310522312750707e-07
FITM1,704,295,41.53974151611328,0.07196702,4.939670201929897,3.9127406153264814e-07,8.752196522636366e-05,75,0,1,0.0019808034,826,75,-0.00040768832,0.10218443,Tier 2: Physiological Homeostasis Modifier,4.939670201929897,3.9127406153264814e-07,8.752196522636366e-05,3.9127406153264814e-07
OPCML,640,352,42.03668975830078,0.073610134,4.938749999907916,3.93124666501397e-07,8.752196522636366e-05,76,0,1,0.0019811923,814,76,-0.00023788819,0.104338326,Tier 2: Physiological Homeostasis Modifier,4.938749999907916,3.93124666501397e-07,8.752196522636366e-05,3.93124666501397e-07
TTPA,702,177,38.286380767822266,0.071870066,4.929330583964121,4.1255925925142886e-07,8.98911890324471e-05,77,0,1,0.0019807955,827,77,-0.00050151907,0.10214114,Tier 2: Physiological Homeostasis Modifier,4.929330583964121,4.1255925925142886e-07,8.98911890324471e-05,4.1255925925142886e-07
TAL1,640,358,38.227508544921875,0.0734625,4.928464472300828,4.143920061779476e-07,8.98911890324471e-05,78,0,1,0.0019811678,815,78,-0.0003095204,0.10420118,Tier 2: Physiological Homeostasis Modifier,4.928464472300828,4.143920061779476e-07,8.98911890324471e-05,4.143920061779476e-07
ANKS6,642,931,41.73775863647461,0.07336833,4.925758872533534,4.201678711346105e-07,8.999038455186848e-05,79,1,2,0.046240553,44,79,0.033142943,0.070615545,Tier 0: Core Bottleneck Transducer,4.925758872533534,4.201678711346105e-07,8.999038455186848e-05,4.201678711346105e-07
GABRB3,639,519,39.949180603027344,0.07327074,4.913174997464478,4.480661187556981e-07,9.476598411683015e-05,80,1,2,0.002568023,418,80,0.00030001253,0.10332045,Tier 0: Core Bottleneck Transducer,4.913174997464478,4.480661187556981e-07,9.476598411683015e-05,4.480661187556981e-07
UNC119,705,263,31.979717254638672,0.0706712,4.849058828334993,6.202431584168377e-07,0.00012809320217192907,81,1,2,0.05094389,24,81,0.04877316,0.051171016,Tier 0: Core Bottleneck Transducer,4.849058828334993,6.202431584168377e-07,0.00012809320217192907,6.202431584168377e-07
ARHGEF28,640,1761,43.73821258544922,0.07232027,4.848886338546783,6.207826582800345e-07,0.00012809320217192907,82,1,2,0.046038277,47,82,0.03330458,0.06897174,Tier 0: Core Bottleneck Transducer,4.848886338546783,6.207826582800345e-07,0.00012809320217192907,6.207826582800345e-07
EIF3F,685,383,34.095497131347656,0.07111256,4.846108169053224,6.295344347288547e-07,0.00012814272024883687,83,1,2,0.0019968415,751,83,8.333474e-06,0.10056001,Tier 0: Core Bottleneck Transducer,4.846108169053224,6.295344347288547e-07,0.00012814272024883687,6.295344347288547e-07
RYK,634,670,40.99363708496094,0.072415486,4.844026570098167,6.36169533150254e-07,0.00012814272024883687,84,0,1,0.0019808856,821,84,-0.00022155512,0.102632515,Tier 2: Physiological Homeostasis Modifier,4.844026570098167,6.36169533150254e-07,0.00012814272024883687,6.36169533150254e-07
SIK3,634,1392,41.8172607421875,0.07232426,4.837685002981903,6.568004993299325e-07,0.00013074193469014654,85,0,1,0.0019808584,822,85,-0.00020200107,0.10248394,Tier 2: Physiological Homeostasis Modifier,4.837685002981903,6.568004993299325e-07,0.00013074193469014654,6.568004993299325e-07
IGF2R,637,2600,41.914913177490234,0.072189845,4.834084341523518,6.687993564210668e-07,0.00013158238500749362,86,0,1,0.0019808426,824,86,-0.00030516926,0.10239703,Tier 2: Physiological Homeostasis Modifier,4.834084341523518,6.687993564210668e-07,0.00013158238500749362,6.687993564210668e-07
RNF19B,635,806,41.55516815185547,0.07219235,4.830432853087008,6.811827672619836e-07,0.00013219950447169714,87,0,1,0.0019808505,823,87,-0.00034557935,0.102440976,Tier 2: Physiological Homeostasis Modifier,4.830432853087008,6.811827672619836e-07,0.00013219950447169714,6.811827672619836e-07
FOXB2,636,502,38.14669418334961,0.072138146,4.8285765284997275,6.875624346045714e-07,0.00013219950447169714,88,0,1,0.0019808135,825,88,-0.00022002403,0.10223877,Tier 2: Physiological Homeostasis Modifier,4.8285765284997275,6.875624346045714e-07,0.00013219950447169714,6.875624346045714e-07
CST7,707,148,40.02479553222656,0.06988718,4.796524752703807,8.072100797219863e-07,0.0001534606129089439,89,0,1,0.0019802405,836,89,0.09921649,-0.00038108695,Tier 2: Physiological Homeostasis Modifier,4.796524752703807,8.072100797219863e-07,0.0001534606129089439,8.072100797219863e-07
CACNA1B,536,2041,41.64435577392578,0.07466679,4.789027789202094,8.379563703395035e-07,0.00015753579762382665,90,0,1,0.0019815008,808,90,-0.000517644,0.106112435,Tier 2: Physiological Homeostasis Modifier,4.789027789202094,8.379563703395035e-07,0.00015753579762382665,8.379563703395035e-07
ARHGDIA,701,207,40.53403091430664,0.069785945,4.779310268423973,8.794878638049367e-07,0.00016352675445691788,91,0,1,0.001980193,837,91,-0.0002814494,0.09897368,Tier 2: Physiological Homeostasis Modifier,4.779310268423973,8.794878638049367e-07,0.00016352675445691788,8.794878638049367e-07
GBX1,635,405,40.95869827270508,0.07137609,4.773669551952218,9.044955720132741e-07,0.0001663485334615717,92,0,1,0.0019806179,828,92,-0.00024538906,0.101186424,Tier 2: Physiological Homeostasis Modifier,4.773669551952218,9.044955720132741e-07,0.0001663485334615717,9.044955720132741e-07
RNF169,630,760,43.08818054199219,0.07140688,4.766293324702596,9.382301097881081e-07,0.00017069734900661062,93,0,1,0.001980583,829,93,-1.727324e-05,0.101001844,Tier 2: Physiological Homeostasis Modifier,4.766293324702596,9.382301097881081e-07,0.00017069734900661062,9.382301097881081e-07
