gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,delta_clade_7,delta_clade_8,delta_clade_9,delta_clade_10,delta_clade_11,delta_clade_12,delta_clade_13,delta_clade_14,delta_clade_15,delta_clade_16,delta_clade_17,delta_clade_18,delta_clade_19,delta_clade_20,delta_clade_21,delta_clade_22,delta_clade_23,delta_clade_24,delta_clade_25,delta_clade_26,delta_clade_27,delta_clade_28,delta_clade_29,delta_clade_30,delta_clade_31,delta_clade_32,delta_clade_33,delta_clade_34,delta_clade_35,delta_clade_36,delta_clade_37,delta_clade_38,delta_clade_39,delta_clade_40,delta_clade_41,delta_clade_42,delta_clade_43,delta_clade_44,delta_clade_45,delta_clade_46,delta_clade_47,delta_clade_48,delta_clade_49,tier,z_track_b,p_track_b,q_track_b,p_combined
OR1L6,175,322,41.91044235229492,0.012507629,2.334583808085321,0.009782586617054286,0.6653184328727464,11,0,13,0.0012347713548892,3024,11,0.0304044652730226,0.004891475662589,0.0046642436645925,0.0017509239260107,0.0,0.0,0.0,-0.0192783139646053,0.0,-0.0137600991874933,-4.558127149403236e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142502542585134,0.0,0.0,0.0162974428385496,0.0,0.0,0.0,4.558127149403236e-17,0.0,0.0,0.0,0.0,0.0,0.0038505708798766,0.0,0.0260370820760726,0.0043679540976881,0.0,0.0,0.0,0.0,0.0,0.0039893123321235,0.0065019275061786,-0.0137600963935256,0.0,9.116254298806471e-17,-0.0077393380925059,0.0072752120904624,0.0,Background,2.334583808085321,0.009782586617054286,0.6653184328727464,0.009782586617054286
OR8D1,171,330,41.69001007080078,0.012145828,2.221722674948628,0.013151026593667306,0.6653184328727464,12,0,17,0.0012128598976195,4329,12,0.0293582733720541,-0.0066825058311223,0.0049253399483859,-0.0052825501188635,0.0,0.0,0.0,0.0260563921183347,0.0,0.0020848421845585,-0.0043067717924714,0.0,0.0,0.0,0.0004495400935411,0.0009572226554155,0.0008703675121068,0.0,0.0,0.0014583702431991,0.0,0.0,0.0221669375896453,8.385628461837769e-05,0.0,0.0,-7.942318916320801e-05,0.0,0.0,0.0,0.0008323856163769,0.0,0.0,0.0,0.0267915148288011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001857541501522,-0.0105906911194324,0.0010656006634235,4.5124773675021486e-17,0.0,0.0001957677304744,1.620510738575831e-05,Background,2.221722674948628,0.013151026593667306,0.6653184328727464,0.013151026593667306
SPDYE17,261,311,41.6151123046875,0.011661683,2.176146962309031,0.014772136646439823,0.6653184328727464,13,0,23,0.0014396104142572,90,13,0.0193067826330661,-2.2271182865945133e-16,0.0006896475679241,0.0025270711630582,0.0010096542537212,0.0,0.0,0.0211140997707843,0.0,-0.0030226062517613,0.0024824028369039,0.0,0.0,0.0,-1.218913803313626e-05,0.0015161184128373,0.0014740822371095,0.0005871001631021,0.0,-0.0009059341973625,0.0,-0.0048794080503284,0.0003445595502853,0.0035526491701602,0.0,0.0,0.0028971282299607,0.0201077423989772,0.0022348898928612,-6.47716224193573e-05,0.0008871721220202,0.0039097536355257,-6.444752216339111e-06,0.0090926801785826,0.0,0.000105382874608,0.0,-0.0007191423792392,0.0201077423989772,0.0032535328064113,0.0,0.0,0.0,0.0019343910971656,0.0001707840710878,-0.000391511071939,0.0158074367791414,0.0,0.0,Background,2.176146962309031,0.014772136646439823,0.6653184328727464,0.014772136646439823
OR5K3,153,321,44.732086181640625,0.012889008,2.16013563404268,0.01538108558552798,0.6653184328727464,14,0,14,0.0012362595047037,2966,14,0.0192685239017009,0.0146591663360595,0.0038102832622826,0.0,0.0,0.0152359139174222,0.0,0.0,0.0,0.0115810092538595,-4.268420705618584e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147299040108919,0.0,0.0,0.0003066100471187,0.0005016313516534,-0.0069426759146153,0.0152359139174222,0.0005016312352381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020739696919918,0.0,0.0,0.0,0.0,0.0,0.0,0.0229054614901542,0.0002031102776527,0.0,0.0,0.0015390985645353,-0.0012270065490156,0.0004247799515724,0.0,Background,2.16013563404268,0.01538108558552798,0.6653184328727464,0.01538108558552798
OR10A3,197,327,42.693058013916016,0.01158434,2.153338198108461,0.015646054412683158,0.6653184328727464,15,0,17,0.0012849856086205,1376,15,0.0214543212205171,0.0029738468583673,-0.0080238198861479,0.0010652755154296,0.0,-0.0023984622675925,0.0,0.0174042470753192,-0.0062765413895249,0.0065552401356399,-4.840626864819081e-17,0.0,-0.0002457555383443,0.0,0.0,0.000126185681438,0.000126185681438,0.0019091031281277,0.0,0.0,0.0028460279572755,0.0,0.0206050630658864,0.0004831637779716,0.0033052265644073,-0.0023984622675925,0.0,0.0170673299580812,0.0078525925055146,0.0,0.0,0.0,-0.0064586112275719,0.0,0.0,0.0,0.0,0.0,0.0170673299580812,0.0,-0.0062765413895249,-0.0039030399639159,0.0002095662057399,-0.0174244530498981,0.0,-0.0033466154709458,-0.003346623154357,0.0002774782478809,0.0,Background,2.153338198108461,0.015646054412683158,0.6653184328727464,0.015646054412683158
NAT2,211,290,41.319435119628906,0.011519192,2.142196292031029,0.01608884488606254,0.6653184328727464,16,0,13,0.0011752041047305,7395,16,0.0,-0.004135238006711,-0.0002617333375383,1.0043542956068628e-16,0.0,0.0148938819766044,0.0,0.030574606731534,0.0006147423991933,0.0,-5.021771478034314e-17,0.0,-0.0001080445945262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070840599946677,0.0,0.0,0.0,0.0,0.0,0.0148938819766044,0.0,0.0,-0.0008065079455263,0.0,0.0,0.0,1.0232179192826152e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006147423991933,0.0278995428234338,0.0001751203089952,0.0,0.0,0.0045761321671307,0.0045761247165501,0.0002561975270509,0.002853421261534,Background,2.142196292031029,0.01608884488606254,0.6653184328727464,0.01608884488606254
OR56A4,160,314,42.4759635925293,0.012182872,2.10913619787299,0.017466413583160686,0.6653184328727464,17,0,13,0.0012537565937093,2248,17,0.0,0.0080221742391586,0.018891679123044,0.0,0.0,0.0,0.0,0.0183813758194446,0.0068778283894062,-0.0001637935638427,-4.3491608125931496e-17,0.0,0.008781362324953,0.0,0.0,0.0,0.0,0.0090716574341058,0.0,0.0044464617967605,0.0,0.0,0.0003517493605613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027675442397594,0.0,9.90796834230423e-05,0.0059304870665073,0.0,0.0,0.0,0.0,0.0,0.0054878965020179,0.0,-0.0107064433395862,-0.001314178109169,0.0,0.0059304907917976,0.0,0.0,Background,2.10913619787299,0.017466413583160686,0.6653184328727464,0.017466413583160686
SPDYE14,242,281,40.86583709716797,0.011333178,2.1085741461675416,0.017490678226692834,0.6653184328727464,18,0,21,0.0014222193303182,132,18,-0.0063343811780214,-1.0703631761396964e-16,0.0025828862562775,0.0152692953124642,-0.0001180991530418,0.0,0.0,0.020369466394186,0.0,-0.0068862084299325,0.0027043365407735,0.0,0.0,0.0,-3.6418408853933215e-05,0.0030758411157876,0.0030314021278172,0.0006280597299337,0.0,-0.0025481407064944,0.0,-0.0032627452164888,0.0002289247058797,0.0036916786339133,0.0,0.0,0.0032600271515548,0.0197565238922834,0.0057192873209714,-7.101334631443024e-05,0.0043635796755552,0.0021383848506957,-5.2265822887420654e-06,0.0087900180369615,0.0,0.0001099035143852,0.0,-0.0004003566573373,0.0197565238922834,0.0018957077991217,0.0,0.0,0.0,0.0033309236168861,2.024136483669281e-05,-0.0002526739262975,0.0075569320470094,0.0,0.0,Background,2.1085741461675416,0.017490678226692834,0.6653184328727464,0.017490678226692834
OR13C5,154,369,41.59701156616211,0.012523581,2.1056585600403115,0.01761701096087956,0.6653184328727464,19,0,15,0.0013064625994042,980,19,0.0,0.0104547962546348,0.0055771293118596,0.0,0.0,-0.007993035018444,0.0,0.0155034828931093,0.0120130628347396,-0.021147346124053,-4.282995628011768e-17,0.0,0.0034301031846553,0.0,0.0017929816385731,0.0,0.0,0.000154182096594,0.0,0.0045193652622401,0.012211000546813,0.0,0.0,0.0,0.0,-0.007993035018444,0.0,0.0147132817655801,0.0,0.0,0.0,-0.0046253725886344,0.0074306949973106,0.0,0.0,-0.0044675581157207,0.0,0.0,0.0147132817655801,0.0,0.0,0.0,0.0,-0.0211473386734724,0.0075503699481487,4.282995628011768e-17,0.0159005336463451,0.0,0.0,Background,2.1056585600403115,0.01761701096087956,0.6653184328727464,0.01761701096087956
MUC15,170,380,39.85184097290039,0.011332924,2.0518680472906956,0.020091243959162987,0.6653184328727464,20,0,13,0.0011713593180319,7800,20,0.0,0.0058767916634678,0.0184448808431625,4.491362755186121e-17,0.0,0.034665323793888,0.0,0.0,0.0,0.0020534980576485,7.610960165038705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0051620132289826,0.0,-0.010240115225315,0.0,0.0,0.0,0.0,0.0,0.034665323793888,0.0,0.0,-0.0024901300203055,0.0,0.0,0.0,3.981217741966248e-05,0.0,8.166581392288208e-05,0.0,0.0,0.0,0.0,-0.0048252148553729,0.0,0.0192388799041509,0.0,-0.0194382537156343,5.520135164260864e-05,0.0,0.0026171498466283,0.0,0.0,Background,2.0518680472906956,0.020091243959162987,0.6653184328727464,0.020091243959162987
OR5AK2,171,334,42.67073059082031,0.011230579,2.0418951807040377,0.020580964966993066,0.6653184328727464,21,0,13,0.0012561511588824,2158,21,0.0277182776480913,-0.0002592080272734,-0.0110250553116202,0.0002166333142668,0.0,0.0,0.0,0.0321143344044685,0.0,0.0100430473685264,-4.496048567920111e-17,0.0,-0.0001833736896514,0.0,0.0,0.0,0.0,-0.0061358804814517,0.0,-0.0231630690395832,0.0101143131032586,0.0103992074728012,0.0212279185652732,-0.0015482871094718,0.0,0.0,-0.0015482759336009,0.0,0.0,-0.0082888100296258,0.0,0.0076550408266484,0.0,0.0,0.0186799764633178,0.0,0.0,0.0,-0.0181147120893001,0.0,0.0,0.0,0.0002948977053165,0.0,0.0,0.0117600699886679,0.0180571358650922,0.0003543086349964,-0.0034033288247883,Background,2.0418951807040377,0.020580964966993066,0.6653184328727464,0.020580964966993066
OR2D3,297,356,41.53977966308594,0.010791301,2.0051111480400983,0.022475582975130807,0.6653184328727464,22,0,21,0.0013505852704548,455,22,0.0003376081585884,0.0006772301858291,-0.0040081017650663,0.0,0.0,0.0,-5.961954593658447e-05,0.0253415666520595,0.0,0.0074177905917167,-0.0002756565809249,-0.0073275221511721,-9.758956730365752e-05,0.0,0.0,0.0,0.0,0.0035463580861687,0.0,0.0080077107995748,0.0,0.0,0.02133952639997,0.0,-0.0055579571053385,0.0,5.941372318683401e-17,0.0142109049484133,-0.0019918037578463,0.003926963545382,0.0,9.089522063732149e-05,-0.0044110501185059,0.0,8.466280996799469e-05,-0.0028597796335816,0.0,-0.0015040662838146,0.0142109049484133,0.0039269560948014,0.0,0.015774879604578,0.0001517049968242,0.0064967116340994,7.73165374994278e-05,0.0054396307095885,0.0172086935490369,0.0002070181071758,-1.5534384374404908e-06,Background,2.0051111480400983,0.022475582975130807,0.6653184328727464,0.022475582975130807
SPDYE15,258,342,41.38472366333008,0.010574945,1.9585176192017848,0.0250846528249023,0.6653184328727464,23,0,23,0.0014147125956435,154,23,-0.0060712127014994,-2.2116137455417166e-16,0.0032894751057028,0.0148482117801904,0.0020824479870498,0.0,0.0,0.0192362144589424,0.0,-0.0019473303109407,0.0026075248606503,0.0,0.0,0.0,2.8274978831177577e-05,0.0022774792741984,0.0022214136552065,0.0005997903645038,0.0,-0.0032473967876285,0.0,-0.0030310694128274,0.0001953057944774,0.0056271567009389,0.0,0.0,0.0047510238364338,0.0186764821410179,0.0025824781041592,-6.709247827529907e-05,0.0013702034484595,0.0032161092385649,-1.778826117515564e-06,0.0,0.0,0.0001169592287624,0.0,0.000155696645379,0.0186764821410179,0.0027575141284614,0.0,0.0,0.0,-0.0003194120363332,1.7026439309120178e-05,0.0044637527316808,0.0112858098000288,0.0,0.0,Background,1.9585176192017848,0.0250846528249023,0.6653184328727464,0.0250846528249023
CXorf49,169,606,37.62976837158203,0.010870377,1.951738135819536,0.025484651223697304,0.6653184328727464,24,0,19,0.0013893002455366,246,24,0.0290765911340713,0.0043205600231885,0.0003170935087837,0.0,-0.0022615732159465,0.0237882100045681,0.0,0.0,0.0,-0.0112070385366678,0.0082816388458013,0.0,-0.0045569301582872,0.0,-0.0024651095736771,0.0,0.0,6.001285510137677e-05,0.0,0.0081905629485845,0.0,0.0,0.0002522990107536,0.0016081020003184,0.0,-0.0010719735873863,0.0012333896011114,0.0181389916688203,-0.0065669552423059,-2.7507543563842773e-05,0.0019871867261826,-0.0013026989763602,-0.008663235232234,0.0,-0.0049746395088732,-0.0016309157945215,0.0,0.002887503709644,0.0181389916688203,0.0035678758285939,0.0,0.017346242442727,-0.0045437687076628,-0.0112070497125387,0.0,0.00677395099774,0.0148431900888681,0.0023618445266038,0.0,Background,1.951738135819536,0.025484651223697304,0.6653184328727464,0.025484651223697304
OR5M11,264,318,41.650394439697266,0.010429639,1.930015089229067,0.026802484076340328,0.6653184328727464,25,0,26,0.0015608628305491,18,25,0.0214052163064479,-0.0007344149053096,-0.0122823705896735,5.608272641708707e-17,-0.0020250976085662,0.0,0.0,0.0195015594363212,0.0032808110117912,0.0068857539445161,-0.0045800767838954,0.0,0.0039550699293613,0.0048409812152385,0.0008344948291778,-0.0060973800718784,0.0009100269526243,0.004434360191226,-0.0063151326030492,-0.0088983625173568,0.0036108791828155,0.0046590827405452,0.0162189900875091,0.0007680356502532,-0.0004406906664371,0.0,0.0006125457584857,0.0136027447879314,0.0,-0.0071295443922281,0.0015767440199851,-0.0012588836252689,0.0018732734024524,0.0,-0.002094205468893,-0.0035055503249168,0.0014322865754365,0.0,0.0136027447879314,0.0,-0.0050334483385086,-0.0025347657501697,0.000158604234457,-0.0081932581961154,0.0018939673900604,0.0047669373452663,0.0142818614840507,0.000182457268238,0.0091447867453098,Background,1.930015089229067,0.026802484076340328,0.6653184328727464,0.026802484076340328
SPDYE13,274,320,41.23038482666016,0.010267938,1.8985648982165453,0.02881085365323273,0.6653184328727464,26,0,23,0.0014310578292862,106,26,-0.0060769934207201,-1.1395899216042592e-16,0.003960424568504,0.0028435203712433,0.0023436429910361,0.0,0.0,0.0192137025296688,0.0,-0.0011631804518401,0.0023926116991788,0.0,0.0,0.0,4.98891095048748e-05,0.001957467989996,0.0019278036197647,0.0005594734102487,0.0,-0.0033456825185567,0.0,-0.0029263531323522,0.0002001673274207,0.0026326475199311,0.0,0.0,0.0021486585028469,0.0186824928969144,0.0020859690848737,-6.251968443393707e-05,0.0015056685078889,0.00367969321087,-3.339722752571106e-06,0.0103564951568841,0.0,-0.0001998618245124,0.0,0.0001819394528865,0.0186824928969144,0.0030981532763689,0.0,0.0,0.0,-0.0008424876141361,1.6121193766593933e-05,0.0050047407858073,0.013581502251327,0.0,0.0,Background,1.8985648982165453,0.02881085365323273,0.6653184328727464,0.02881085365323273
PRAMEF18,128,493,41.5283203125,0.0129494285,1.884844624634414,0.029725409085466985,0.6653184328727464,27,0,9,0.0011562970100924,9558,27,0.0,-1.5604747697434086e-16,0.0026298835873603,-0.0081353038549423,-0.0035577379167079,0.0,0.0,0.0,0.0,-0.0023655965924263,-3.9011869243585215e-17,-0.0013526231050491,0.0,0.0,0.0033608935773372,0.0022647082805633,0.0016408488154411,0.0,0.0,0.0,0.0,0.0,0.0,0.0001058615744113,0.0,0.0,-0.0200647972524166,0.0296641401946544,0.0,0.0,-0.0022154003381729,0.0,0.0,0.0043285861611366,0.0326480567455291,0.0,0.0,0.0,0.0296641401946544,0.0,0.0,0.0,0.0,-0.0023655965924263,0.0,-7.802373848717043e-17,0.0,0.0,-6.962567567825317e-05,Background,1.884844624634414,0.029725409085466985,0.6653184328727464,0.029725409085466985
ENSG00000283599,195,652,43.27972412109375,0.010099331,1.8560502558678798,0.03172319755529304,0.6653184328727464,28,0,17,0.0013733713996864,322,28,0.0266948416829109,0.0060683907940983,0.0164708625525236,4.815156650269593e-17,-0.0027891402132809,0.0231043547391891,0.0,0.0,0.0,-0.0135437063872814,0.0046109966933727,0.0,0.0,0.0,-0.0023626065813004,0.0,0.0,-0.0029465816915035,0.0,0.0103703327476978,0.0,0.0,0.0001543239195598,-0.001920724636875,0.0,-0.0013166890712454,0.0022232902701944,0.0166943222284317,-0.0025446261279284,-3.199651837348938e-05,0.0025496003217995,-0.0022269624751061,-0.0061616040766239,0.0,-0.0070187821984291,-0.002767180558294,0.0,0.0,0.0166943222284317,0.0059025883674621,0.0,0.0174206551164388,-0.0059837140142917,-0.0135436989367008,0.0,0.0115820532664656,0.0264460816979408,0.003003682475537,0.0,Background,1.8560502558678798,0.03172319755529304,0.6653184328727464,0.03172319755529304
