gene,codon_length,taxa_count,fg_count,n_microbats,n_odontocetes,psi_track_b,max_rho_track_a,p_min_track_a,p_evd_track_a,max_synergy_track_a,top3_synergy_track_a,best_site_codon,best_site_lrt,best_site_rho,rho_microbats,rho_odontocetes,rho_megabats,rho_mysticetes,z_track_b,p_track_b,q_track_b,rank_track_b,rank_track_a,q_track_a,min_rank,dual_track_score,composite_rank,composite_score,delta_bat,delta_cet,contrast_quadrant
CPAMD8,1927,405,82,48,34,0.3169490952739556,0.9064287543296814,1.942890293094024e-15,2.564615186880823e-12,21.503501892089844,19.1652774810791,1087,23.72332191467285,0.9064287543296814,0.8999597430229187,0.8565465807914734,0.9999834895133972,0.816490650177002,1.60005295486741,0.0547934181502971,0.8846340489435419,497,11,2.6801214104663677e-12,19,18.99990495901929,21,11.0168939142002,-0.10002374649047852,0.040055930614471436,Q4_Unilateral_Cetacean
RHOB,196,714,109,70,39,0.4547286927696051,0.6221944093704224,1.942890293094024e-15,5.0515147620443354e-14,6.9056878089904785,3.629701375961304,149,11.098922729492188,0.6221944093704224,0.7764086127281189,0.1601281464099884,0.2161514163017273,0.0,4.357610513088692,6.5745054572749e-06,0.0080977584527447,11,9203,1.0598948151663044e-12,14,13.999921599665266,22,11.306418357166612,0.5602571964263916,0.1601281464099884,Q1_Golden_Quadrant
LOXHD1,2302,629,102,67,35,0.3675504245188621,0.905207097530365,1.942890293094024e-15,2.815248034689278e-12,24.83551788330078,23.44256019592285,2016,32.560890197753906,0.7627407312393188,0.9850673675537108,0.9275890588760376,0.6629453897476196,0.91629821062088,2.612801434697608,0.0044901730353788,0.613725014426552,110,12,2.92484315515217e-12,20,19.999904091224455,23,12.004057199866978,0.3221219778060912,0.011290848255157582,Q1_Golden_Quadrant
PBX1,349,669,101,65,36,0.4544687856759196,0.6296623945236206,1.942890293094024e-15,5.4400928206631194e-14,14.368624687194824,8.31577205657959,10,22.819568634033203,0.6296623945236206,0.7848953008651733,0.0,0.5525661110877991,0.0,4.3524086632963055,6.732498708109862e-06,0.0080977584527447,12,8790,1.0598948151663044e-12,15,14.999910734483349,24,12.29271699368141,0.23232918977737427,0.0,Q2_Unilateral_Bat
NKPD1,1062,629,94,68,26,0.2832994696443846,0.904931664466858,1.942890293094024e-15,1.187105969079744e-12,11.584415435791016,10.769293785095217,941,24.333236694335938,0.4760737717151642,0.8497157692909241,0.9998427629470824,0.857756495475769,0.9143807888031006,0.926580385831418,0.1770722212833781,0.8846340489435419,1804,13,1.4154582380632905e-12,22,21.999908496686533,25,13.060425673428666,-0.00804072618484497,0.08546197414398182,Q4_Unilateral_Cetacean
TMEM127,154,725,110,71,39,0.454039021036252,0.6945169568061829,1.942890293094024e-15,5.2458037913537283e-14,7.42276668548584,6.325070858001709,133,10.687667846679688,0.6945169568061829,0.8644702434539795,0.1601281464099884,0.9474830031394958,0.0,4.343807239341579,7.001719979094236e-06,0.0080977584527447,13,3960,1.0598948151663044e-12,16,15.999913651745072,26,13.13212504156967,-0.08301275968551636,0.1601281464099884,Q4_Unilateral_Cetacean
STXBP1,594,663,107,71,36,0.4510147551999697,0.7404040694236755,1.942890293094024e-15,1.8846035843010258e-13,18.069509506225582,16.076356887817383,594,37.37077713012695,0.4835197925567627,0.9089322686195374,0.8557161092758179,0.3533667027950287,0.5181310772895813,4.283278777461192,9.207959690140269e-06,0.0098886909958042,14,1456,1.0598948151663044e-12,18,17.999905856050013,27,14.048885932823412,0.5555655658245087,0.3375850319862366,Q1_Golden_Quadrant
CARD11,1180,604,95,59,36,0.2566125460367908,0.8993813395500183,1.942890293094024e-15,1.2959078254928745e-12,28.18001365661621,17.671396255493164,944,31.332664489746097,0.8993813395500183,0.7837938666343689,0.9875751733779908,0.835539698600769,0.7747851610183716,0.3924611893943837,0.3473587411109861,0.8846340489435419,4663,14,1.5045807336958473e-12,23,22.999905355785856,28,14.155537080146326,-0.051745831966400146,0.21279001235961925,Q4_Unilateral_Cetacean
UGT8,553,691,98,61,37,0.4484606495539567,0.7483198046684265,1.942890293094024e-15,6.275535646691728e-13,22.605939865112305,21.685394287109375,13,34.752750396728516,0.6504791378974915,0.9484956860542296,0.7914011478424072,0.9576073884963988,0.4803843796253204,4.232160226843556,1.1572870913915936e-05,0.0115998742793817,15,1263,1.065730285357932e-12,20,19.99990440812263,29,15.042500831393417,-0.00911170244216919,0.31101676821708685,Q4_Unilateral_Cetacean
SERPINA7,420,577,104,64,40,0.2147698403847457,0.8989547491073608,1.942890293094024e-15,7.36355421082364e-13,16.904193878173828,12.866591453552246,105,31.014652252197266,0.5450389385223389,0.6854002475738525,0.8285925388336182,0.7309116125106812,0.4944213926792145,-0.4449898652210765,0.6718364608834296,0.8846340489435419,11400,15,1.1075074466538845e-12,24,23.99990721157758,30,15.379614233455271,-0.04551136493682861,0.3341711461544037,Q4_Unilateral_Cetacean
TDRD1,1162,649,78,41,37,0.2292702950810424,0.8980039954185486,1.942890293094024e-15,1.946776073678317e-12,18.21992874145508,17.06854820251465,201,33.45621871948242,0.544590175151825,0.8027033805847168,0.8150920271873474,0.9997910261154176,0.8791775703430176,-0.1547739031176826,0.5615002172213508,0.8846340489435419,9332,16,2.0909024803416797e-12,25,24.99990553447897,31,16.310874625872962,-0.1970876455307008,-0.06408554315567017,Q3_Parallel_Regressive
UHMK1,348,702,109,69,40,0.4425431048340901,0.738548994064331,1.942890293094024e-15,2.1177504194722627e-13,18.08237648010254,13.930590629577637,266,36.84558868408203,0.4907609820365906,0.9282565712928772,0.1934313625097274,0.9315386414527892,0.0,4.11372491083898,1.9466267662800727e-05,0.0172161961358946,17,1509,1.0598948151663044e-12,22,21.999906697658684,32,17.050748254073827,-0.0032820701599119984,0.1934313625097274,Q4_Unilateral_Cetacean
KIAA0232,1455,616,100,62,38,0.277066497549788,0.8956066966056824,1.942890293094024e-15,2.063349491263725e-12,20.14523124694824,19.820701599121097,14,39.90924835205078,0.5047760009765625,0.8070427179336548,0.8286660313606262,0.9324334263801576,0.507064700126648,0.8018320223432758,0.2113250662100816,0.8846340489435419,2290,17,2.1990406633415148e-12,26,25.999904802912116,33,17.076720984369803,-0.1253907084465028,0.32160133123397827,Q4_Unilateral_Cetacean
PSMC5,406,728,113,73,40,0.4408649444894715,0.6469338536262512,1.942890293094024e-15,3.6914915568785773e-14,3.215324878692627,2.6066606044769287,3,4.970098495483398,0.6469338536262512,0.8048920631408691,0.15811388194561,0.0,0.0,4.080137762768262,2.2504509030250385e-05,0.0187053007977937,18,7735,1.0598948151663044e-12,23,22.999927726479136,34,18.25783172597273,0.8048920631408691,0.15811388194561,Q1_Golden_Quadrant
MCC,1048,592,101,67,34,0.210132499942255,0.8954817056655884,1.942890293094024e-15,9.2675866980542e-13,11.332892417907717,10.429003715515137,217,23.824447631835938,0.475683331489563,0.8185718655586243,0.7561893463134766,0.9486657977104188,0.5861878395080566,-0.5378028318697796,0.7046434116442739,0.8879040643914905,11926,18,1.2227772578323602e-12,27,26.999908749669043,35,18.397206518124374,-0.13009393215179454,0.17000150680541992,Q4_Unilateral_Cetacean
CD1C,337,127,54,15,39,0.4381948869209126,0.8942840099334717,1.942890293094024e-15,6.061817714451517e-13,17.720972061157227,16.342992782592773,61,33.64044952392578,0.5267757177352905,0.63564532995224,0.9203221201896667,0.8164705634117126,0.7208343744277954,4.026698519492071,2.8282741829197793e-05,0.0209108423006126,20,19,1.0638100206850569e-12,25,24.999905766017505,36,19.001296973727968,-0.18082523345947266,0.19948774576187134,Q4_Unilateral_Cetacean
ASB7,318,725,110,70,40,0.4402933951663301,0.6887821555137634,1.942890293094024e-15,1.0491607582707183e-13,18.828174591064453,11.08013916015625,261,36.595699310302734,0.5144914388656616,0.8634340763092041,0.0281198918819427,0.5452868938446045,0.0,4.068698622397899,2.363822515185104e-05,0.0187053007977937,19,4418,1.0598948151663044e-12,24,23.999908278050334,37,19.14755570335883,0.3181471824645996,0.0281198918819427,Q1_Golden_Quadrant
HNRNPF,420,671,107,70,37,0.3275030692359974,0.8929176926612854,1.942890293094024e-15,2.7006175074003293e-13,11.886882781982422,8.748822212219238,193,21.0814266204834,0.5638557076454163,0.8714045882225037,0.8117373585700989,0.6539216637611389,0.593757152557373,1.8112830005149017,0.035048527875683,0.8846340489435419,358,20,1.0598948151663044e-12,31,30.99991025764937,38,20.012570668440304,0.21748292446136475,0.21798020601272583,Q1_Golden_Quadrant
RPA4,306,332,87,51,36,0.3881060546695561,0.8914470076560974,1.942890293094024e-15,5.032085859112256e-13,19.141136169433594,17.073333740234375,103,27.614158630371097,0.6931638121604919,0.945024311542511,0.7127818465232849,0.5975576639175415,0.4062001705169678,3.024207290980773,0.0012464278447244,0.2629224003259528,71,21,1.0598948151663044e-12,32,31.999905533013525,39,21.00305952776854,0.3474666476249695,0.30658167600631714,Q1_Golden_Quadrant
TRA2A,200,701,113,73,40,0.4378166050877092,0.7105680704116821,1.942890293094024e-15,5.828670879281901e-14,4.8458943367004395,4.764323711395264,124,21.086591720581055,0.229809284210205,0.8840636610984802,0.3862573802471161,0.4223860204219818,0.2672612369060516,4.019127486137001,2.9207029485391755e-05,0.0209108423006126,21,2732,1.0598948151663044e-12,26,25.999917348088868,40,21.0915530428999,0.4616776406764984,0.11899614334106451,Q1_Golden_Quadrant
NDST4,879,677,102,65,37,0.4330450163600101,0.8222348690032959,1.942890293094024e-15,1.0258460747531184e-12,27.70456314086914,23.104665756225582,206,39.919715881347656,0.6940070390701294,0.927283525466919,0.8000393509864807,0.9999952912330629,0.5309483408927917,3.923627638554665,4.361275935684168e-05,0.0298053562240961,22,253,1.2937026661611173e-12,27,26.99990414857443,41,22.009145327569005,-0.07271176576614391,0.26909101009368896,Q4_Unilateral_Cetacean
DSP,2333,657,106,69,37,0.3122749955939718,0.8912457823753357,1.942890293094024e-15,2.269295862331245e-12,30.466163635253903,25.52116584777832,2319,39.67886734008789,0.7678183913230896,0.873805046081543,0.9999802708625792,0.999978244304657,0.999993860721588,1.506504279049672,0.0659688847433627,0.8846340489435419,601,22,2.395674226474844e-12,33,32.999903770573304,42,22.020718323910874,-0.126173198223114,-1.3589859008789062e-05,Q3_Parallel_Regressive
CHAT,768,269,58,27,31,0.2903543868976145,0.8909207582473755,1.942890293094024e-15,9.423017921501577e-13,14.431954383850098,13.64798069000244,594,23.927175521850582,0.603161633014679,0.8391000628471375,0.9999845623970032,0.9999954104423524,0.8366557359695435,1.0677793786277503,0.1428100210637523,0.8846340489435419,1377,23,1.2331931152666373e-12,34,33.99990682687956,43,23.046558031260393,-0.16089534759521495,0.16332882642745972,Q4_Unilateral_Cetacean
RND3,244,718,113,73,40,0.4323397315636871,0.7165534496307373,1.942890293094024e-15,8.160139230994567e-14,3.4574289321899414,2.829815149307251,132,4.825081825256348,0.7165534496307373,0.8915104269981384,0.2738612592220306,0.4123837351799011,0.2672612369060516,3.9095118808071474,4.6241403544443304e-05,0.0302278044474219,23,2375,1.0598948151663044e-12,28,27.99992611092079,44,23.079747256401728,0.4791266918182373,0.006600022315979004,Q1_Golden_Quadrant
SLC4A3,1260,677,105,67,38,0.2835912685430769,0.8909120559692383,1.942890293094024e-15,1.0005885009429217e-12,17.148136138916016,15.503090858459473,151,41.651702880859375,0.4117031097412109,0.885378897190094,0.921854555606842,0.998567759990692,0.9999939799308776,0.932420526702747,0.175559620348151,0.8846340489435419,1783,24,1.2740761737702617e-12,35,34.99990605947097,45,24.06009311606252,-0.11318886280059803,-0.07813942432403553,Q3_Parallel_Regressive
TRIAP1,76,720,112,72,40,0.4299380665635153,0.6649002432823181,1.942890293094024e-15,7.18869408444763e-14,4.7860026359558105,4.68828821182251,70,13.414987564086914,0.3567653298377991,0.8292763233184814,0.4567888379096985,0.3665698170661926,0.2724488377571106,3.861444317873903,5.635935164222657e-05,0.0353067854975365,24,6423,1.0598948151663044e-12,30,29.99991757998123,46,24.214399733954107,0.4627065062522888,0.1843400001525879,Q1_Golden_Quadrant
SERTM2,103,713,110,71,39,0.4266471099354208,0.7340996861457825,1.942890293094024e-15,1.282307593441974e-13,18.295988082885746,12.747172355651855,51,24.92302894592285,0.7340996861457825,0.9137391448020936,0.9029631018638612,0.5393005609512329,0.1478005349636078,3.795578235460163,7.36498667084198e-05,0.0442930298384436,25,1645,1.0598948151663044e-12,31,30.99990727422319,47,25.05553708014633,0.3744385838508607,0.7551625669002534,Q1_Golden_Quadrant
NCAPD2,1442,685,110,71,39,0.2371767704292274,0.8903083205223083,1.942890293094024e-15,2.1721513476767596e-12,29.474485397338867,24.27599334716797,1002,39.513031005859375,0.7459434270858765,0.8883775472640991,0.8426869511604309,0.9999797940254213,0.9382641315460204,0.0034684001810059,0.498616311296695,0.8846340489435419,7974,25,2.302757248259005e-12,36,35.999903956323244,48,25.266012637179912,-0.11160224676132213,-0.09557718038558949,Q3_Parallel_Regressive
CD1A,345,170,60,22,38,0.4238627786883557,0.8156197667121887,1.942890293094024e-15,6.120104423244302e-13,15.572979927062988,14.88377857208252,7,21.325267791748047,0.7302595376968384,0.7089381217956543,0.9173580408096312,0.8164964914321899,0.6199864745140076,3.7398518883485847,9.206435887616658e-05,0.0532379859885832,26,312,1.064297932559965e-12,32,31.99990629573118,49,26.01124043897572,-0.10755836963653564,0.29737156629562367,Q4_Unilateral_Cetacean
COL9A1,927,709,110,72,38,0.2685547166182009,0.8873081803321838,1.942890293094024e-15,1.1229905894077154e-12,25.394790649414062,22.2692928314209,709,39.22921371459961,0.6473438739776611,0.800138533115387,0.9390770196914672,0.6512023210525513,0.6125343441963196,0.6314749718912815,0.2638650044581164,0.8846340489435419,3089,26,1.3652401918335868e-12,38,37.9999042975092,50,26.103591619554372,0.1489362120628357,0.3265426754951476,Q1_Golden_Quadrant
RTL10,365,223,61,23,38,0.4212252800081209,0.8210133910179138,1.942890293094024e-15,5.925815393935017e-13,28.35968017578125,25.460128784179688,361,45.20752716064453,0.6273220777511597,0.9411839246749878,0.8359546065330505,,0.7233929634094238,3.6870642873345094,0.0001134280306988,0.0631626089465556,27,260,1.0629664520256836e-12,33,32.9999037792711,51,27.00954439640838,,0.11256164312362671,Unclassified
HTR3B,489,643,105,72,33,0.2505153867176773,0.8870329856872559,1.942890293094024e-15,7.654987754787524e-13,21.87813186645508,17.34077262878418,143,29.584238052368164,0.7395198941230774,0.8930552005767822,0.9045306444168092,,0.5132899284362793,0.2704310189648933,0.3934143395519305,0.8846340489435419,5635,27,1.1246252089912829e-12,39,38.99990545233301,52,27.188293980711673,,0.3912407159805299,Unclassified
BRD7,666,672,104,66,38,0.2732833180035165,0.8870178461074829,1.942890293094024e-15,8.082423619267873e-13,11.722234725952148,11.323898315429688,634,25.719005584716797,0.4557810127735138,0.805427610874176,0.7516654133796692,0.9999446868896484,0.5884079337120056,0.7261144593546153,0.233884302802286,0.8846340489435419,2633,28,1.147014727601908e-12,40,39.99990811431557,53,28.08849351513136,-0.1945170760154724,0.16325747966766357,Q4_Unilateral_Cetacean
GNB2,342,716,114,74,40,0.4192563136711428,0.5634518265724182,1.942890293094024e-15,2.9143354396409936e-14,4.104310989379883,1.8736695051193235,181,7.28422737121582,0.5634518265724182,0.6993480324745178,0.0,0.2773500978946686,0.0,3.6476568706842425,0.000132321368091,0.0701225658380015,28,11877,1.0598948151663044e-12,34,33.99993479871287,54,28.395909544396407,0.42199793457984924,0.0,Q2_Unilateral_Bat
CABP7,233,711,112,72,40,0.4189745594067239,0.6807821393013,1.942890293094024e-15,9.520162436160264e-14,14.165512084960938,7.773748397827148,105,28.527910232543945,0.4965492486953735,0.8490844964981079,0.3199186623096466,0.4118562638759613,0.2773500978946686,3.642017765798383,0.0001352546996542,0.0701225658380015,29,5114,1.0598948151663044e-12,35,34.99991139763707,55,29.171034253408713,0.4372282326221466,0.04256856441497803,Q1_Golden_Quadrant
SAMD14,435,700,107,69,38,0.2416344382169021,0.8865848779678345,1.942890293094024e-15,4.837796829802949e-13,17.277921676635742,13.482479095458984,267,38.81997299194336,0.4450781643390655,0.7352643609046936,0.8324781060218811,0.7830708026885986,0.5095103979110718,0.0926853504651724,0.463076767771949,0.8846340489435419,7234,29,1.0598948151663044e-12,41,40.99990690489517,56,29.241536415031593,-0.04780644178390503,0.3229677081108093,Q4_Unilateral_Cetacean
GPRIN1,1009,329,51,27,24,0.276502289055113,0.886254072189331,1.942890293094024e-15,1.7563728249554556e-12,21.065189361572266,18.340723037719727,253,35.919395446777344,0.5864572525024414,0.7334957718849182,0.8956146240234375,,,0.7905398032688739,0.2146062931808765,0.8846340489435419,2333,30,1.910811451094147e-12,42,41.999905170437515,57,30.07858330562022,,,Unclassified
BLCAP,89,724,112,74,38,0.4169998221349975,0.6172522902488708,1.942890293094024e-15,3.6914915568785773e-14,3.62437891960144,2.546537399291992,84,5.871795177459717,0.6172522902488708,0.7593742609024048,0.1622214317321777,0.3069697022438049,0.0,3.6024948481231274,0.0001575888244243,0.0789782658406769,30,9486,1.0598948151663044e-12,36,35.999928196516414,58,30.31646158962421,0.4524045586585999,0.1622214317321777,Q1_Golden_Quadrant
PRELID1,221,719,114,74,40,0.2652682763273731,0.8859124183654785,1.942890293094024e-15,1.7486012637844688e-13,8.614502906799316,6.396709442138672,176,27.6982421875,0.3110126256942749,0.7269167900085449,0.5250497460365295,0.0,0.3021895885467529,0.5656992806544036,0.2857991121624376,0.8846340489435419,3483,31,1.0598948151663044e-12,43,42.99991351952524,59,31.116860658463587,0.7269167900085449,0.22286015748977667,Q1_Golden_Quadrant
LOC101060212,202,706,110,71,39,0.4151100368872076,0.6616607904434204,1.942890293094024e-15,8.160139230994567e-14,6.371617317199707,5.103359699249268,45,9.677701950073242,0.6583812236785889,0.519650936126709,0.4193780422210693,0.8154595494270325,0.2533148825168609,3.564672182879657,0.0001821556157107,0.0883454736197065,31,6710,1.0598948151663044e-12,38,37.99991638441857,60,31.22417692051879,-0.2958086133003235,0.16606315970420837,Q4_Unilateral_Cetacean
SHISA4,204,682,104,64,40,0.4141806207461986,0.7658354043960571,1.942890293094024e-15,3.516631430499566e-13,22.71070098876953,19.653974533081055,200,35.73544692993164,0.6355230808258057,0.9762524366378784,0.6171665787696838,,0.3685124516487121,3.546070600708152,0.0001955107157746,0.0894033864122387,32,927,1.0598948151663044e-12,39,38.999904841683126,61,32.03189225141337,,0.24865412712097174,Unclassified
